extractant,target,cell_mean_of_donor_means,cell_pairpooled,n_donors,n_pairs
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,5336017ed36fd28f,0.15448757693794807,0.09169504255246574,5.0,151.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,5a6a2f3bf13a7d55,0.12637327768396428,0.06857426497668656,5.0,88.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,b0a65fc4ebf31640,0.14299170970199193,0.09070030063470876,5.0,151.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,b3f035de0e7be945,0.10297399281707054,0.10297399281707054,4.0,12.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,c61ecb085d8df371,0.12637327768396428,0.06857426497668656,5.0,88.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,cea7fbe06302870b,0.3475926847096472,0.3475926847096472,4.0,4.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0f9c166921b14844,0.24415080900368563,0.2645570560231932,14.0,112.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,24f200d78a2ccb55,0.2669333588137429,0.28612212779105495,13.0,35.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,343f9328b4ddf79c,0.3053765972225822,0.3053765972225822,8.0,8.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,4f2be71378594542,0.25854842131868405,0.27308369647339314,16.0,155.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,519ef744e75b8881,0.26356370723817746,0.28972537049740416,13.0,69.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,71dc32e0ed7e16a2,0.2588356624791784,0.29553050278779586,14.0,112.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,815c365f83ac70cf,0.8408159912334101,0.8253042886074976,16.0,155.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9a5a0eda0a6fd590,0.2571521211596301,0.29157069023663557,16.0,155.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9ed4efa5a12f8c67,0.31543197778127047,0.3110624889389613,15.0,106.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9f318a8d2aacfaf8,0.4342183374123814,0.4342183374123814,10.0,10.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,a155938e4ae9d704,0.43528515684059266,0.48223181299871465,16.0,155.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,adf989d8af50b9a8,0.19831380050985328,0.2225448728943796,14.0,71.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b35f13943d04ca50,0.325837204217508,0.3398958591119909,16.0,155.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,b67683ce7ad0ddd2,0.34465303880072146,0.4131602738096362,13.0,31.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,d871da32cd728745,0.2921588957047111,0.2922738169436408,16.0,155.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,e7c3a51331914d65,0.37707182724925636,0.3757069687619207,16.0,155.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ee9ed6c5b9f7b397,0.3000136520569607,0.2950816065383405,16.0,155.0
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,5fe61fb5cb043ac8,0.18523741568202567,0.18523741568202565,2.0,42.0
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,6b5aa379bd39e0ef,0.22904821447368917,0.22904821447368912,2.0,42.0
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,75373a48cee6831b,0.1389715527128681,0.13897155271286807,2.0,42.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,0.2855481201620399,0.3101748028204761,20.0,95.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,27060368c02ab464,0.2808823539766238,0.298500641792083,14.0,36.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,2b26c5cb857798ec,0.27506811461774683,0.2899456591738232,14.0,36.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,34036c3b224f37de,0.3444211476639556,0.30879754422429856,20.0,63.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,40257a80e298d1e7,0.1982828242692112,0.2724585716595636,6.0,92.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,417462f881b93736,0.2015693998936735,0.2015693998936735,4.0,4.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,43615d8a80044b19,0.6784261740894936,0.5484935038708455,14.0,20.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,492b7bdb48f08e41,0.715421313738347,0.48388837559741643,14.0,75.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,4fcbabe856178b53,0.293093774479226,0.32324255413582037,6.0,92.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,6d2db02e8c8d2145,0.4006131916458128,0.4006131916458128,13.0,13.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,754e9dee83f16dd1,0.7532966930622066,0.5070159744631797,14.0,75.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,99c8495117d32d72,0.3206631667130196,0.3206631667130196,5.0,5.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1364f38e19a30c6,0.25019296363039206,0.3065678897433366,6.0,92.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1da294020dc650f,0.25408968753159944,0.2236497865986525,20.0,63.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ac59b211ab998989,0.34378221978777174,0.3059635761544846,15.0,48.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,accd65ebb9e6d5bd,0.26589565746683946,0.2819020142137862,14.0,36.0
