extractant,target,cell_mean_of_donor_means,cell_pairpooled,n_donors,n_pairs
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,2d78f120adfe3686,0.10455172945536631,0.05149447722559456,2.0,18.0
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,d0c6d7ffec5d58c3,0.46093204743803173,0.49182591714639484,374.0,7119.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,5336017ed36fd28f,0.39998756392452095,0.5625643618573842,369.0,6968.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,5a6a2f3bf13a7d55,0.4524468835895463,0.5089467022706202,289.0,2626.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,b0a65fc4ebf31640,0.41379007247131955,0.5803833645210058,369.0,6968.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,b3f035de0e7be945,0.5611399641851399,0.5609961496682756,159.0,369.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,c61ecb085d8df371,0.4524468835895463,0.5089467022706202,289.0,2626.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,cea7fbe06302870b,0.5905550742862473,0.5905550742862473,104.0,104.0
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,ca0b84d43992b03d,0.38309540663176717,0.4257869737904076,374.0,7119.0
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,543ce167788b1f3e,0.7601413857116814,0.8629216334500296,366.0,6246.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,0.48565990813284854,0.5459461922550973,274.0,2619.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,27060368c02ab464,0.5765272060111406,0.578836783042146,149.0,345.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,2b26c5cb857798ec,0.5760848355246438,0.5731813058442897,149.0,345.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,34036c3b224f37de,0.5885050589193224,0.7144639063356836,214.0,884.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,40257a80e298d1e7,0.18443877946500165,0.22010192796569095,232.0,2504.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,417462f881b93736,1.3885495669980032,1.3885495669980032,68.0,68.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,43615d8a80044b19,1.101092292768534,1.07231461713559,117.0,239.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,492b7bdb48f08e41,0.4303828601257553,0.42028231258263843,203.0,1376.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,4fcbabe856178b53,0.21050020225255683,0.2542837487015459,232.0,2504.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,6d2db02e8c8d2145,0.8176005250518982,0.8176005250518982,105.0,105.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,754e9dee83f16dd1,0.4704281321991186,0.443951448508328,203.0,1376.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,99c8495117d32d72,0.8529345586216578,0.8529345586216578,92.0,92.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1364f38e19a30c6,0.314748677653699,0.29700203187053426,232.0,2504.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1da294020dc650f,0.5380939404415375,0.6269216317861549,214.0,884.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ac59b211ab998989,0.6068791361442789,0.6601948848781706,178.0,582.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,accd65ebb9e6d5bd,0.5676100965273627,0.566359786966804,149.0,345.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ad16fef01adc5432,0.4579150734689432,0.5045347965113909,203.0,1376.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,b4fd2a49bcbf3d25,0.40906924100191955,0.39975959495628194,232.0,2504.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,d107e225e8d2b292,0.5295811361420072,0.5176084221621956,203.0,1376.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,e0636d7b6780bb2a,0.5405581633904197,0.5485129890912408,139.0,273.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,e9d3da7afd6b290d,0.5718383015260938,0.5702290723995398,149.0,345.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,180c0a7827d406e0,0.6872754989093012,0.8119485005401734,213.0,1391.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,372778033811af53,1.1271291693597327,1.2164690179115913,248.0,2999.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,71f1d37fa44d6ef0,1.0524472126912414,1.1606488203193925,240.0,1888.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,77428ad94822a7d6,0.8014366095569974,0.9367116375915112,213.0,1391.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,80b108c560581bbc,0.6734653921715092,0.6600459623735702,234.0,2484.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,818f1d78902d2a6d,0.7504560863107976,0.8774841015952591,213.0,1391.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1d1bb9061317e70,0.3902304863387777,0.37031557912282814,234.0,2484.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,b3438d0b792d8a58,0.7360911006713808,0.8619350792125577,213.0,1391.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,bd699b6a4b2c634b,0.36628311219100246,0.3444336946020827,234.0,2484.0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,d5e6b9dc02e2364e,0.42292916916936935,0.40563391875224514,234.0,2484.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1d24c65c4467674c,0.2584450160093705,0.25445211463123485,5.0,133.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,24e25ef33361b113,0.24133467038021306,0.23762606209393541,5.0,133.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,26c34ebae098cb88,0.18392952984903171,0.18316148989216466,5.0,133.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,867065d232568bc2,0.289942424944651,0.2844261443770597,5.0,133.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,bd3fc29ffabf7ddb,0.2420793992149007,0.23960967034540256,5.0,133.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0b799dd83f93411e,0.4864234861302288,0.5391611688274806,214.0,1278.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,124db139bedffacf,0.5079734721836994,0.5670206703742511,214.0,1278.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,3983850cd373720d,0.5103902055169786,0.5682010106976043,214.0,1278.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,4759cae892250232,0.5243497019191854,0.58341625913268,214.0,1278.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,4998005b3d3757a8,0.4867264875862185,0.542525827573086,214.0,1278.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,4c5b14e536cc1334,0.5131498113034001,0.5852414868607428,214.0,1278.0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,526c53b206ce2492,0.44769508469490654,0.4968497719185528,214.0,1278.0
