threshold,level,n_pairs,mean_shared,curve_mae,sf_mae_pairmean,sf_mae_pooled,r_median,r_mean,pct_anticorr
>=4 shared,extractant,3212,7.174034869240349,0.2299710643000175,0.3424064288528478,0.40497846562472434,0.9409961339312016,0.702617655001123,10.709838107098381
>=4 shared,chemotype,9858,6.387603976465814,0.34242968167695126,0.5188676095264271,0.545998735797087,0.9027474027702405,0.5083903562509134,21.434368025968755
>=4 shared,random,20000,7.16065,0.3771909411111162,0.5625282179226943,0.6587083967068939,0.6989131133489261,0.3355924756067291,30.865
>=2 shared,extractant,9237,3.963624553426437,0.1762704057003388,0.3031910893775591,0.39486749018083306,0.9929961752319529,0.6887754021400241,13.142795279852765
>=2 shared,chemotype,27024,3.753330373001776,0.27538543950773653,0.4792865324573403,0.5370023624902863,0.9771118642986866,0.5444360201106065,20.437388987566607
>=2 shared,random,20000,4.52635,0.3134323866097574,0.5273446782861462,0.6431279985956871,0.9067267088251063,0.38228074811991286,28.84
