arm,all 90 extractants,the 24 own-oracle extractants,the 56 control-oracle extractants
X_ENS_DIRECT+LOWRANK_K2,0.481,0.4052,0.4307
C_DIRECT_ROW,0.4953,0.4258,0.4532
B1_MEAN_CURVE,0.6033,0.4693,0.5499
B4_HEAVIER_ALWAYS,0.6742,0.5218,0.6279
