subset,construction,target,n,rho,p,rho_given_n_metals
all cohort extractants,naive,a,81,0.4665085817524842,1.1353583454718009e-05,0.4446307016464597
all cohort extractants,naive,abs_a,81,-0.40345528455284546,0.00018791676323412507,-0.35404348750501113
all cohort extractants,A,a,79,0.10421129503407985,0.36072821048657483,0.09767730853720796
all cohort extractants,A,abs_a,79,-0.08373904576436222,0.46312206935420697,-0.0708911808915225
all cohort extractants,B,a,81,0.20282294489611563,0.06937664256642796,0.18066888571922843
all cohort extractants,B,abs_a,81,-0.1936088527551942,0.08330494529897174,-0.14366306889495828
complete 14-metal series,naive,a,41,0.5991289198606273,3.492624846166742e-05,0.601319353713782
complete 14-metal series,naive,abs_a,41,-0.4353658536585367,0.004442220569303843,-0.4267465855198327
complete 14-metal series,A,a,41,0.24355400696864116,0.1249093494579477,0.24328957810165738
complete 14-metal series,A,abs_a,41,-0.1831010452961673,0.25184448231648404,-0.1833443928663219
complete 14-metal series,B,a,41,0.42351916376306625,0.005794930480563751,0.42634692076104297
complete 14-metal series,B,abs_a,41,-0.5043554006968642,0.000772775990891272,-0.4884982008551692
constant-composition series only,naive,a,9,-0.3,0.43284532670948234,
constant-composition series only,naive,abs_a,9,0.13333333333333333,0.7323675052362973,
constant-composition series only,A,a,9,0.21666666666666667,0.5755148957119259,
constant-composition series only,A,abs_a,9,-0.08333333333333334,0.831214097710308,
constant-composition series only,B,a,9,0.26666666666666666,0.48792227483870076,
constant-composition series only,B,abs_a,9,-0.19999999999999998,0.6059012741795534,
block >= 7 metals,naive,a,54,0.3941680960548884,0.0031862568949670763,0.3913357842901936
block >= 7 metals,naive,abs_a,54,-0.33722126929674096,0.012645820511883234,-0.3242877784836994
block >= 7 metals,A,a,54,0.1860491709548313,0.1779864931252213,0.18628652617623925
block >= 7 metals,A,abs_a,54,-0.104631217838765,0.4514747399456742,-0.1122809390858561
block >= 7 metals,B,a,54,0.4132266056794358,0.0018988512333846814,0.4104487897079695
block >= 7 metals,B,abs_a,54,-0.4990661330283971,0.0001223763210795786,-0.4968053612374226
