extractants with a well-determined curve: 82
descriptor coverage:
phys3d__anion_nitrate     82
phys3d__n_series          82
phys3d__n_block           82
phys3d__comp_varies       82
phys3d__d_mean            82
phys3d__d_spread          82
phys3d__d_range           82
phys3d__q_metal           82
phys3d__q_donor           82
phys3d__q_donor_spread    82
phys3d__cn                82
phys3d__frac_N            82
phys3d__dipole            82
phys3d__ang_std           82
phys3d__ang_min           82
phys3d__asym              82
phys3d__dd_dr_A           81
phys3d__dspread_dr_A      81
phys3d__dqm_dr_A          79
phys3d__dqd_dr_A          79
phys3d__dd_dr_B           76
phys3d__dcn_dr_raw        82
phys3d__dE_dr_A           79
phys3d__d2E_dr2_A         73
phys3d__E_rms_A           79
phys3d__dE_dr_B           81
phys3d__d2E_dr2_B         79
phys3d__E_rms_B           81

confound check  rho(n_metals, |a|) = 0.475  p=6.5e-06  n=82
confound check  rho(n_cells,  |a|) = -0.125  p=0.26  n=82

=== a  (signed radius coefficient) ===
    descriptor  n    rho     p  loco_lo  loco_hi  rho|n_metals  rho_between_chemo  icc_chemo
 anion_nitrate 82  0.437 0.000    0.257    0.482         0.411              0.305      0.607
      d_spread 82 -0.336 0.002   -0.395   -0.210        -0.343             -0.243      0.697
       n_block 82 -0.293 0.008   -0.348   -0.246        -0.228             -0.277      0.873
       d_range 82 -0.278 0.011   -0.350   -0.120        -0.287             -0.229      0.681
       E_rms_B 81 -0.275 0.013   -0.339   -0.226        -0.252             -0.219      0.698
       E_rms_A 79 -0.259 0.021   -0.310   -0.206        -0.239             -0.220      0.403
       dE_dr_B 81  0.203 0.069    0.080    0.268         0.181              0.159      0.792
       q_metal 82 -0.195 0.079   -0.272   -0.066        -0.259             -0.106      0.871
        frac_N 82  0.176 0.114   -0.032    0.252         0.225              0.046      0.955
      n_series 82 -0.169 0.128   -0.242   -0.039        -0.059             -0.150      0.669
      dqm_dr_A 79  0.155 0.172    0.034    0.208         0.182              0.171      0.523
            cn 82 -0.136 0.222   -0.170   -0.103        -0.212             -0.200      0.733
    dcn_dr_raw 82  0.110 0.325    0.045    0.235         0.154              0.050      0.856
       dd_dr_B 76 -0.109 0.349   -0.178   -0.027        -0.088             -0.113      0.532
       dE_dr_A 79  0.104 0.361    0.057    0.147         0.098              0.117      0.422
        dipole 82 -0.089 0.425   -0.143   -0.033        -0.118             -0.062      0.803
q_donor_spread 82  0.085 0.446   -0.023    0.190         0.070              0.115      0.786
  dspread_dr_A 81  0.076 0.500    0.024    0.316         0.077              0.439      0.488
       ang_min 82  0.075 0.504    0.005    0.135         0.133              0.025      0.790
       ang_std 82 -0.055 0.620   -0.110    0.020        -0.103              0.053      0.755
       q_donor 82  0.055 0.625   -0.097    0.152         0.056             -0.007      0.931
      dqd_dr_A 79  0.047 0.683   -0.007    0.109         0.060              0.163      0.505
     d2E_dr2_B 79  0.025 0.826   -0.016    0.078         0.042             -0.006      0.873
          asym 82 -0.023 0.839   -0.077    0.046        -0.084              0.017      0.763
        d_mean 82  0.007 0.950   -0.078    0.107         0.009              0.022      0.812
