context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,2d_ensemble_weight,delta3d_weight,simplicial_weight,inner_group_balanced_r2,raw_selected,selected_after_gate
outer_0:baseline,0.0,3.0,104729.0,0.35,2.0,0.13015224928943692,0.08021373390326325,0.12268868776173371,True,,,,,,
outer_0:baseline,1.0,3.0,104729.0,0.7,2.0,0.13796501895949675,-0.047636803753953405,0.13339594222654913,False,,,,,,
outer_0:baseline,2.0,3.0,104729.0,1.0,4.0,0.14313915718786532,-0.1453595231079312,0.1427802501767908,False,,,,,,
outer_0:2d_second_unshrunk,0.0,3.0,104729.0,0.35,2.0,0.13046199493914135,0.07961499881971379,0.12289977404305544,True,,,,,,
outer_0:2d_second_unshrunk,1.0,3.0,104729.0,0.7,2.0,0.1377727593548908,-0.0423819342346341,0.1329251637210327,False,,,,,,
outer_0:2d_second_unshrunk,2.0,3.0,104729.0,1.0,4.0,0.14284962176602403,-0.14193872061012303,0.1420515657692764,False,,,,,,
outer_0:delta3d_unshrunk,0.0,3.0,104729.0,0.35,2.0,0.13271421652510085,0.10638439029139302,0.12434048308480082,True,,,,,,
outer_0:delta3d_unshrunk,1.0,3.0,104729.0,0.7,2.0,0.13827158607586504,0.02482240362627064,0.13066648573879808,False,,,,,,
outer_0:delta3d_unshrunk,2.0,3.0,104729.0,1.0,4.0,0.14168308679434616,-0.025314625524956336,0.13588195066746486,False,,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13015224928943692,0.08021373390326325,0.12268868776173371,True,0.0,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13015272590249627,0.0806215727742653,0.12268211236885297,False,0.25,,,,,
outer_0:2d_ensemble_weight,,,,,,0.1302246338711762,0.08065772988400788,0.12272668953163507,False,0.5,,,,,
outer_0:2d_ensemble_weight,,,,,,0.1303394327586779,0.08032220523249078,0.1228059246283629,False,0.75,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13046199493914135,0.07961499881971379,0.12289977404305544,False,1.0,,,,,
outer_0:delta3d_weight,,,,,,0.13015224928943692,0.08021373390326325,0.12268868776173371,False,,0.0,,,,
outer_0:delta3d_weight,,,,,,0.1296889017835328,0.09887165880472892,0.12206395991804636,True,,0.25,,,,
outer_0:delta3d_weight,,,,,,0.1301542953688767,0.10945274316990605,0.12222699088334392,False,,0.5,,,,
outer_0:delta3d_weight,,,,,,0.1311876036067927,0.11195698699879386,0.12294808679073851,False,,0.75,,,,
outer_0:delta3d_weight,,,,,,0.13271421652510085,0.10638439029139302,0.12434048308480082,False,,1.0,,,,
outer_0:simplicial_weight,,,,,,0.1296889017835328,0.09887165880472892,,,,,0.0,0.12504293200606842,True,True
outer_0:simplicial_weight,,,,,,0.1303334917702742,0.1190285856198211,,,,,0.25,0.1354430643497715,False,False
outer_0:simplicial_weight,,,,,,0.13736576888345955,0.07621309687654754,,,,,0.5,0.08562069024875918,False,False
outer_0:simplicial_weight,,,,,,0.14915836680641595,-0.029574807425091665,,,,,0.75,-0.02442419029696863,False,False
outer_0:simplicial_weight,,,,,,0.16357018880973453,-0.1983351272850966,,,,,1.0,-0.1946915772874125,False,False
outer_1:baseline,0.0,3.0,114736.0,0.35,2.0,0.13910769540549503,0.0420152569662684,0.11952639115815258,True,,,,,,
outer_1:baseline,1.0,3.0,114736.0,0.7,2.0,0.14164453164093457,-0.010385188348160268,0.1218662960493124,False,,,,,,
outer_1:baseline,2.0,3.0,114736.0,1.0,4.0,0.14267373649151424,-0.0005141019734014041,0.12084078259661803,False,,,,,,
outer_1:2d_second_unshrunk,0.0,3.0,114736.0,0.35,2.0,0.1396706716732207,0.03465565060410247,0.12005698633223112,True,,,,,,
outer_1:2d_second_unshrunk,1.0,3.0,114736.0,0.7,2.0,0.14152703581413972,-0.025479437800180804,0.12316197805136257,False,,,,,,
outer_1:2d_second_unshrunk,2.0,3.0,114736.0,1.0,4.0,0.14220887398276214,0.0026861445575903087,0.12049173494004584,False,,,,,,
outer_1:delta3d_unshrunk,0.0,3.0,114736.0,0.35,2.0,0.14767659837614025,0.0683040238370417,0.1192091440716139,True,,,,,,
outer_1:delta3d_unshrunk,1.0,3.0,114736.0,0.7,2.0,0.152119348654868,0.0469113116657105,0.1208577254373822,False,,,,,,
outer_1:delta3d_unshrunk,2.0,3.0,114736.0,1.0,4.0,0.14838559269445387,0.08174061074226124,0.11894514748419649,False,,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13910769540549503,0.0420152569662684,0.11952639115815258,True,0.0,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13923689386119495,0.04047192323784765,0.11964853014188172,False,0.25,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13938067992845093,0.03873087760134675,0.11978091510643031,False,0.5,,,,,
outer_1:2d_ensemble_weight,,,,,,0.13952551131327795,0.03679212005676491,0.11991701943570383,False,0.75,,,,,
outer_1:2d_ensemble_weight,,,,,,0.1396706716732207,0.03465565060410247,0.12005698633223112,False,1.0,,,,,
outer_1:delta3d_weight,,,,,,0.13910769540549503,0.0420152569662684,0.11952639115815258,True,,0.0,,,,
outer_1:delta3d_weight,,,,,,0.13998033321484582,0.0634852200231123,0.11823293279836056,False,,0.25,,,,
outer_1:delta3d_weight,,,,,,0.14171671669533883,0.07502333552052265,0.11759032888009205,False,,0.5,,,,
outer_1:delta3d_weight,,,,,,0.14448936811586965,0.07662960345849912,0.11801973567361622,False,,0.75,,,,
outer_1:delta3d_weight,,,,,,0.14767659837614025,0.0683040238370417,0.1192091440716139,False,,1.0,,,,
outer_1:simplicial_weight,,,,,,0.13910769540549503,0.0420152569662684,,,,,0.0,0.0032323060250210034,False,False
