grouping,pair_label,n_rows,baseline_mae,baseline_sign_accuracy,2d_ensemble_mae,2d_ensemble_sign_accuracy,delta3d_unshrunk_mae,delta3d_unshrunk_sign_accuracy,delta3d_mae,delta3d_sign_accuracy,simplicial_unshrunk_mae,simplicial_unshrunk_sign_accuracy,simplicial_mae,simplicial_sign_accuracy,mae_reduction_simplicial_vs_delta3d
pair_type,Sm-Eu,106,0.16373909210703771,0.7075471698113207,0.1638555435202046,0.7075471698113207,0.16429532663738677,0.7358490566037735,0.1619616622723883,0.7169811320754716,0.1807553747078617,0.6226415094339622,0.161458653681985,0.7169811320754716,0.0005030085904033088
pair_type,Gd-Tb,98,0.11973264646450021,0.8979591836734694,0.11987691732320141,0.8979591836734694,0.1307399065295398,0.9387755102040817,0.12153593597800097,0.8979591836734694,0.169445546462538,0.8877551020408163,0.12292795067557954,0.8979591836734694,-0.0013920146975785752
pair_type,Dy-Ho,96,0.10787480758782299,0.7083333333333334,0.10820869606354795,0.71875,0.10459157831991844,0.7916666666666666,0.1067602448658716,0.7395833333333334,0.12259928448812447,0.7395833333333334,0.10678509957056159,0.75,-2.4854704689991625e-05
pair_type,Ho-Er,96,0.10469685509820036,0.6770833333333334,0.10474054061046915,0.6770833333333334,0.0842290480608695,0.6979166666666666,0.09931614518571352,0.6979166666666666,0.11687686670961922,0.34375,0.09932787603915898,0.6979166666666666,-1.1730853445454659e-05
pair_type,La-Ce,95,0.19928928506538574,0.8210526315789474,0.19954301070296196,0.8210526315789474,0.1951142244529343,0.8315789473684211,0.2001541050492143,0.8315789473684211,0.1750889276247607,0.8631578947368421,0.2011494495120093,0.8315789473684211,-0.0009953444627950059
pair_type,Er-Tm,89,0.07162437110703963,0.5730337078651685,0.0713582739298252,0.5730337078651685,0.0678090081809992,0.5056179775280899,0.07183174730572892,0.4943820224719101,0.08509268975018003,0.34831460674157305,0.07186088308476571,0.4943820224719101,-2.9135779036792986e-05
pair_type,Tb-Dy,88,0.1464252990305374,0.6931818181818182,0.14688734044691248,0.6931818181818182,0.13664890323386836,0.75,0.1456420307516303,0.6818181818181818,0.1384846751022824,0.7613636363636364,0.14406504864810066,0.6931818181818182,0.0015769821035296339
pair_type,Tm-Yb,86,0.05295927145124819,0.5581395348837209,0.05291354361908373,0.5581395348837209,0.06478364960999,0.5116279069767442,0.05378313589226387,0.5116279069767442,0.0670705049742203,0.4418604651162791,0.054201653810991075,0.5116279069767442,-0.0004185179187272056
pair_type,Eu-Gd,83,0.10057668459246652,0.7469879518072289,0.10045340585428755,0.7469879518072289,0.09997636405800753,0.7469879518072289,0.09860339368438191,0.7590361445783133,0.15657807700228465,0.40963855421686746,0.09802468480770614,0.7590361445783133,0.0005787088766757709
pair_type,Yb-Lu,82,0.08797004375838609,0.5853658536585366,0.0880051582879139,0.5853658536585366,0.09069957027987197,0.5365853658536586,0.08972583079650834,0.5487804878048781,0.09736404728200099,0.5487804878048781,0.09018829097870111,0.5487804878048781,-0.00046246018219277263
pair_type,Ce-Pr,81,0.15840363054782605,0.8148148148148148,0.15899757753538055,0.8148148148148148,0.1617099427890366,0.8148148148148148,0.1604603268383027,0.8024691358024691,0.1473470754022844,0.8148148148148148,0.1612209559153064,0.8024691358024691,-0.0007606290770037216
pair_type,Pr-Nd,81,0.12265538304022328,0.7901234567901234,0.12254924108233455,0.7901234567901234,0.13317408217417695,0.7901234567901234,0.1265005917538312,0.7901234567901234,0.17905635674185497,0.5185185185185185,0.12729182282807117,0.7901234567901234,-0.0007912310742399786
