regime,split_seed,arm,extractant,ecfp_cluster,draw,n_query,form,k,n_free,n_series_free,mae,mae_free,mae_series_free,fit_rejected
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,2,14,scale,5,4,0,0.35512120486878906,0.3732902243727365,,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,2,14,affine,5,4,0,0.27334441757462524,0.3610519634101691,,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,none,0,14,14,0.4319964919980858,0.4319964919980858,0.4319964919980858,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,none_at_k,1,3,3,0.4319964919980858,0.25960179199534955,0.25960179199534955,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,NULL_kmean,1,3,3,0.8629762607180492,0.9439378286842185,0.9439378286842185,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,offset,1,3,3,0.5533363748862462,0.6058179137053133,0.6058179137053133,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,scale,1,3,3,0.39638587567861344,0.46195204092678704,0.46195204092678704,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,affine,1,3,3,0.44044178433072384,0.510667865534613,0.510667865534613,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,none_at_k,2,3,3,0.4319964919980858,0.25960179199534955,0.25960179199534955,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,NULL_kmean,2,3,3,0.4972758132894756,0.5213888086842167,0.5213888086842167,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,offset,2,3,3,0.5333438752308919,0.5708310393084434,0.5708310393084434,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,scale,2,3,3,0.38208488365602217,0.4445072868666243,0.4445072868666243,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,affine,2,3,3,0.3969170461774998,0.46129131787228994,0.46129131787228994,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,none_at_k,3,3,3,0.4319964919980858,0.25960179199534955,0.25960179199534955,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,NULL_kmean,3,3,3,0.39811768167196154,0.38259458746915237,0.38259458746915237,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,offset,3,3,3,0.4403171393838505,0.3636542951212481,0.3636542951212481,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,scale,3,3,3,0.3626871262794869,0.411073064776361,0.411073064776361,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,affine,3,3,3,0.30235011214311447,0.3436239966049784,0.3436239966049784,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,none_at_k,5,3,0,0.4319964919980858,0.25960179199534955,,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,NULL_kmean,5,3,0,0.3874756628134865,0.36617662302159976,,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,offset,5,3,0,0.42085167798465817,0.28560635802668083,,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,scale,5,3,0,0.36610270694433894,0.33271020152321157,,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,3,14,affine,5,3,0,0.31065556722026294,0.3011864593731492,,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,none,0,14,14,0.37900436750517796,0.37900436750517796,0.37900436750517796,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,none_at_k,1,4,4,0.37900436750517796,0.23367239024892725,0.23367239024892725,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,NULL_kmean,1,4,4,0.4276207642032156,0.40641457246125323,0.40641457246125323,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,offset,1,4,4,0.5133424247530035,0.2980368377325099,0.2980368377325099,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,scale,1,4,4,0.6443892715294578,0.27220159274319844,0.27220159274319844,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,affine,1,4,4,0.6742741440915123,0.3768698238040091,0.3768698238040091,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,none_at_k,2,4,4,0.37900436750517796,0.23367239024892725,0.23367239024892725,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,NULL_kmean,2,4,4,0.4343345589212869,0.41541486722450294,0.41541486722450294,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,offset,2,4,4,0.4069485351847177,0.23367239024892725,0.23367239024892725,0
unseen_ligand,104729,MC_ecfp,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,f199403769328484,4,14,scale,2,4,4,0.3560282926405614,0.23908091815315838,0.23908091815315838,0
