regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_resample_unit,bootstrap_blocks,bootstrap_replicates
unseen_chemotype,MC_ecfp_vs_MC_all2d@ridge,MC_ecfp,MC_all2d@ridge,-0.37079790446753,-0.6036505102979988,-0.0813799055748702,0.9996000799840032,20,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_ecfp_SHUF,MC_ecfp,MC_ecfp_SHUF,-0.1307911902474454,-0.2240082685560208,0.01189151665833513,0.9600079984003199,28,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_lig2d_ext_SHUF,MC_ecfp,MC_lig2d_ext_SHUF,-0.13355131661243144,-0.2243699702192928,0.0065527970979810625,0.9682063587282543,27,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_donors_SHUF,MC_ecfp,MC_donors_SHUF,-0.11047137619715933,-0.19642121362749995,0.02397853165733937,0.944011197760448,26,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_cond_SHUF,MC_ecfp,MC_cond_SHUF,-0.4619341930600937,-0.6139365521618525,-0.2946352420349876,1.0,14,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_NULL_metal_mean,MC_ecfp,NULL_metal_mean,-0.4135884546603494,-0.5735966304986805,-0.18286560353171846,0.9998000399920016,16,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_NULL_global_mean,MC_ecfp,NULL_global_mean,-0.39749565879122345,-0.5727751204186777,-0.164414518843678,0.9994001199760048,17,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_NULL_extractant_mean,MC_ecfp,NULL_extractant_mean,-0.39749565879122345,-0.5727751204186777,-0.164414518843678,0.9994001199760048,17,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_NULL_nearest_condition,MC_ecfp,NULL_nearest_condition,-0.39749565879122345,-0.5727751204186777,-0.164414518843678,0.9994001199760048,17,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_A_metal,MC,A_metal,-0.22284113185419718,-0.36334527392587873,-0.07203836704508768,0.998000399920016,25,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_A_cond,MC,A_cond,-0.04292867747831617,-0.09911310042996334,0.036914476333098016,0.8022395520895821,33,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_A_physchem,MC,A_physchem,-0.08527906242161204,-0.21770471573488603,0.10716595660483184,0.788242351529694,28,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_A_ecfp,MC,A_ecfp,-0.04045400823260363,-0.1697613907055112,0.05180819342874042,0.8060387922415517,31,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_A_lig2d_ext,MC,A_lig2d_ext,-0.027794296358049104,-0.1346827058859269,0.11697905348992582,0.6714657068586283,33,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_A_donors,MC,A_donors,0.00835323183323192,-0.13927921350626554,0.11564292561642234,0.4621075784843031,37,74,ecfp_cluster,tanimoto_cluster,40,5000
