,first_point,second_point,third_point,fourth_and_fifth_each,m0,group
mean,0.381926603854962,0.07778983216757834,0.06335804170826288,0.020654071859022374,1.0357994416277343,all
median,0.1664353795731044,0.048269535663430396,0.045857358223923284,0.012927497271093075,0.929454061030783,all
near,0.23484960491891452,0.08283506868367571,0.05495345991256544,0.01953781443308812,0.8999307916130156,
mid,0.4484915347838809,0.0878471079747102,0.05082743715239048,0.012686867189595124,0.9622084527997865,
far,0.49480866123557044,0.06344671973693011,0.08366807309616983,0.028699511644763726,1.254695089741123,
