extractant,m0,m1,m2,m3,m5,tanimoto_cluster,nn_train_tanimoto,n_rows
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0.5866298783236387,0.5855713516034394,0.5129561796123322,0.3442247617372189,0.32212086750622376,tan018,0.5897435897435898,14
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.4489784981952116,0.12187866236072091,0.1043428095259361,0.09170055816002347,0.07709490186970341,tan062,0.65,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,1.5266544609017392,0.4808031040180891,0.5146202238697483,0.5026011417639621,0.4854331894627946,tan019,0.6388888888888888,11
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0.3762338870020452,0.2899416700464626,0.2679454843122077,0.27511619593025055,0.23641262612312955,tan019,0.6388888888888888,19
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0.2092510287352636,0.2816808670764603,0.22980606188056535,0.25257079008515443,0.23169662437023722,tan022,0.6111111111111112,11
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,0.5721705895103841,0.4381049921830712,0.3971176140546508,0.33069390811829924,0.2853899308626438,tan017,0.5348837209302325,12
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,0.7753601979800283,0.855529758631106,0.7376070794024464,0.663897843162103,0.5377853026953279,tan017,0.5116279069767442,22
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.8383042374097317,0.19682863511773308,0.21503038753138928,0.2169459074268045,0.17005759736870046,tan055,0.5263157894736842,14
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.1261976783511924,0.6401166245835069,0.4930505645081978,0.4404885241682041,0.41848690900469804,tan052,0.6571428571428571,17
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.5263609633253004,0.6372698465272236,0.41984916773571773,0.42691970123847717,0.3008818297604605,tan052,0.6764705882352942,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.1972431749604864,1.238296592278679,1.204735384194885,1.1776429814751759,1.3618127071208106,tan055,0.6764705882352942,184
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.6466347966494016,0.7056879669594515,0.6669942503229229,0.5444673918865534,0.48802730532243566,tan071,0.5641025641025641,103
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.35594089795621425,0.3878758315254357,0.3319757537283741,0.22506945701117478,0.19918297261631282,tan055,0.5365853658536586,14
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.7358815922175413,0.1285859952026073,0.0949887269117051,0.08887847519386695,0.0844842253695489,tan091,0.375,14
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,1.3026192480259848,1.0950377629915955,0.9442181641434185,0.9274826392993881,0.7664784971089721,tan045,0.5,44
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,0.7680821567222346,0.8129090056953198,0.630111669229136,0.641835920603286,0.6190618325232077,tan055,0.6785714285714286,17
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,0.7889782993745543,1.0537825230337121,0.9199883015301255,0.7855290176801116,0.7807607862541409,tan055,0.6296296296296297,21
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,0.8785556485155589,1.1962320323369815,0.8535187230786534,0.7327039591104575,0.7087115832258181,tan055,0.6216216216216216,21
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,1.0051074402840237,1.4947103175529235,1.2471712737938552,1.1340763366381466,0.9778431616998603,tan055,0.6388888888888888,16
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1.036128043635235,0.6647898999023194,0.5781230924155947,0.31553542508671595,0.2914923970788311,tan055,0.6571428571428571,13
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,0.923944046792789,0.6280906904444067,0.48393739379347406,0.3575990628382636,0.3184269663289293,tan087,0.46296296296296297,14
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.5145992368045411,0.5810126388867745,0.6378657189169926,0.6479899959313896,0.5819677963354183,tan055,0.6571428571428571,35
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.8215212821553154,0.7951566616276813,0.8779589616245211,0.8132456439396774,0.762060518839331,tan055,0.6571428571428571,151
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.9306678275906097,0.9411452747266693,0.9051582810878253,0.7778288217316031,0.6391327046003511,tan055,0.6666666666666666,74
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,2.510501453695063,0.5880673132013052,0.45876362598044107,0.42038660558918856,0.416015695180022,tan067,0.6764705882352942,45
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1.5482626981745853,0.5181408103654673,0.5190106303759267,0.4800623628508151,0.3932517795476938,tan055,0.6571428571428571,203
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.542372137417001,0.4766482687582139,0.42881884839571865,0.37352078914995074,0.32545977363294587,tan055,0.6571428571428571,59
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.4780263271803074,0.30739258245178164,0.25661913327787395,0.2601258934892559,0.23484272679617438,tan067,0.6285714285714286,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,2.676582484922693,0.5574289349896764,0.36243892716965637,0.2955399622263173,0.26968496768413114,tan069,0.65625,13
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,1.1031096828918054,0.37009951124226337,0.359693052047277,0.2790177368237506,0.28544700418020474,tan078,0.6,14
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,0.11395847006290354,0.12145798974843101,0.11430269269892018,0.11603586159080992,0.09946406300740532,tan046,0.5483870967741935,9
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,1.0103864300574876,1.0024888391162734,0.9949228756567948,0.9061804858981641,0.7607055986352108,tan046,0.4594594594594595,52
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0.4135886229070191,0.2953036970477509,0.26709030158106195,0.21123618747798775,0.20190289363856137,tan053,0.6785714285714286,9
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1.241767095596899,0.8082416609269991,0.8013141402111167,0.714875188462876,0.6234403055677938,tan055,0.6785714285714286,425
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.8334091215797415,0.4275336365788281,0.31168186389624236,0.24833643863237947,0.25067755935158725,tan055,0.59375,14
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1.1164740595231968,0.4332051596903335,0.3077184045090903,0.25875902881005663,0.26099586823856413,tan055,0.6296296296296297,14
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.5527907360524856,0.1938859725776859,0.15269554763015425,0.13009331031911822,0.11985383745833765,tan056,0.6382978723404256,14
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1.0069474590868859,0.3726515434516085,0.3272213458631345,0.31798564894832804,0.2752203547494306,tan055,0.6216216216216216,14
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.8806773107530911,0.6218171846159382,0.7375954053502297,0.6716368113441031,0.5619638577331132,tan055,0.5777777777777777,14
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.42942673122590097,0.47547505984319655,0.3355611789764846,0.26839230288989546,0.22667938994086523,tan055,0.65,14
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.37380918969446275,0.5123444015982745,0.3711215030983676,0.34554258030086055,0.3397242902915336,tan066,0.6739130434782609,12
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.6965521989395385,1.2393540299837575,0.8654589504833924,0.670622277221851,0.5322286143376146,tan067,0.6764705882352942,32
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,0.15171392326409583,0.264776840721966,0.19136256327272677,0.16762390936582455,0.17711162174706302,tan049,0.6923076923076923,9
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1.053347037018937,1.0459258318456583,1.0273546711224733,0.8296285222386712,0.7820734106778077,tan050,0.6923076923076923,26
CCCCCCCCN(CCCCCCCC)C(=O)CO,1.333206610245104,1.996973145105577,1.895963301728589,1.7232065655882856,1.6597921174788013,tan049,0.6666666666666666,10
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.803894982101759,1.138333452084869,0.9316591464374733,0.9235895636297689,0.8003827484721828,tan065,0.6739130434782609,12
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,1.4947711195161328,1.4560341157596943,1.09234803243919,0.9996114077573597,0.8530204986803204,tan068,0.6764705882352942,12
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.1243204390699497,1.3228899508260106,1.2196030933865207,1.157269174210284,1.0778924202426632,tan055,0.6571428571428571,1488
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,1.3027171175791816,0.9014270913595918,0.884456598838385,0.7794838286840808,0.7967954046576894,tan054,0.5277777777777778,16
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,1.5158093927578706,1.070624755729318,0.8824601430448673,0.6788654589979909,0.5646187580696563,tan054,0.5555555555555556,12
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,0.929454061030783,1.154537063528111,1.0172020010847702,0.8815245068311189,0.866329451038451,tan054,0.46938775510204084,12
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.269162007347034,1.092302165897579,1.0190070694676867,0.8068204823166308,0.7473143017196956,tan055,0.5227272727272727,11
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.7486912276969646,0.5697149725881487,0.5412786076611283,0.6385468598361668,0.651684458554157,tan055,0.5217391304347826,23
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,2.134306737999918,1.8966070275030056,1.8082104608442071,1.3927072126538511,1.243450534808185,tan055,0.46153846153846156,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,1.6688149616365306,1.5023795820634263,1.556798419808943,1.5329295539040138,1.4622439309144823,tan055,0.47058823529411764,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,1.631372145723577,1.1631296314634645,1.2769639481558257,1.0706675903518075,1.0666569659446983,tan055,0.45098039215686275,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,3.5135729904762294,0.03719522630525889,0.03314538206849845,0.031535828589786014,0.05975684124064431,tan055,0.46938775510204084,9
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,2.7515414996730665,0.8409134724062972,0.7627344345609787,0.5678912377389655,0.5513637507440807,tan055,0.44642857142857145,37
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.9828453534262648,1.0426369024590139,0.8866875749819744,0.6576871005113654,0.6123485825055401,tan055,0.6666666666666666,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,2.0891274122714885,0.4344486757613496,0.4069469085457709,0.40941984054452507,0.38198294391360493,tan067,0.6764705882352942,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,1.4615474634103276,0.23837954642055395,0.19565179239017913,0.1817806812070195,0.15219147275028835,tan067,0.6285714285714286,13
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.6561936915424194,0.28491498131593446,0.254319242188111,0.22111632513754392,0.18788673311250456,tan067,0.6764705882352942,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,2.6992005225196656,0.5539678315218548,0.39362406401205324,0.29774949895494557,0.27004913063460895,tan069,0.65625,14
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1.7800857804934904,0.8611934165744002,0.8359167712858636,0.8692716026752801,0.8154778502517026,tan078,0.6842105263157895,35
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1.4622021497839686,0.6556448056557261,0.7219489481358367,0.7835532499031935,0.7291439439778719,tan079,0.6842105263157895,12
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.8597637156271295,0.27597352431618294,0.26228393300557157,0.19690083366499175,0.19595003778226988,tan042,0.40816326530612246,17
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],1.4276075391765963,0.32767149316737304,0.2697128403084027,0.24806002925043316,0.22272455472973046,tan092,0.32075471698113206,28
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,0.06794734043881746,0.07443741122792026,0.06830291950783995,0.05696708927161708,0.05978432312308626,tan053,0.6785714285714286,9
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0.19955725656775408,0.11420277563099314,0.11303879945057066,0.10602669045136424,0.09615073734620808,tan057,0.6888888888888889,14
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0.2132257483042097,0.21667018355595555,0.17181421332071195,0.13994787255906885,0.12142548589175413,tan055,0.6888888888888889,14
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.19779732797811642,0.27612330511879446,0.2073089170121813,0.20377839595756575,0.18926083970311638,tan049,0.6923076923076923,9
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.855290902819113,0.7553395136205929,0.725573704225171,0.7098055157585201,0.6367050858381104,tan055,0.6571428571428571,43
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,1.4953996403512773,0.6257863603001298,0.4976875395307949,0.45183018130687164,0.3840070602068816,tan054,0.5277777777777778,14
CCCCCCOP(=O)(O)OCCCCCC,0.8955978753481372,1.0959937231606183,0.7862921251899774,0.6798249493463444,0.6153539151285383,tan089,0.41025641025641024,10
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.36765909697341487,0.11685889163738739,0.11729434108525262,0.09750561863697124,0.09561331462867391,tan082,0.6590909090909091,14
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1.2394217389564592,1.5604340859661696,1.4580944993971547,1.3521573407350218,1.180140919218183,tan093,0.288135593220339,28
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,1.9716225883884588,0.985821203779275,0.993628210245176,1.0173305178519514,1.0402620660974238,tan016,0.3953488372093023,230
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.9880852836852261,0.19177167276679735,0.18653668981868085,0.1862854831714352,0.18025696433826002,tan053,0.625,9
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.23351072677093185,0.2920417931070855,0.19457133257873133,0.16255293733354295,0.1634194973595916,tan049,0.625,9
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.6805769765006021,0.7123755906692788,0.7080554265072794,0.702103463074731,0.6631701607498652,tan055,0.6,240
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,1.6190443332363607,0.2806560734575965,0.2515955977642063,0.2023513364340191,0.19191062367204673,tan078,0.5897435897435898,14
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,1.0507001744441042,1.0269626499371176,0.9116964105341336,0.7539202175726742,0.7134880178469927,tan055,0.6521739130434783,61
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,0.9044584778050819,1.066182371738404,0.7205873543797205,0.6817828777814794,0.5885311135225672,tan016,0.4,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.3194541382485294,0.12336451581761801,0.08375881721442563,0.077523285688634,0.07174002076286097,tan081,0.6590909090909091,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,0.33869542507419215,0.22366386755551046,0.18133319516748378,0.16578953032833998,0.16042961575392636,tan080,0.6590909090909091,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,0.30538243212826816,0.11773035643153405,0.12022474430792883,0.09855568976978375,0.09152755404947437,tan080,0.6590909090909091,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0.7044575649244702,0.2799326709908643,0.22008641197913434,0.16035282032514697,0.13884774511667178,tan081,0.6590909090909091,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0.2765453737147306,0.23303479805864344,0.18476526239521304,0.16740921830304242,0.1628811756921657,tan081,0.6153846153846154,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0.2516614339756002,0.18858497766001922,0.21829020199553126,0.23173348072831565,0.19934127831406795,tan081,0.5853658536585366,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,0.168531454498474,0.1417689971482621,0.18383185095390692,0.16151944147824146,0.12249285716916673,tan083,0.627906976744186,14
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.8374430484184433,0.9225971542579268,0.8633464296521826,0.8026583440330431,0.7972671656023083,tan061,0.6521739130434783,84
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,1.6454743784639925,0.6586313073016418,0.5788071758615394,0.3462003048977073,0.32498580727962756,tan081,0.5,14
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,2.1395399468262757,0.3243871781597594,0.34459259426960326,0.26691771801007247,0.24867404818163868,tan073,0.6785714285714286,14
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,1.309000642308339,1.397805580408771,0.8494827334924377,0.7542405141714338,0.7580554218891244,tan074,0.6785714285714286,78
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,1.3208307740486949,1.0375420136557698,1.157896487389261,1.1417555426742259,0.8921630410049484,tan084,0.5263157894736842,140
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,1.3679209760372306,0.5437554866829457,0.3892242705165629,0.3267058412886792,0.28386754721384283,tan070,0.6153846153846154,14
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0.5415746013628756,0.6044891815631339,0.39747704305700804,0.37937689479074027,0.3462518163288738,tan018,0.6388888888888888,16
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,1.4151079289663013,0.41989003188464014,0.30445723519658036,0.266147733744271,0.24677668064165123,tan072,0.5555555555555556,14
