budget,strategy,deployable,macro_mae,zero_shot_macro_mae,reduction,gain_per_measurement,n_measurements_used,n_ligands_measured,n_chemotypes_covered,gain_per_chemotype_covered
9,A_DEPTH_5,True,1.0297635125198263,1.0357994416277343,0.006035929107907956,0.0012071858215815911,5,1,1.0,0.006035929107907956
9,A_DEPTH_3,True,1.0203401249555772,1.0357994416277343,0.015459316672157053,0.0017177018524618948,9,3,2.72,0.005683572305940092
9,B_BREADTH_1,True,0.9992006461680794,1.0357994416277343,0.03659879545965494,0.004066532828850549,9,9,6.77,0.005406025917231159
9,C_BREADTH_2,True,1.0166640680506687,1.0357994416277343,0.01913537357706563,0.0023919216971332036,8,4,3.465,0.005522474336815478
9,D_NEW_CHEMOTYPE,True,0.9791609755573308,1.0357994416277343,0.05663846607040346,0.006293162896711496,9,9,9.0,0.006293162896711496
9,E_CENTRAL_SPREAD,True,0.9992006461680794,1.0357994416277343,0.03659879545965494,0.004066532828850549,9,9,6.77,0.005406025917231159
9,E_CENTRAL_SPREAD_NOVELTY,True,0.9791609755573308,1.0357994416277343,0.05663846607040346,0.006293162896711496,9,9,9.0,0.006293162896711496
9,F_DIVERSITY,True,1.0080219702318143,1.0357994416277343,0.027777471395920017,0.0030863857106577797,9,9,9.0,0.0030863857106577797
9,ORACLE_ERROR,False,0.8714847065454607,1.0357994416277343,0.16431473508227357,0.018257192786919285,9,9,5.0,0.032862947016454716
24,A_DEPTH_5,True,1.0130134114090308,1.0357994416277343,0.022786030218703512,0.0011393015109351756,20,4,3.44,0.006623845993809161
24,A_DEPTH_3,True,0.994238815378037,1.0357994416277343,0.04156062624969725,0.0017316927604040522,24,8,6.08,0.006835629317384417
24,B_BREADTH_1,True,0.9432065430889068,1.0357994416277343,0.09259289853882746,0.003858037439117811,24,24,14.885,0.006220550791993783
24,C_BREADTH_2,True,0.9826046436830592,1.0357994416277343,0.053194797944675076,0.0022164499143614617,24,12,8.435,0.006306437219285723
24,D_NEW_CHEMOTYPE,True,0.9260275788299993,1.0357994416277343,0.10977186279773499,0.004573827616572291,24,24,24.0,0.004573827616572291
24,E_CENTRAL_SPREAD,True,0.9432065430889068,1.0357994416277343,0.09259289853882746,0.003858037439117811,24,24,14.885,0.006220550791993783
24,E_CENTRAL_SPREAD_NOVELTY,True,0.9260275788299993,1.0357994416277343,0.10977186279773499,0.004573827616572291,24,24,24.0,0.004573827616572291
24,F_DIVERSITY,True,0.9095023136153406,1.0357994416277343,0.12629712801239368,0.005262380333849737,24,24,24.0,0.005262380333849737
24,ORACLE_ERROR,False,0.7423172210789264,1.0357994416277343,0.2934822205488079,0.012228425856200329,24,24,12.0,0.024456851712400658
49,A_DEPTH_5,True,0.9859315003459161,1.0357994416277343,0.04986794128181815,0.0011081764729292923,45,9,6.83,0.007301309118860637
49,A_DEPTH_3,True,0.953113283647857,1.0357994416277343,0.08268615797987733,0.0017226282912474443,48,16,10.655,0.007760315155314625
49,B_BREADTH_1,True,0.8465594261405919,1.0357994416277343,0.18924001548714242,0.0038620411323906615,49,49,25.42,0.007444532473923777
49,C_BREADTH_2,True,0.9240652032236614,1.0357994416277343,0.11173423840407293,0.002327796633418186,48,24,14.785,0.007557270098347848
