split_seed,fold,arm,policy,budget_per_ligand,family,replicate,checkpoint,step,n_train_rows,n_acquired,n_train_ligands,macro_mae,macro_mae_ligand,pooled_mae,offset_mae,shape_mae,shape_r2,median_ligand_mae,worst_quartile_ligand_mae,frac_within_1_log,n_test_rows,n_test_ligands,n_test_rows_revealed,hard_nn0.4__n_rows,hard_nn0.4__n_ligands,hard_nn0.4__macro_mae,hard_nn0.4__offset_mae,hard_nn0.4__shape_mae,hard_nn0.4__macro_mae_ligand,hard_nn0.6__n_rows,hard_nn0.6__n_ligands,hard_nn0.6__macro_mae,hard_nn0.6__offset_mae,hard_nn0.6__shape_mae,hard_nn0.6__macro_mae_ligand,n_train_chemotypes,n_train_ecfp_clusters,n_acquired_ligands,mean_nn_test_to_train,median_nn_test_to_train,frac_test_ligands_nn_below_0_4,mean_nn_test_to_start
104729,0,random,random,3,primary,0,0,0,2928,0,10,1.9400688321402517,1.9613329915596915,1.4473734517420622,1.8346550363999918,0.48940656658364506,-0.01611828244416702,1.7113284521138061,3.6388269766466173,0.39267015706806285,382,22,0,170,17,1.9376363855207193,1.8770876286083955,0.4184587768243163,1.9652977945705548,356,21,1.9469309154335093,1.8483778367837194,0.461322526182885,1.968880888001815,1,6,10,0.24651424955844073,0.24401913875598086,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,0,1,1,2931,1,11,1.9906751250715653,2.0092250889858208,1.5943333135078899,1.923018656612272,0.5084273027448563,-0.0858799324575934,1.806546191689649,3.6078114781331383,0.29842931937172773,382,22,0,170,17,1.9614901251849604,1.9386022625347588,0.44443719987727337,1.987212725537916,356,21,1.9932194414525921,1.9328134383392686,0.48028282434458774,2.0125315790589067,1,7,11,0.24752435056854172,0.24401913875598086,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,0,2,2,2934,2,12,1.9221424940993121,1.9523476953640249,1.5663995546876337,1.8628917248100536,0.4739840158498058,-0.024882797929141054,1.7144270841975398,3.552146611783336,0.2931937172774869,382,22,0,170,17,1.9026346185973484,1.8919516414716113,0.4028416150085446,1.9428712246753275,356,21,1.927233663170257,1.8783214830498534,0.4445244827959693,1.9586347707299108,2,8,12,0.24752435056854172,0.24401913875598086,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,0,3,3,2937,3,13,1.9699186643254127,1.9821936348676912,1.555280166805377,1.9206494493868915,0.5119044957429775,-0.09749095106866834,1.7827442236193964,3.564839251601398,0.32722513089005234,382,22,0,170,17,1.9756940725134147,1.9599551735950431,0.4458578256415058,1.9912395986158917,356,21,1.976544421652361,1.939283701974175,0.48394463990343345,1.9890884023477502,2,9,13,0.24752435056854172,0.24401913875598086,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,0,5,5,2943,5,15,1.7968898786510612,1.8128310129303047,1.4808454505087,1.7295596637412038,0.46764027978558675,0.0378604323125864,1.5418029543857448,3.1673576348962595,0.3507853403141361,382,22,0,170,17,1.8324953207699426,1.793628161947188,0.4010764945279401,1.8510305861831475,356,21,1.8185971797198341,1.7681204878019567,0.4431152727527198,1.8342637346281474,4,11,15,0.29521372221734204,0.25462962962962965,0.7272727272727273,0.24651424955844073
104729,0,random,random,3,primary,0,8,8,2952,8,18,1.9316325613203955,1.942892530848858,1.5593878820061264,1.877783790729792,0.4564403066979537,0.07938872208573888,1.7557603894364076,3.343387488139903,0.2931937172774869,382,22,0,170,17,2.0074942390432082,2.0051941220736533,0.39008804306078915,2.0176035126845817,356,21,1.9679285204768964,1.9360969188970134,0.4325147785615051,1.9779963000230711,6,14,18,0.33317522945541733,0.2774890043982407,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,0,12,12,2964,12,22,1.721487028391541,1.7550371273245622,1.5636352982888864,1.6400620253892457,0.4364703979536974,0.10117679349845443,1.600935034245349,2.9298463010848153,0.306282722513089,382,22,0,170,17,1.767553527298905,1.754695543474006,0.3689398317910544,1.8082615083353224,356,21,1.762156417256462,1.7133075100571908,0.415505021758229,1.7953675023832025,9,18,22,0.34456692739141004,0.29634146341463413,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,0,16,16,2976,16,26,1.6880854215778391,1.7019061020232618,1.4117266352296465,1.5872281551820562,0.43515253879782084,0.1276178864917622,1.6452535938551678,2.9183922562514066,0.337696335078534,382,22,0,170,17,1.755090054030401,1.7038808490311452,0.372685437565499,1.7690341915213854,356,21,1.725011150913518,1.6522644904783306,0.4146819146867278,1.7377315909355953,9,21,26,0.3464146731415948,0.31666666666666665,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,0,20,20,2988,20,30,1.557691689768051,1.5435069184246404,1.2281109816860838,1.4298798327956643,0.4314420766090901,0.12083383415857385,1.385234669948752,2.7712070703497886,0.38481675392670156,382,22,0,170,17,1.5867584665321646,1.5090874531808058,0.3647885473542116,1.566691893219274,356,21,1.5860582940232724,1.4824714761176674,0.41039809826484486,1.5698472666989747,10,23,30,0.3512621636330558,0.31666666666666665,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,0,25,25,3003,25,35,1.6249937511258508,1.5920877215015141,1.3595955999121,1.4866661820055784,0.435127302273802,0.1033387139696712,1.4131795236960976,3.0093896165913896,0.4214659685863874,382,22,0,170,17,1.6436438057783582,1.519114706396481,0.3674327323062261,1.599962470108481,356,21,1.66413829046344,1.5519284219760714,0.4140455433807458,1.6278012813647262,13,28,35,0.40222445032670073,0.4201680672268907,0.45454545454545453,0.24651424955844073
104729,0,random,random,3,primary,0,30,30,3018,30,40,1.6005527613673316,1.5698044464389367,1.305751372788191,1.4729308167660058,0.43814066379249345,0.08669506276699901,1.4611345425229092,2.9260951975654996,0.45287958115183247,382,22,0,170,17,1.657354955573899,1.554784351690778,0.3762818475392041,1.6142217130661782,356,21,1.639494277051585,1.542815999155816,0.4197965936940071,1.6054273987606833,15,33,40,0.40222445032670073,0.4201680672268907,0.45454545454545453,0.24651424955844073
104729,0,random,random,3,primary,1,0,0,2928,0,10,1.9283146709443268,1.9473243846749981,1.4298561373974676,1.8191276661459268,0.4880287547015103,-0.00773701261334403,1.6487516527186,3.6028487326506227,0.36910994764397903,382,22,0,170,17,1.9223723072046326,1.858446495212105,0.4189405202642156,1.947322664017248,356,21,1.933979518587168,1.8312454011861357,0.45982963078848643,1.9536247021315458,1,6,10,0.24651424955844073,0.24401913875598086,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,1,1,1,2931,1,11,1.6745001415128817,1.626029304624934,1.0885911228057137,1.5357613103671606,0.4706896739469133,0.05541692133271303,1.2859135262541395,3.211221670786509,0.5942408376963351,382,22,0,170,17,1.7523248548011952,1.6638602719729518,0.40548617225729333,1.685019965105715,356,21,1.67860937624292,1.550961795551808,0.44295033689632735,1.6276347264207824,2,7,11,0.2896976253085815,0.25462962962962965,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,1,2,2,2934,2,12,1.7237186379523464,1.6727738091356967,1.109397704019406,1.583848789360366,0.47860911999972333,0.06342438046934096,1.3839373630316647,3.289345148315094,0.5706806282722513,382,22,0,170,17,1.810307499898367,1.7113477660550702,0.40840897612997695,1.739285435432937,356,21,1.7306281730801305,1.6017118912419626,0.4505111094508332,1.676928374551841,3,8,12,0.2896976253085815,0.25462962962962965,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,1,3,3,2937,3,13,1.6295179060727414,1.5992303032993294,1.0566733882387869,1.487752330778396,0.44982818466188307,0.11621256089070198,1.3972342276400391,3.0827461843076978,0.5968586387434555,382,22,0,170,17,1.7986529775935558,1.7167999855504517,0.38830939749340654,1.7495081345032106,356,21,1.6632875215858054,1.554428609211485,0.4270979141641524,1.6299495750844657,4,9,13,0.2896976253085815,0.25462962962962965,0.7727272727272727,0.24651424955844073
104729,0,random,random,3,primary,1,5,5,2943,5,15,1.8077569044220911,1.8017982607373453,1.369435094623969,1.7061713732487291,0.44316102064897633,0.13496747353045646,1.7363356429649408,3.3482928706521626,0.44502617801047123,382,22,0,170,17,1.9293760598506975,1.8922935214390875,0.3795009519005032,1.914510805939344,356,21,1.8441148703166643,1.766925065915003,0.4203778242229467,1.8361411499852847,6,11,15,0.3282156447079865,0.27217318200924756,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,1,8,8,2952,8,18,1.8855606006751462,1.8340875882969108,1.5225300826844341,1.7278855554678836,0.4283909878140897,0.12655589030509518,1.499320887106523,3.430483086819913,0.38219895287958117,382,22,0,170,17,1.8875318783453428,1.7486361428292234,0.36003688446815524,1.8208037871693787,356,21,1.911023908271148,1.7581626298451518,0.4043660579293422,1.855887261608425,7,14,18,0.3397584678439387,0.28736710444027513,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,1,12,12,2964,12,22,2.1155955865083005,2.0538349269400724,1.7034099496696984,1.9360730720222212,0.4346960459366327,0.11401164785948581,1.7706570638946897,4.016131119068507,0.337696335078534,382,22,0,170,17,2.1472899157537793,1.965674674991685,0.3644755382766705,2.0654999840039854,356,21,2.1432463316311137,1.9586300382861974,0.4124447458921282,2.0772279861252176,10,18,22,0.34392110830353334,0.29281135531135527,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,1,16,16,2976,16,26,1.9690908121390487,1.9120516617770456,1.5737165658337062,1.7866356916574533,0.43642552883501917,0.11176450460679455,1.458143826583353,3.799000349119956,0.39528795811518325,382,22,0,170,17,1.9815896139580789,1.802028766340095,0.3645107142607164,1.907039019264955,356,21,1.984580933055072,1.7983935597192204,0.4123384778183098,1.924088007870306,13,21,26,0.35190907025568424,0.29281135531135527,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,1,20,20,2988,20,30,1.802346724387873,1.7576168392211762,1.428586762559871,1.6588525306896877,0.4369541082569562,0.10427547880675736,1.4671257385643854,3.331884969055634,0.39267015706806285,382,22,0,170,17,1.7635090036997032,1.6429351243486452,0.36831567222147354,1.707907841759753,356,21,1.8169601765209134,1.6754994164365253,0.4136784083124239,1.769404418149467,16,25,30,0.35988031176899754,0.32920506912442393,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,1,25,25,3003,25,35,1.7968980003127448,1.744489645037617,1.4121715858507595,1.6367890388246982,0.4524591486513007,0.09555371758716003,1.4984048112333412,3.3747050153113687,0.387434554973822,382,22,0,170,17,1.7752394710549675,1.6408091798452318,0.3872610836862278,1.7086909247729065,356,21,1.8136029511423548,1.658230970544086,0.4291708875761149,1.7579034860527156,19,29,35,0.3815666184300594,0.3953488372093023,0.5909090909090909,0.24651424955844073
104729,0,random,random,3,primary,1,30,30,3018,30,40,1.7832779298822763,1.7344452902635155,1.327484448648048,1.634439908732052,0.4404115041384173,0.12514492596079907,1.2880336028323436,3.3311055969434062,0.4214659685863874,382,22,0,170,17,1.7640717412032654,1.6481978933591184,0.374956478798786,1.702006336324811,356,21,1.8063262197620957,1.667210118347627,0.4166960648269518,1.7540706787386402,22,34,40,0.40328408995070203,0.39578762615182095,0.5454545454545454,0.24651424955844073
104729,0,maxmin,maxmin,3,primary,0,0,0,2928,0,10,1.9400688321402517,1.9613329915596915,1.4473734517420622,1.8346550363999918,0.4894065665836452,-0.01611828244416702,1.7113284521138061,3.638826976646616,0.39267015706806285,382,22,0,170,17,1.9376363855207193,1.8770876286083955,0.4184587768243163,1.9652977945705548,356,21,1.9469309154335093,1.8483778367837194,0.4613225261828851,1.9688808880018147,1,6,10,0.24651424955844073,0.24401913875598086,0.7727272727272727,0.24651424955844073
