comparison,checkpoint,statistic,n_foldseeds,point_delta,n_positive,ci95_low,ci95_high,bca_low,bca_high
maxmin_vs_random,5,macro_mae,15,0.1979594271744814,12,0.08744538060956576,0.33158211105165636,0.09953575854151073,0.3551366644683351
maxmin_vs_random,5,hard,15,0.27430981056683357,12,0.12830907193382557,0.43181729363215815,0.1377576296120934,0.4476777450668328
maxmin_vs_random,5,offset,15,0.22164338612629314,12,0.0992379421712561,0.3773300574353244,0.11725527161426733,0.4191047109978625
maxmin_vs_random,8,macro_mae,15,0.12659535902144148,11,0.03461533376372237,0.22035543802769422,0.03694872129239128,0.22325360692603516
maxmin_vs_random,8,hard,15,0.2104321808187427,12,0.06406847953990596,0.36374983027909286,0.0747545189030078,0.37476851808288547
maxmin_vs_random,8,offset,15,0.12347923748605585,10,0.028161226524022673,0.2216433419684747,0.030746018452215584,0.22547542513315108
maxmin_vs_random,12,macro_mae,15,0.11508056153861776,11,0.026726326493384127,0.20169740340657236,0.029539313712055888,0.20609716792176055
maxmin_vs_random,12,hard,15,0.24743487483596321,12,0.10487231770583634,0.40212108699715154,0.11441427462636507,0.41571782813794683
maxmin_vs_random,12,offset,15,0.09727961705801086,10,-0.0166642090158491,0.20105741667265095,-0.013755312589375398,0.20496697009678738
maxmin_vs_random,16,macro_mae,15,0.12152496086320613,13,0.056734369052176194,0.18060797555122948,0.053893181662623885,0.17870576920844633
maxmin_vs_random,16,hard,15,0.26154210671886,13,0.14192099283353435,0.3911602664771947,0.15601510475760053,0.40851559241641716
maxmin_vs_random,16,offset,15,0.09089833654502817,12,0.00954918992540814,0.16285235015452645,0.0051712365596254944,0.15916921920597588
maxmin_vs_random,20,macro_mae,15,0.12656886984441923,12,0.06117886137941659,0.20028974526521048,0.06937773538328766,0.21252187347627022
maxmin_vs_random,20,hard,15,0.25666932235790724,13,0.1460751831896062,0.37414626554624064,0.15822207870569932,0.39532348417518925
maxmin_vs_random,20,offset,15,0.10536395829721386,10,0.018188856510429115,0.19552856116647452,0.029443625872616352,0.2091994480047248
maxmin_vs_random,25,macro_mae,15,0.14294753488415576,13,0.07637276318099635,0.2049511471816253,0.07936584635996993,0.20704758921220898
maxmin_vs_random,25,hard,15,0.28030618413371855,14,0.18523344964711813,0.3827912133376564,0.1927513120534616,0.3924442830314699
maxmin_vs_random,25,offset,15,0.10099973530116704,10,0.009613772053312456,0.184069119374561,0.012373523104630685,0.18569705485820148
maxmin_vs_random,30,macro_mae,15,0.10030667413815735,12,0.023963919390461226,0.17224017436980898,0.02049591988073784,0.16758787998034563
maxmin_vs_random,30,hard,15,0.21010827180046326,13,0.11105385577934893,0.30530687664364053,0.11548039244567339,0.31086654853140555
maxmin_vs_random,30,offset,15,0.05625496244565852,11,-0.03903513495170548,0.1403768584704705,-0.04438905065459457,0.13585737108254456
diversity_x_uncertainty_vs_random,5,macro_mae,15,0.09364896745504712,9,-0.019455562095934003,0.2197925966510429,-0.016446169002977434,0.22443389101701522
diversity_x_uncertainty_vs_random,5,hard,15,0.13656499232862238,9,-0.0022000749817736556,0.28281370717983173,-0.0012971978052650091,0.2844911199005235
diversity_x_uncertainty_vs_random,5,offset,15,0.11127435505092385,9,-0.01677271786943813,0.2583056815304193,-0.005410062880351396,0.2832674068448052
diversity_x_uncertainty_vs_random,8,macro_mae,15,0.14456388663271488,12,0.050198677719878695,0.2510196908193502,0.057899408731221874,0.26361674435058496
diversity_x_uncertainty_vs_random,8,hard,15,0.21426896586366648,10,0.06246627531649129,0.38169564576523424,0.07450110811042492,0.39703347646195913
