extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-0.881402,-2.46936,1.02784,-4.78939,-1.07558,-1.33583,1.84784,-4.55138,5,s104729_S_b024,24
C1COCCOCCOCCOCCOCCO1,-0.613586,-2.99695,0.72241,-5.47785,-0.459897,-1.0751,1.62376,-4.45893,5,s104729_S_b024,24
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0.00142753,-0.57335,1.90739,-0.849037,1.47643,1.81817,-1.09804,-2.33163,7,s104729_S_b024,24
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-1.81397,-0.352867,3.53916,-0.305472,2.34192,0.174588,-2.83585,-1.05849,46,s104729_S_b024,24
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-0.270283,4.28764,2.3949,0.610247,0.240984,0.114501,-2.54667,-2.66368,6,s104729_S_b024,24
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-0.971278,1.05268,0.689219,-1.47932,-0.286634,-0.308022,-0.738713,-1.36166,2,s104729_S_b024,24
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,0.305504,2.43276,3.20469,0.610697,-1.69688,-0.446965,-4.32734,-5.61586,2,s104729_S_b024,24
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.571144,-0.891485,-0.304782,0.834401,-0.109718,0.117448,0.678469,0.657207,14,s104729_S_b024,24
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.924848,1.98096,2.24021,0.188345,1.83043,1.37052,0.656056,-0.941259,6,s104729_S_b024,24
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.176948,-1.32682,-0.357611,0.728953,-0.267283,-0.136254,0.359461,0.629171,52,s104729_S_b024,24
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,0.415038,-0.835707,-0.315624,1.55585,0.690408,1.14177,-0.157303,0.613275,2,s104729_S_b024,24
CC(C)CN(CC(C)C)C(=O)C(C)C,-0.37551,0.557601,0.712324,-2.57307,-2.10575,0.970087,-1.69869,-2.70767,7,s104729_S_b024,24
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.393274,-1.18772,0.0309961,0.581335,-0.228392,-0.374195,0.224789,0.874322,60,s104729_S_b024,24
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-0.575522,-2.80859,2.91053,1.46539,1.94085,-0.690491,-0.579312,-0.0994278,12,s104729_S_b024,24
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-1.93988,-0.081191,4.41057,-0.0471781,1.40514,-2.45302,-1.77419,-1.29224,22,s104729_S_b024,24
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,0.884671,-0.285999,2.41411,2.58985,0.862241,0.906987,-3.03492,-4.00363,12,s104729_S_b024,24
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-2.20612,2.68525,2.23648,0.968422,3.10349,-0.413154,-0.918798,-0.256188,24,s104729_S_b024,24
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-1.5669,0.649451,3.0001,-1.15705,0.427278,-0.671744,-1.26712,-1.84914,4,s104729_S_b024,24
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,0.597913,0.0904812,2.6199,2.29426,0.38222,0.317496,-3.18453,-4.3644,12,s104729_S_b024,24
