g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.693868,-0.281389,-0.11605,0.42854,1733,s104729_S_b005,5
Am(VI),-1.70001,-1.05404,-2.71398,-2.22095,27,s104729_S_b005,5
Ba(II),-5.20966,0.376436,3.38681,-1.30304,25,s104729_S_b005,5
Bi(III),-1.88206,8.12775,-1.45416,0.32662,17,s104729_S_b005,5
Ca(II),-2.41213,2.74631,2.26315,1.7199,22,s104729_S_b005,5
Cd(II),-6.69734,5.70281,-6.96742,-6.77798,4,s104729_S_b005,5
Ce(III),-0.822432,0.75394,2.26759,-2.3025,293,s104729_S_b005,5
Cf(III),0.299841,-0.572303,-0.751676,0.671861,9,s104729_S_b005,5
Cm(III),-0.440461,-0.865579,0.0586945,0.721636,135,s104729_S_b005,5
Dy(III),0.892724,0.635811,1.1485,0.489866,377,s104729_S_b005,5
Er(III),1.32886,0.551799,1.06362,0.588061,300,s104729_S_b005,5
Eu(III),0.668043,-0.227299,1.63782,-0.164871,1692,s104729_S_b005,5
Gd(III),0.651314,0.181096,1.73945,-0.269327,359,s104729_S_b005,5
Hf(IV),0.532784,1.89594,1.24811,-0.333631,5,s104729_S_b005,5
Ho(III),1.28448,0.465912,1.06883,0.561442,264,s104729_S_b005,5
In(III),-3.84286,1.53793,1.67892,0.710406,5,s104729_S_b005,5
La(III),-1.07126,0.567131,2.47437,-2.77939,344,s104729_S_b005,5
Lu(III),1.59158,0.442281,1.01034,0.832422,247,s104729_S_b005,5
Nd(III),-0.102677,0.0493341,2.1965,-2.04042,419,s104729_S_b005,5
Np(IV),0.455229,1.14588,-2.80731,-0.813475,194,s104729_S_b005,5
Np(V),-1.61114,-2.95677,-1.9525,-3.12642,187,s104729_S_b005,5
Np(VI),-0.312275,-1.12667,-3.67035,-3.67854,67,s104729_S_b005,5
Pa(V),-1.65637,-0.82697,-4.1554,-2.90464,43,s104729_S_b005,5
Pb(II),-3.8925,5.28838,1.73516,-0.409695,10,s104729_S_b005,5
Pd(II),0.61074,3.98139,-1.17239,-7.97707,18,s104729_S_b005,5
Pd(IV),3.42838,-0.955416,5.98959,-0.866707,5,s104729_S_b005,5
Pm(III),0.970314,0.140999,1.73094,0.00787842,1,s104729_S_b005,5
Pr(III),-0.362206,0.229962,2.0004,-1.89494,348,s104729_S_b005,5
Pu(III),0.216976,-0.504163,-0.915384,-1.41087,118,s104729_S_b005,5
Pu(IV),0.00854152,1.32739,-2.92683,-1.17648,580,s104729_S_b005,5
Pu(VI),-0.799001,-1.06789,-3.62725,-4.07131,107,s104729_S_b005,5
Sm(III),0.343988,0.358997,1.96948,-0.741021,323,s104729_S_b005,5
Sr(II),-3.56595,2.60231,1.93035,0.0801535,77,s104729_S_b005,5
Sr(III),-4.41646,1.94032,-1.19729,0.416587,38,s104729_S_b005,5
Tb(III),0.839607,0.469831,1.37145,0.205781,269,s104729_S_b005,5
Tc(VII),1.7214,-0.219721,0.512785,-3.32282,21,s104729_S_b005,5
Th(IV),-0.174535,0.701178,-0.866205,-0.222614,773,s104729_S_b005,5
Tm(III),1.46128,0.577658,0.99508,0.738118,201,s104729_S_b005,5
U(IV),-1.21031,0.366166,-1.19171,-1.97329,15,s104729_S_b005,5
U(VI),-1.9772,0.755273,-4.71607,-4.09327,1036,s104729_S_b005,5
Y(III),-0.789795,3.35276,1.04692,0.61304,28,s104729_S_b005,5
Yb(III),1.59452,0.577401,1.06902,0.751806,231,s104729_S_b005,5
Zr(IV),1.57352,4.6353,-0.0468363,-2.74567,13,s104729_S_b005,5
