g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),-1.41082,0.768594,0.266689,-0.274414,-0.259396,0.225394,0.600849,-0.8068,0.0590918,-0.124557,-1.1455,0.620269,-0.673299,-0.362442,-0.234477,-0.965381,1733,s104729_S_b013,13
Am(VI),-1.67159,0.0828623,2.9611,-2.06178,-0.917447,0.663326,-0.814914,0.859128,-0.340175,-1.63274,-1.38489,0.35002,-0.503686,1.54115,0.490308,-0.873635,27,s104729_S_b013,13
Ba(II),-0.627888,5.77975,1.96344,1.51056,-4.10772,-0.247469,0.0967699,-2.65789,-0.0638812,0.78313,-1.81002,-3.71682,-0.979263,0.900171,-3.27178,-0.251771,25,s104729_S_b013,13
Bi(III),-3.36365,1.09342,3.14683,4.50835,0.851112,1.42299,-3.09845,0.432931,-3.27273,0.710273,1.327,0.668981,4.32297,0.00647402,0.314191,-1.8962,17,s104729_S_b013,13
Ca(II),-1.70778,1.64861,0.267332,-1.34776,-1.25398,1.16796,-1.4151,-1.47397,0.794017,-0.781083,0.160266,-2.44234,-0.50384,-1.04428,-0.957138,0.609706,22,s104729_S_b013,13
Cd(II),-2.38056,5.42668,7.46033,-0.31285,-0.964314,0.121281,0.478371,-5.59715,1.25202,0.377036,-2.37586,3.42516,0.475061,4.05366,-5.32036,1.40542,4,s104729_S_b013,13
Ce(III),2.03876,0.989675,0.421063,2.13052,-1.16544,-0.34225,-0.264799,0.292575,-0.0317351,-0.0790272,-0.457448,-1.76852,0.0439801,1.37904,-0.434206,-1.27159,293,s104729_S_b013,13
Cf(III),-0.699262,1.03514,0.126291,-0.547373,0.0756568,0.158158,-0.371593,-0.0534912,0.133648,-0.239441,-0.453301,0.974625,-0.519107,-0.580821,-0.322875,-1.68627,9,s104729_S_b013,13
Cm(III),-1.04813,1.0767,0.0147538,-0.254525,-0.205078,-0.23003,0.421714,0.433868,-0.172965,-0.256184,-0.692339,0.862067,-0.334767,-0.0884771,-0.650118,-0.49111,135,s104729_S_b013,13
Dy(III),0.474,-0.233381,-1.03311,0.0956852,0.729864,0.2824,-0.505651,-0.686088,-0.364999,-0.128443,0.506738,0.206972,0.387765,-0.286118,-0.231321,-0.399619,377,s104729_S_b013,13
Er(III),0.270776,-0.645921,-1.0386,-0.225059,1.01542,0.438609,-0.652449,-0.640613,-0.40943,0.138332,0.920337,0.381673,0.27978,-0.327988,-0.127423,-0.709785,300,s104729_S_b013,13
Eu(III),0.714823,-0.746332,0.314916,0.463615,0.675685,-0.511243,-0.30555,-1.13281,-0.499879,0.92053,0.397231,-0.770295,0.349519,-0.210768,-0.346476,-0.766792,1692,s104729_S_b013,13
Gd(III),0.997058,-0.149893,-0.837272,0.60619,0.448765,0.0226851,0.192693,-0.461112,-0.384867,-0.0495575,0.704293,-0.139587,0.246957,0.333243,-0.361954,-0.418591,375,s104729_S_b013,13
Hf(IV),-1.48019,-0.328393,-2.85418,0.302217,0.741981,1.85169,0.556933,-1.13121,-2.11337,0.385057,-1.22267,0.95499,-1.71706,-0.453322,1.70842,-1.48911,5,s104729_S_b013,13
Ho(III),0.329344,-0.610594,-1.03103,-0.141978,0.948479,0.358655,-0.630845,-0.619275,-0.446231,0.0246845,1.05021,0.303554,0.309806,-0.352913,-0.213041,-0.634672,264,s104729_S_b013,13
In(III),-3.42202,-0.00497498,3.61098,2.99606,0.36783,-3.9835,1.09475,-2.54758,-2.60771,0.953702,-0.0359457,-0.24592,3.02312,2.01439,-3.93273,0.683482,5,s104729_S_b013,13
La(III),2.40736,1.23867,0.614552,2.57988,-1.40585,-0.500654,0.288139,0.0718327,-0.277244,-0.0905622,-0.685053,-1.84949,0.202101,1.67813,-0.678987,-1.39634,344,s104729_S_b013,13
Lu(III),0.20576,-0.590105,-1.10583,-0.278161,1.31105,0.556059,-0.537446,-0.126918,-0.62873,-0.296832,1.35367,0.805038,0.122333,-0.392826,-0.219498,-1.19892,247,s104729_S_b013,13
Nd(III),1.98644,0.530813,0.0774378,1.33742,-0.437182,-0.0426438,0.269432,0.438756,-0.371038,-0.695212,-0.12302,-1.1769,0.323305,1.2157,-0.264115,-0.614997,433,s104729_S_b013,13
Np(IV),-0.494496,-0.678149,0.559523,-0.912197,-0.180293,0.155694,0.889233,-2.03914,0.715873,-0.807758,-1.24856,0.219202,0.671321,0.37594,0.773642,1.99566,178,s104729_S_b013,13
Np(V),-1.96861,0.407308,2.36796,-1.07205,-1.33589,-0.318428,0.833176,-0.20447,-1.41891,-1.80585,-2.3491,-1.14069,-0.636787,2.56455,-0.529945,2.54304,177,s104729_S_b013,13
Np(VI),-1.9586,-0.958412,2.49434,-2.44535,-0.458565,1.24814,-0.609912,-0.881628,-1.4866,-2.45717,-1.16306,-0.629413,0.208082,2.34785,0.526651,0.870373,67,s104729_S_b013,13
