g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.439811,0.788406,-0.0226451,0.012726,-0.791559,0.352273,0.0527751,-0.0136789,0.738505,2.10528,-0.111119,0.601465,-0.904505,0.148015,0.885111,-0.517991,1733,s104729_S_b022,22
Am(VI),-1.12157,1.77616,0.328635,-0.245958,0.716806,-1.06883,0.792674,0.138843,-0.355705,2.15141,1.70511,0.560625,-2.2091,-1.91764,-0.204762,2.01103,27,s104729_S_b022,22
Ba(II),-1.9752,2.37723,-4.98521,-3.38483,-3.32103,-0.0625141,-3.91093,1.56166,2.9051,4.24782,1.68111,2.55504,-2.78453,0.455354,-1.19845,-1.1009,3,s104729_S_b022,22
Bi(III),4.49471,-1.84605,0.721382,1.51478,0.179536,-2.93885,-0.209187,-2.98469,-1.27676,2.90887,2.69989,0.708453,-3.73199,-3.67653,-5.61678,-4.87837,17,s104729_S_b022,22
Ca(II),-1.41776,0.905398,-0.954845,-0.610627,-3.02901,-0.517216,-0.141928,0.917026,-0.123809,1.49008,-1.00823,-0.311014,-1.71971,-1.29484,-0.0698529,-1.48939,22,s104729_S_b022,22
Cd(II),-1.99234,-2.36643,5.38881,5.48073,-1.94148,0.329546,-0.933196,-1.83402,4.07522,0.172425,-1.05333,8.2931,-7.84938,1.70343,-5.71764,-0.495715,4,s104729_S_b022,22
Ce(III),-0.0673964,-0.0293998,-0.0773846,-2.52669,-0.132285,1.65337,-1.94604,0.631755,0.673381,-0.282686,0.368993,1.29353,0.704494,1.16425,-2.35614,1.00343,293,s104729_S_b022,22
Cf(III),0.271573,-0.0500708,-0.213325,-0.0693566,0.411044,-0.203909,1.33193,-0.836287,-0.402936,1.25743,0.303658,0.636415,-0.828555,-0.284198,0.11904,-0.62082,9,s104729_S_b022,22
Cm(III),0.812616,0.81213,-1.42141,0.0690854,-0.403283,0.0178741,0.809767,-0.0178396,0.265314,1.87285,0.464676,0.23717,-1.10273,1.14244,0.00299448,-0.747095,135,s104729_S_b022,22
Dy(III),1.22529,-0.335946,0.475709,0.60096,-0.549545,-0.0146324,0.171025,-0.974544,-0.256702,-0.196212,-0.749104,-1.0451,0.451365,0.492201,-0.223299,0.0861688,377,s104729_S_b022,22
Er(III),1.12929,-0.337111,0.410544,0.958826,-0.196046,-0.309142,0.539735,-1.50837,-0.563374,0.232593,-0.841743,-0.813451,0.717657,0.741947,-0.267169,-0.259401,284,s104729_S_b022,22
Eu(III),1.09309,-0.83175,0.698064,-0.864467,-0.395202,-0.613464,-1.10572,-0.734998,-0.399249,0.146892,0.471485,-0.299586,-0.0191455,-0.137281,-0.395965,-0.83224,1692,s104729_S_b022,22
Gd(III),1.12721,-0.703765,0.589798,-0.630964,-0.440024,-0.323372,-0.454592,-0.364891,0.0491903,-0.468914,-0.784066,-0.794541,-0.16034,1.01102,-0.335807,0.488701,375,s104729_S_b022,22
Hf(IV),-0.858638,-0.405973,-0.351537,2.39162,1.89087,-1.64378,-0.16309,-0.856532,-2.29005,3.14435,-2.29195,1.37523,1.97572,-0.39611,-2.59223,-0.879314,5,s104729_S_b022,22
Ho(III),1.10627,-0.274858,0.384704,0.854383,-0.19562,-0.487083,0.456945,-1.10227,-0.418559,-0.0893173,-0.687892,-1.14274,0.558458,0.771022,-0.286339,-0.170641,264,s104729_S_b022,22
In(III),-1.19139,-0.913146,3.74775,3.77923,-1.22869,-4.82717,-1.94924,0.947716,1.48334,1.16978,1.57127,4.30124,-4.62517,-0.495153,-3.79436,-3.52807,5,s104729_S_b022,22
