extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,1.75701,-10.5214,-1.23874,4.40696,0.478286,2.09743,-2.68188,2.40423,-0.869749,-0.363629,-1.03146,0.942295,1.63848,-3.90058,0.368952,-1.67025,5,s104729_S_b023,23
C1COCCOCCOCCOCCOCCO1,1.02477,-9.21476,-1.07799,4.14565,0.503046,1.91017,-2.30343,2.06728,0.558338,0.425175,-0.982461,0.77292,0.777452,-3.137,0.287033,-2.39901,5,s104729_S_b023,23
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0.766428,-1.20655,0.392892,-0.456079,1.38176,0.305833,0.112128,-4.03521,2.65953,-0.147132,1.44912,-1.4405,0.630902,0.311284,0.834035,-0.944144,7,s104729_S_b023,23
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0.871293,-1.8645,-2.1981,0.212469,-3.02321,0.696163,0.848044,-0.477885,0.777789,-2.34041,-0.423551,-0.738873,3.31583,0.559258,-1.24927,1.19581,46,s104729_S_b023,23
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-0.98208,0.146207,-2.66452,-0.418633,-0.776931,3.51472,0.158577,-1.12263,3.04302,-0.918958,-2.34101,-0.695632,-0.875898,-2.32891,0.299687,1.66402,6,s104729_S_b023,23
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-0.321782,1.01853,0.188319,1.12322,-1.37514,1.49858,-1.60318,-0.947388,0.241411,-0.729902,-1.29794,-1.705,0.594689,-0.498719,0.245001,1.36909,2,s104729_S_b023,23
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,1.351,0.318325,-1.57407,-2.07822,1.09458,2.89978,-0.979932,-0.381442,2.68533,0.085584,-2.49546,-2.08862,2.27545,-1.33024,0.821471,1.55682,2,s104729_S_b023,23
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.241142,-0.745012,0.911703,0.227882,0.347819,-0.831355,-0.247917,1.54651,0.270201,-0.662471,1.10227,0.447666,-0.851101,-0.0644225,0.461081,-1.13492,14,s104729_S_b023,23
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-1.71166,2.49763,1.98206,-1.7652,2.08022,0.858306,-1.07981,-1.44967,6.37968,-2.50348,-2.50483,6.84593,2.37115,0.937274,1.51214,-1.81229,6,s104729_S_b023,23
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.513385,-0.660931,0.656902,-0.319784,-0.252638,-0.840642,-0.0170563,1.93182,0.398298,-0.603057,-0.00117498,0.1301,-0.44174,0.0653479,0.667898,-1.20493,52,s104729_S_b023,23
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,0.227623,-1.97803,0.872768,0.0903059,-1.09982,-0.356493,0.983088,1.06688,0.90427,0.128091,-1.04768,0.715193,-2.07956,0.799784,1.19376,-1.33867,2,s104729_S_b023,23
CC(C)CN(CC(C)C)C(=O)C(C)C,-0.252481,3.32133,-0.378698,1.0853,0.304384,1.60089,-1.37453,-0.539587,2.50205,-2.18476,-0.660096,-3.52989,1.72845,-2.19148,-0.167874,0.950823,7,s104729_S_b023,23
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.396084,-0.370338,1.0723,-0.217455,-0.237706,-0.447066,-0.126769,1.81313,0.386699,-0.547917,-0.269198,0.532475,-0.947195,0.114563,1.23023,-1.15388,40,s104729_S_b023,23
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,3.81687,-4.17519,-1.23797,-1.88008,-0.408131,-0.761853,1.04744,1.43992,0.934206,-1.32667,-0.68257,-0.498158,4.41067,1.42456,1.15124,-0.735808,12,s104729_S_b023,23
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,1.91351,-2.12432,-3.04507,-0.836232,-0.487878,0.898583,-0.956409,-0.430354,-0.181646,-1.55355,-1.28966,-1.39747,2.78777,-0.0305373,-0.906302,-0.0831174,22,s104729_S_b023,23
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,1.9711,-0.229094,-0.888711,0.305601,1.32044,3.33577,0.693646,-5.72551,0.700134,0.460532,0.299925,-2.92806,5.23007,-0.57644,-1.18598,-1.67233,12,s104729_S_b023,23
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-0.0251978,-2.52927,-3.72526,-1.48632,0.000404343,2.36193,-2.9575,-1.73608,-0.895207,-0.417049,0.50456,0.818076,3.80322,1.39352,-0.496391,1.32012,24,s104729_S_b023,23
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-0.264042,-0.836525,-0.984268,-0.65082,0.711948,1.16673,-1.23533,-1.36121,0.0498786,-0.782789,-1.36461,-1.51545,1.49308,-0.706166,-0.907993,0.173723,4,s104729_S_b023,23
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,2.16951,0.585383,-1.99238,-0.14924,1.21138,3.42739,0.775668,-4.82915,-0.0981371,-0.662635,-0.379518,-3.00805,5.76307,-1.09805,-1.95649,-1.16738,12,s104729_S_b023,23
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,1.37438,-2.58237,-2.32036,-0.670081,-0.820219,0.618552,-0.247835,-0.780958,0.297139,-1.37127,-1.28791,-0.698892,2.84567,0.540087,-0.632127,-0.125789,24,s104729_S_b023,23
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-0.19459,-1.46276,-3.36859,-0.737944,-0.389568,2.06879,-1.91899,-0.517589,0.0338907,-1.48563,-2.62614,-1.03144,2.99546,-0.584086,-1.199,0.139916,10,s104729_S_b023,23
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,-0.50987,-0.498057,-3.56476,-2.76908,0.882336,1.88481,-2.06563,0.3258,0.279956,0.0554917,-2.79895,0.3706,2.47261,0.282337,0.382564,-0.687066,22,s104729_S_b023,23
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,1.93621,-2.37393,-2.51942,-1.76387,-0.131931,0.139447,0.0981797,0.2834,-0.14867,-0.82335,-0.389186,-1.07795,3.08921,0.456074,-0.184471,-1.16702,28,s104729_S_b023,23
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1.76611,-0.875339,-2.42658,-0.989479,-1.29459,0.287188,0.0455801,-0.347235,0.611887,-1.54486,0.0330272,-1.85579,3.43072,-0.158589,-0.46164,-0.885152,30,s104729_S_b023,23
CCCC(=O)N(CC(C)C)CC(C)C,0.509886,2.73524,0.31656,0.819111,-0.455221,1.01497,-1.80749,-0.547382,2.89312,-1.256,0.0354518,-2.78853,1.10931,-1.209,0.31127,0.271407,9,s104729_S_b023,23
CCCCC(CC)C(=O)N(CCCC)CCCC,-1.21021,3.20955,-0.736703,0.84578,-0.132124,1.93113,-2.1399,-0.885895,3.10158,-1.10826,-0.314967,-3.09271,2.60295,-1.22477,-0.886633,1.39125,61,s104729_S_b023,23
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.513139,-0.693604,0.862052,-0.0450125,-0.0294591,-0.530891,-0.245253,0.713187,-0.315097,0.151326,1.27648,-0.0524479,-0.978888,1.17503,0.971758,-0.888506,14,s104729_S_b023,23
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-1.84519,-3.83064,-1.31891,0.719532,0.372758,-0.208294,0.357738,-2.02354,2.87027,-0.837461,-0.847587,-1.40245,0.0905803,2.93329,0.413267,2.97433,63,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,-1.3151,1.91782,1.05481,2.66045,-0.449361,1.57612,-2.98974,-1.44098,2.47647,-1.34713,0.286263,-2.54876,0.75217,-1.5252,-1.52567,2.08114,90,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-0.71391,1.05998,0.427152,2.19773,1.64263,1.47417,-2.68188,-1.3557,3.61489,-1.67324,-0.217032,-2.68429,1.24601,-1.50049,-1.25251,1.91819,451,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,-0.334621,2.31083,-0.145665,1.435,-0.345912,0.911787,-2.27623,-1.35864,2.4047,-1.16953,0.184426,-2.56702,1.77932,-1.08833,-0.85058,1.25008,25,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,-0.857109,2.52799,0.0930163,1.71861,0.78848,1.24166,-1.43301,-0.681683,1.06675,-1.96007,0.185043,-1.62075,0.9033,-0.702945,-0.0118787,1.85932,29,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,-0.816674,2.18469,0.340772,1.32791,0.180104,0.722949,-1.80729,-1.89643,2.09794,-0.647771,0.359717,-2.71119,1.07356,-0.930321,-0.647047,1.28034,447,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-3.31557,-0.125057,-3.03288,0.166876,0.821207,1.98008,-0.150051,-1.47427,-0.385992,-2.30814,-1.48813,-1.79463,-0.958255,-1.58271,-1.54822,1.98958,4,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.244923,-4.18824,-2.39315,0.0152191,-0.544122,-1.00437,-0.400937,-3.0265,3.47987,-0.578269,-0.516501,-1.51122,0.980729,3.76604,-1.75296,3.06012,24,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-1.27221,-1.66998,0.0405409,0.44354,-0.0838802,-0.581305,0.189593,0.191002,-1.10762,-0.344581,0.464041,-0.154124,-0.109007,1.75759,-0.101132,0.295932,520,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,0.227039,1.91204,-0.184251,0.743698,0.453806,0.946987,-2.51042,-0.613436,2.03553,-1.07905,-0.125231,-2.01031,1.10536,-0.497164,-0.0179762,1.0747,27,s104729_S_b023,23
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.313317,2.69613,1.00974,-1.37979,-1.61686,0.799191,0.502004,-0.0357207,-0.214754,0.885864,1.16005,2.41149,3.03263,1.85522,1.13405,1.61884,4,s104729_S_b023,23
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-1.48413,2.17063,1.4925,-0.634677,1.86429,0.847951,-2.11988,-2.16975,6.80409,-2.81698,-2.02241,6.65366,2.83054,0.470303,1.05331,-0.993432,6,s104729_S_b023,23
CCCCCC(=O)N(C(C)CC)C(C)CC,-0.535291,2.53298,0.637446,0.956272,1.50783,1.27356,-2.43723,0.300713,1.69229,-0.914947,0.206077,-2.10906,0.621483,-1.1205,0.298076,0.653778,5,s104729_S_b023,23
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.658958,2.90544,0.291036,1.30302,0.407901,0.894555,-1.80406,-0.531677,1.22148,-1.346,0.587742,-2.21304,1.07036,-0.915953,-0.290754,1.29263,17,s104729_S_b023,23
CCCCCC(=O)N(CCCC)CCCC,-0.460621,2.42515,0.0926263,0.768855,0.177071,1.24289,-1.47467,-0.728849,2.56634,-0.498689,0.0938009,-2.28407,1.10918,-1.28046,-0.187683,0.697759,2,s104729_S_b023,23
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,-0.370752,-1.43888,0.210744,-0.341719,-2.72538,0.440297,1.75238,0.291278,1.06812,1.26311,-0.423566,0.781976,-2.06532,0.949187,1.22011,-0.774529,2,s104729_S_b023,23
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,-0.500924,2.35687,0.278475,1.72478,0.438908,1.29631,-2.3411,-1.38502,3.54977,-1.60848,0.105772,-2.82925,1.40304,-2.00308,-0.52155,1.02138,14,s104729_S_b023,23
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.0919285,0.498359,1.21519,-0.535381,-0.0535303,-0.514022,0.890782,1.25448,-0.247327,0.4716,1.22377,0.0209265,-1.63548,0.879213,1.31319,-1.14421,134,s104729_S_b023,23
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,-0.28387,-0.00769322,0.351117,0.350898,-0.594035,-0.704476,0.0433885,0.747846,-0.629373,-0.0514364,1.63149,0.525046,-0.585401,0.693211,0.0508032,-0.709494,14,s104729_S_b023,23
CCCCCCCC(=O)N(CCCCCC)CCCCCC,-0.538075,3.09147,-0.779946,1.16569,-0.0040932,1.09298,-1.08535,-1.09685,2.52446,-0.534633,0.486053,-1.83874,1.76564,-1.50262,-0.213834,0.527539,446,s104729_S_b023,23
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.464945,2.57992,1.01178,-1.5673,-1.69072,0.80231,1.02088,0.0380289,-0.254796,0.731118,1.62268,2.4617,3.00228,1.76722,1.33638,1.67516,77,s104729_S_b023,23
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,0.867587,-0.0798233,-1.76553,-1.43484,0.736749,2.15037,0.85203,-4.64017,-0.53649,-0.644237,-0.524261,-1.78623,4.61214,-2.31736,-2.16428,0.129704,6,s104729_S_b023,23
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,0.128593,-0.0659873,-1.09785,0.339985,1.12196,2.85425,0.3221,-3.50129,-1.01743,-0.601158,0.276221,-1.98928,4.00156,-1.94746,-1.49006,0.00629741,6,s104729_S_b023,23
