g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),0.020426,0.654994,1.11206,-1.11516,1733,s104729_S_b019,19
Am(VI),1.84393,-1.43489,-1.20371,-2.0193,27,s104729_S_b019,19
Ba(II),-0.351453,-2.3759,3.70076,-2.30606,25,s104729_S_b019,19
Bi(III),1.24689,0.261394,0.895272,1.89998,17,s104729_S_b019,19
Ca(II),0.0527272,-0.600967,1.18733,-0.118909,22,s104729_S_b019,19
Cd(II),-3.92002,-1.08488,2.83975,-0.0477734,4,s104729_S_b019,19
Ce(III),-0.394821,-1.31387,-0.565024,-0.272959,283,s104729_S_b019,19
Cf(III),0.869308,1.21807,0.964263,-0.477885,9,s104729_S_b019,19
Cm(III),-1.03206,0.963381,0.863149,-0.973634,135,s104729_S_b019,19
Dy(III),-0.440478,0.14141,0.216878,2.02252,377,s104729_S_b019,19
Er(III),-0.487293,0.388357,0.147028,2.34331,300,s104729_S_b019,19
Eu(III),-0.365951,-0.141764,0.380652,1.3067,1679,s104729_S_b019,19
Gd(III),-0.803859,-0.215794,0.0563863,1.09176,375,s104729_S_b019,19
Hf(IV),2.95934,1.0057,-0.0538392,0.224644,5,s104729_S_b019,19
Ho(III),-0.538668,0.282921,0.141107,2.29487,243,s104729_S_b019,19
In(III),-2.36548,-1.69622,1.78242,-1.77942,5,s104729_S_b019,19
La(III),-0.513494,-1.63063,-0.532228,-0.442563,344,s104729_S_b019,19
Lu(III),-0.574646,0.571856,0.181279,2.60444,247,s104729_S_b019,19
Nd(III),-1.24423,-1.0691,-0.870271,-0.127174,433,s104729_S_b019,19
Np(IV),0.969267,1.09543,-1.48607,-2.20464,216,s104729_S_b019,19
Np(V),-0.0216084,-2.56847,-0.552384,-2.73814,187,s104729_S_b019,19
Np(VI),2.31187,-1.67731,-2.1808,-1.77558,67,s104729_S_b019,19
Pa(V),2.81427,-1.37559,-1.12182,-1.84809,43,s104729_S_b019,19
Pb(II),0.989554,-1.50094,1.5977,-1.53375,10,s104729_S_b019,19
Pd(II),2.997,2.20154,1.83102,-1.63436,18,s104729_S_b019,19
Pd(IV),4.61871,-1.25852,2.50335,-3.93836,5,s104729_S_b019,19
Pm(III),-0.443097,-0.285569,0.303786,0.935095,1,s104729_S_b019,19
Pr(III),-0.58651,-1.11116,-0.408125,-0.06366,348,s104729_S_b019,19
Pu(III),0.492408,0.494083,-0.31344,-1.4291,118,s104729_S_b019,19
Pu(IV),1.7306,0.616678,-1.47309,-1.3447,580,s104729_S_b019,19
Pu(VI),3.00278,-2.25085,-2.01171,-0.972368,96,s104729_S_b019,19
Sm(III),-0.836799,-0.502144,-0.179473,0.858895,323,s104729_S_b019,19
Sr(II),0.405623,-1.40206,1.80995,-0.0275599,94,s104729_S_b019,19
Sr(III),-1.04864,-1.65011,1.49871,2.86988,38,s104729_S_b019,19
Tb(III),-0.60273,0.0660879,0.139877,1.56601,269,s104729_S_b019,19
Tc(VII),8.40298,-0.581954,-0.146544,-0.357811,21,s104729_S_b019,19
Th(IV),0.186964,1.29541,-0.0542646,-1.88098,773,s104729_S_b019,19
Tm(III),-0.54334,0.470348,0.153238,2.48768,201,s104729_S_b019,19
U(IV),1.16587,-0.490186,0.295869,-3.00456,15,s104729_S_b019,19
U(VI),3.96253,-1.62872,-2.16436,-1.92884,1036,s104729_S_b019,19
Y(III),-1.13694,1.03311,0.426691,1.36082,28,s104729_S_b019,19
Yb(III),-0.813424,0.500033,0.0157196,2.80973,231,s104729_S_b019,19
Zr(IV),2.94446,1.49246,-0.441517,0.275707,13,s104729_S_b019,19
