g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.114679,-0.170044,-0.724602,0.356554,-1.5899,-0.0931517,0.429187,-0.0257697,1711,s104729_S_b016,16
Am(VI),0.757529,-1.41263,-1.34518,1.99359,0.0990054,-2.81979,1.09502,0.748838,27,s104729_S_b016,16
Ba(II),3.22062,-3.83227,-2.45531,2.27394,-2.19991,3.18514,4.87996,2.38287,25,s104729_S_b016,16
Bi(III),-7.72501,-2.1229,-4.03094,-1.52751,2.20475,2.79272,-0.492323,2.86457,17,s104729_S_b016,16
Ca(II),-0.171784,-1.01775,-3.07357,-0.044798,0.166266,3.63247,1.0383,0.612887,22,s104729_S_b016,16
Cd(II),1.81582,-5.26616,-1.78261,4.65054,-2.12633,-6.98464,2.37752,2.78081,4,s104729_S_b016,16
Ce(III),1.32998,-1.24435,1.22011,0.892213,1.89921,1.32939,0.934802,0.263031,293,s104729_S_b016,16
Cf(III),-0.110581,0.25041,-0.102216,-0.316316,-0.932424,-0.694994,0.184447,-0.626149,9,s104729_S_b016,16
Cm(III),0.563834,-0.449,-0.00697461,0.0853354,-1.11493,0.442155,1.21208,-0.411649,135,s104729_S_b016,16
Dy(III),-0.220578,0.3381,0.180197,-0.00861705,0.548778,1.16291,-1.24096,-1.00244,377,s104729_S_b016,16
Er(III),-0.510829,0.484339,-0.00124608,-0.396255,0.217473,0.893211,-1.40597,-1.11828,223,s104729_S_b016,16
Eu(III),0.131618,-0.768295,0.442232,-1.07869,0.504211,1.1983,-0.857873,-0.0400322,1692,s104729_S_b016,16
Gd(III),0.205688,-0.168151,1.00573,-0.160527,0.721526,1.30618,-0.932729,-0.444288,375,s104729_S_b016,16
Hf(IV),-2.99603,2.24114,-2.32176,2.06195,0.615835,1.89459,-0.835414,-0.470851,5,s104729_S_b016,16
Ho(III),-0.568473,0.551832,0.157909,-0.465489,0.42194,1.0001,-1.32898,-1.04236,264,s104729_S_b016,16
In(III),-2.36618,-1.89445,-4.24935,-1.03254,-2.50808,4.66882,5.32714,3.75399,5,s104729_S_b016,16
La(III),1.56337,-1.56233,1.30537,1.33042,2.02148,1.53361,0.963812,0.757607,344,s104729_S_b016,16
Lu(III),-0.664366,0.647772,-0.199476,-0.746697,0.257837,0.822471,-1.7315,-1.1971,247,s104729_S_b016,16
Nd(III),0.932743,-0.715856,1.36699,0.875718,1.7415,1.21195,-0.194682,0.375847,433,s104729_S_b016,16
Np(IV),-0.389903,0.411365,-0.501954,0.197018,0.0567272,-2.7567,0.647605,0.671623,216,s104729_S_b016,16
Np(V),1.66741,-1.85846,0.637025,2.79035,-0.687984,-2.84545,1.39484,2.6123,187,s104729_S_b016,16
Np(VI),0.437046,-1.16851,-1.85211,1.521,1.2734,-3.40839,0.495616,1.1789,67,s104729_S_b016,16
Pa(V),-1.40578,-0.258169,-1.77169,3.09059,0.204677,-3.84306,-0.0213611,3.52686,43,s104729_S_b016,16
Pb(II),-4.92718,-4.47477,-3.6652,-0.267595,0.929025,5.62009,2.76953,4.43503,10,s104729_S_b016,16
Pd(II),-0.577143,-3.52129,-3.9479,0.801081,2.78474,-5.07106,1.57773,-3.41645,18,s104729_S_b016,16
Pd(IV),-4.68407,0.0507151,-6.93159,-2.30052,1.29413,6.74996,3.62313,-1.7559,5,s104729_S_b016,16
Pm(III),0.0668708,-0.526768,0.810082,-0.9852,0.662051,1.44003,-0.850024,-0.380625,1,s104729_S_b016,16
Pr(III),1.16532,-0.991555,1.41064,0.818255,1.75026,1.10831,0.32682,0.207042,348,s104729_S_b016,16
Pu(III),0.465194,-0.199522,1.34093,1.40948,0.00874662,-1.62601,1.23714,-0.565848,118,s104729_S_b016,16
Pu(IV),-1.0572,1.16703,-0.0708594,1.65232,0.390819,-3.06555,0.390172,-0.103799,580,s104729_S_b016,16
Pu(VI),-0.191715,-0.485018,-1.41641,3.0026,1.53187,-3.55251,0.239033,0.355743,107,s104729_S_b016,16
Sm(III),0.311277,-0.127385,1.14234,0.046015,1.48219,1.33508,-0.581118,-0.0129612,323,s104729_S_b016,16
Sr(II),1.11743,-2.08367,-2.63407,1.27465,-0.168329,3.98817,2.3848,0.981806,94,s104729_S_b016,16
Sr(III),0.561815,-0.30266,-4.40887,3.02928,-1.12593,2.97729,1.42614,1.71618,38,s104729_S_b016,16
Tb(III),-0.45307,-0.194345,0.589573,-0.517699,0.321895,0.922168,-1.28209,-0.52729,269,s104729_S_b016,16
Tc(VII),-3.25273,0.604864,-4.46199,3.10131,3.33819,1.23211,-0.899078,-0.181128,21,s104729_S_b016,16
Th(IV),-0.45583,-0.232507,1.76815,0.0254309,0.0739664,-0.783154,1.65396,-0.144845,773,s104729_S_b016,16
Tm(III),-0.651636,0.429801,-0.192081,-0.736437,0.229263,0.754629,-1.58464,-1.0978,201,s104729_S_b016,16
U(IV),-0.313242,-0.830629,-0.996589,1.21896,-0.243525,-1.70222,1.83319,1.32077,15,s104729_S_b016,16
U(VI),-0.602095,-0.451397,-4.22565,2.38873,1.3914,-4.70727,0.651116,2.54806,1026,s104729_S_b016,16
Y(III),-0.769048,-0.449398,-0.0525946,0.576846,-1.24567,1.51933,-0.371777,-1.63831,28,s104729_S_b016,16
Yb(III),-0.922815,0.229667,-0.0845638,-1.29941,0.0746857,0.674248,-1.77596,-1.04799,221,s104729_S_b016,16
Zr(IV),-3.66299,2.3085,-0.152948,2.00034,3.30511,0.599043,-1.03807,-0.137522,13,s104729_S_b016,16
