g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.751644,-0.464283,0.099777,-0.574852,1675,s104729_S_b010,10
Am(VI),-1.54794,-3.5567,-1.70702,0.361644,27,s104729_S_b010,10
Ba(II),0.539156,-1.16261,-1.36346,-3.30315,25,s104729_S_b010,10
Bi(III),-4.50427,-2.67984,-1.79094,0.416795,17,s104729_S_b010,10
Ca(II),-1.34649,-0.0844603,0.267365,-1.91399,22,s104729_S_b010,10
Cd(II),1.32569,-2.81374,-1.3517,-1.41813,4,s104729_S_b010,10
Ce(III),2.11142,-0.132489,-0.303925,-0.00867596,293,s104729_S_b010,10
Cf(III),-1.82712,-0.0740413,-0.034941,-0.297469,9,s104729_S_b010,10
Cm(III),-0.920841,-0.306036,0.329944,-0.709348,135,s104729_S_b010,10
Dy(III),0.233087,1.51664,0.705155,0.0301024,355,s104729_S_b010,10
Er(III),-0.280275,1.64198,0.609988,0.161711,300,s104729_S_b010,10
Eu(III),0.241574,1.57771,-0.857875,0.101637,1190,s104729_S_b010,10
Gd(III),0.947533,1.40397,0.272336,-0.0250329,375,s104729_S_b010,10
Hf(IV),-1.93167,-2.73771,1.10188,0.821111,5,s104729_S_b010,10
Ho(III),-0.165726,1.62103,0.620125,0.114123,264,s104729_S_b010,10
In(III),-1.14689,-1.0615,-2.57472,-1.48984,5,s104729_S_b010,10
La(III),2.67495,-0.313688,-0.448856,-0.0266622,344,s104729_S_b010,10
Lu(III),-0.714509,1.67927,0.595649,0.0931303,247,s104729_S_b010,10
Nd(III),2.02725,0.106985,0.170039,-0.0397087,433,s104729_S_b010,10
Np(IV),-0.224498,-1.69783,-0.281039,1.44128,205,s104729_S_b010,10
Np(V),0.361833,-3.06277,-2.48331,-0.525985,187,s104729_S_b010,10
Np(VI),-1.31543,-4.48255,-2.1807,1.33241,67,s104729_S_b010,10
Pa(V),1.14831,-4.36748,-0.822602,1.03657,43,s104729_S_b010,10
Pb(II),-2.49413,-2.40854,-2.80074,-1.3148,10,s104729_S_b010,10
Pd(II),2.88387,-3.74349,2.98376,2.23204,18,s104729_S_b010,10
Pd(IV),0.488228,-5.29858,-0.833064,0.527997,5,s104729_S_b010,10
Pm(III),0.729814,1.59146,-0.250079,0.0893551,1,s104729_S_b010,10
Pr(III),2.152,0.269131,-0.333601,0.120776,348,s104729_S_b010,10
Pu(III),-1.61216,-1.29362,-0.270952,0.320624,118,s104729_S_b010,10
Pu(IV),-1.45551,-2.22671,-0.517335,1.31777,580,s104729_S_b010,10
Pu(VI),-2.52715,-4.96646,-2.45228,1.11303,107,s104729_S_b010,10
Sm(III),1.35301,1.13418,0.0905835,0.0202006,323,s104729_S_b010,10
Sr(II),-0.255238,-0.0641001,-0.218871,-2.35768,94,s104729_S_b010,10
Sr(III),-1.38945,-1.14419,-0.627958,-2.86032,38,s104729_S_b010,10
Tb(III),0.441903,1.55338,0.359424,0.0801231,269,s104729_S_b010,10
Tc(VII),-2.53964,-7.82609,-0.287637,3.88694,21,s104729_S_b010,10
Th(IV),0.51789,-0.680078,0.329894,0.687373,773,s104729_S_b010,10
Tm(III),-0.408544,1.74195,0.577429,0.177123,201,s104729_S_b010,10
U(IV),0.423075,-2.70739,-0.525206,0.324396,15,s104729_S_b010,10
U(VI),-1.09736,-6.55553,-2.0235,1.6361,1036,s104729_S_b010,10
Y(III),-1.82815,1.51375,-0.9093,0.319984,28,s104729_S_b010,10
Yb(III),-0.562098,1.63973,0.529424,0.157719,231,s104729_S_b010,10
Zr(IV),-0.262667,-2.62203,2.06873,1.5946,13,s104729_S_b010,10
