extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,1.33566,0.523396,-5.98685,-1.31924,5,s104729_S_b002,2
C1COCCOCCOCCOCCOCCO1,1.84289,0.181201,-4.76482,-1.07234,5,s104729_S_b002,2
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-2.20373,-1.67769,-3.20139,0.579626,7,s104729_S_b002,2
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-4.0374,1.8615,-1.86917,-2.33666,46,s104729_S_b002,2
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-3.48349,1.38303,0.814535,1.00142,6,s104729_S_b002,2
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-2.43834,2.02219,-1.37888,2.99965,2,s104729_S_b002,2
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-4.97093,0.305846,0.897285,1.48741,2,s104729_S_b002,2
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1.35473,-0.901728,-0.007745,-0.759897,14,s104729_S_b002,2
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1.08621,-4.38085,0.421461,-2.82157,6,s104729_S_b002,2
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.962311,-1.04962,0.314647,-0.598125,52,s104729_S_b002,2
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,1.10586,-0.852019,0.18332,-0.48748,2,s104729_S_b002,2
CC(C)CN(CC(C)C)C(=O)C(C)C,-3.55464,1.4526,-1.70625,3.42918,7,s104729_S_b002,2
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1.14985,-0.993994,0.733871,-0.4482,60,s104729_S_b002,2
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-2.5921,-0.93613,-1.35211,-5.00294,12,s104729_S_b002,2
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-4.19052,3.37546,-2.49637,-1.53248,22,s104729_S_b002,2
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-6.85977,-0.883249,-2.81983,1.90946,12,s104729_S_b002,2
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-1.67553,1.02495,-0.307013,-0.883475,24,s104729_S_b002,2
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-3.89244,2.11346,-1.29485,1.21032,4,s104729_S_b002,2
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,-7.78719,-0.0112087,-2.60678,1.94488,12,s104729_S_b002,2
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-3.44179,1.86768,-3.11268,-1.73919,24,s104729_S_b002,2
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-3.55009,3.43043,-1.77573,-0.16629,10,s104729_S_b002,2
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0.409886,2.9026,-2.7609,-0.00287718,22,s104729_S_b002,2
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,-2.89682,1.26958,-2.72236,-2.37759,28,s104729_S_b002,2
