g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-1.04183,0.0582592,0.478124,-0.703566,-0.239511,-0.536325,0.13773,0.172768,1719,s104729_S_b008,8
Am(VI),-2.94817,0.686731,-0.376502,1.13499,-1.76652,1.744,-0.461993,-0.450649,27,s104729_S_b008,8
Ba(II),-2.16736,2.18727,0.667113,-3.06597,-3.84081,0.876994,4.0664,-0.256157,25,s104729_S_b008,8
Bi(III),0.664726,2.36452,1.00235,-0.398662,2.06927,5.27266,-2.34924,0.0480602,17,s104729_S_b008,8
Ca(II),-1.7267,1.0468,-0.205968,-2.47142,-0.621834,0.531664,-0.198521,-0.15006,22,s104729_S_b008,8
Cd(II),-2.54693,-1.23744,1.01378,-3.2693,1.97433,5.60829,4.77323,-0.304049,4,s104729_S_b008,8
Ce(III),0.817743,1.1498,-0.661361,0.092153,-1.30883,3.03717,1.29643,0.494041,278,s104729_S_b008,8
Cf(III),-0.824305,0.0707996,0.766793,-0.000146907,0.115546,-1.36074,-0.408528,0.951329,9,s104729_S_b008,8
Cm(III),-0.723144,0.62552,0.727553,-0.415784,-0.606335,-1.12929,-0.299212,0.44389,135,s104729_S_b008,8
Dy(III),1.18063,0.12833,0.597931,0.0384662,0.889591,0.106535,-0.289467,0.244153,377,s104729_S_b008,8
Er(III),1.25799,0.068301,0.712025,-0.0379649,1.31262,-0.0920283,-0.498837,0.410509,300,s104729_S_b008,8
Eu(III),1.18645,0.767259,-0.208366,-0.272667,0.870868,0.496119,0.427096,-0.00795448,1692,s104729_S_b008,8
Gd(III),1.24455,0.210542,0.250001,0.0404263,0.33959,0.693192,0.419721,0.408741,375,s104729_S_b008,8
Hf(IV),-2.83832,-2.27214,3.25559,-1.07848,1.82952,-0.581429,1.28185,1.57437,5,s104729_S_b008,8
Ho(III),1.31747,0.0126277,0.649448,0.0456339,1.15868,-0.0934577,-0.369727,0.3713,254,s104729_S_b008,8
In(III),-1.50945,0.694974,-0.324054,-2.13103,-0.654857,3.77265,2.02016,-2.94158,5,s104729_S_b008,8
La(III),0.661683,0.961458,-0.733784,0.266786,-1.46531,3.25376,1.98177,0.406079,344,s104729_S_b008,8
Lu(III),1.47458,0.0156467,0.985215,-0.00104357,1.53572,-0.0420494,-0.660246,0.581953,247,s104729_S_b008,8
Nd(III),0.596637,0.560292,-0.246447,0.655184,-0.550243,2.27888,1.32787,0.664757,433,s104729_S_b008,8
Np(IV),-2.39477,-1.23702,-1.23588,0.635415,-0.416361,-0.860114,-0.120461,-0.838996,216,s104729_S_b008,8
Np(V),-4.03658,1.59699,1.07982,0.770361,-1.69888,-0.746866,0.675908,-2.43396,187,s104729_S_b008,8
Np(VI),-4.24761,0.918632,-0.585611,1.98083,-1.19462,1.1075,-0.409266,-1.69534,67,s104729_S_b008,8
Pa(V),-3.66326,-0.741373,-0.650625,0.572337,-0.817855,1.10642,-1.26727,-2.07024,43,s104729_S_b008,8
Pb(II),0.205969,3.01417,1.90429,-2.30631,-0.556349,6.86008,0.945494,-0.665787,10,s104729_S_b008,8
Pd(II),-3.34869,-3.82353,3.23474,-2.62348,2.24627,2.71957,4.61114,4.58412,18,s104729_S_b008,8
Pd(IV),-2.70237,-0.613247,2.91089,-1.24069,-1.79407,2.52123,2.86275,0.771191,5,s104729_S_b008,8
Pm(III),1.78732,0.706745,-0.25135,-0.0598881,0.493963,0.698344,0.630162,0.449732,1,s104729_S_b008,8
Pr(III),0.787644,0.729816,-0.52908,0.559754,-0.94107,1.9655,1.38893,0.259167,348,s104729_S_b008,8
Pu(III),-1.9082,0.184862,-0.0710069,0.660126,-0.48926,-0.558713,-0.751178,1.11524,98,s104729_S_b008,8
Pu(IV),-3.13599,-1.58271,-1.02518,0.0985312,0.0978696,-0.462374,-0.370856,0.143,580,s104729_S_b008,8
Pu(VI),-4.86833,0.726423,-0.288633,1.39202,-0.726752,1.55181,-0.591561,-0.696187,107,s104729_S_b008,8
Sm(III),1.15773,0.598678,-0.146903,0.263534,0.209224,1.10272,0.612893,0.364829,323,s104729_S_b008,8
Sr(II),-1.96404,1.85529,0.0294261,-1.90321,-2.19536,0.556345,0.97897,-0.143269,94,s104729_S_b008,8
Sr(III),-3.78882,1.21088,2.3895,-1.64821,-1.53384,-0.768469,-1.28239,-1.31566,38,s104729_S_b008,8
Tb(III),1.11212,0.280879,0.225524,-0.00783867,1.06086,0.146516,0.105537,0.121019,269,s104729_S_b008,8
Tc(VII),-4.05698,-1.01664,3.41119,2.73951,0.180268,0.941433,-0.897852,2.1838,21,s104729_S_b008,8
Th(IV),0.0090698,-0.425807,-1.69747,-1.13076,-0.829682,0.664639,-0.414982,0.233946,773,s104729_S_b008,8
Tm(III),1.25779,0.0428244,0.866118,0.0368551,1.47659,-0.168965,-0.451724,0.479515,201,s104729_S_b008,8
U(IV),-2.64601,0.219316,-0.786929,-0.815496,-0.918359,1.58298,0.051881,-0.949496,15,s104729_S_b008,8
U(VI),-6.93294,-0.611736,-1.1338,0.735437,-0.727298,2.30772,0.042222,-2.09818,1036,s104729_S_b008,8
Y(III),0.0955398,1.90162,-0.36068,-1.46247,1.25798,0.221053,-1.78817,1.11656,28,s104729_S_b008,8
Yb(III),1.4589,0.15437,0.678815,-0.0130879,1.94558,-0.147747,-0.347681,0.392031,231,s104729_S_b008,8
Zr(IV),-1.09934,-0.96997,1.59747,-0.2588,1.80927,1.49134,-1.05595,1.95358,13,s104729_S_b008,8
