g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),0.47766,-0.913675,-1.347,0.857822,-0.75364,1.77156,0.969012,-0.173955,1722,s104729_S_b004,4
Am(VI),1.33123,0.912665,-0.687122,-2.05408,0.00729606,0.985835,0.68826,-0.52588,27,s104729_S_b004,4
Ba(II),2.11191,-1.7105,-2.88557,-0.741655,-4.54637,0.863249,-2.33227,-2.12159,25,s104729_S_b004,4
Bi(III),1.67728,-2.30973,4.6635,-0.120033,2.81006,4.27728,1.36565,-0.815899,17,s104729_S_b004,4
Ca(II),0.269392,-0.704935,-1.21132,-0.760798,-0.269529,-0.528692,0.764206,-0.640305,22,s104729_S_b004,4
Cd(II),4.54934,-2.12575,1.32734,-1.20954,-2.34328,-3.22889,2.97529,0.601997,4,s104729_S_b004,4
Ce(III),1.33456,0.13253,0.852718,-1.21998,-0.45018,1.01798,-3.09725,-0.307093,293,s104729_S_b004,4
Cf(III),-0.261303,-1.15023,-1.39645,1.34611,-0.0312365,1.19587,0.916895,0.136296,9,s104729_S_b004,4
Cm(III),-0.027831,-1.21645,-1.43943,1.09783,-0.552897,1.26976,0.418226,-0.192339,135,s104729_S_b004,4
Dy(III),-0.182943,-0.0503543,0.674,0.213189,0.627608,-0.913086,0.630796,-0.145186,377,s104729_S_b004,4
Er(III),-0.514004,-0.248135,0.810614,0.110334,0.988455,-1.15869,0.857539,-0.0462494,300,s104729_S_b004,4
Eu(III),0.166936,-0.736964,-0.29227,-0.469398,0.53005,-0.859266,-0.489451,0.488861,1692,s104729_S_b004,4
Gd(III),0.35336,0.0484272,0.959378,0.357855,0.319915,-0.777865,-0.572024,-0.219903,375,s104729_S_b004,4
Hf(IV),-1.16056,1.61675,-1.52259,-1.46717,3.57465,-0.00891173,2.70202,-1.18163,5,s104729_S_b004,4
Ho(III),-0.533217,-0.251584,0.805587,0.256382,0.833027,-1.13143,0.725221,-0.0269924,264,s104729_S_b004,4
In(III),-0.250294,-2.82622,0.57565,-3.98883,-1.60701,0.776177,3.75065,-2.2508,5,s104729_S_b004,4
La(III),1.65656,0.281587,0.795054,-1.14345,-0.893298,1.0733,-3.82495,-0.545159,344,s104729_S_b004,4
Lu(III),-0.650225,-0.578322,1.08811,0.130771,1.33806,-1.56171,0.925457,0.0931811,247,s104729_S_b004,4
Nd(III),1.20728,0.465379,1.40314,-0.190393,-0.562175,0.0489409,-1.93987,-0.458305,433,s104729_S_b004,4
Np(IV),-1.20347,0.835691,-1.22377,-1.26091,-0.351039,1.53844,1.65319,-0.26384,216,s104729_S_b004,4
Np(V),0.0645314,-0.471376,-2.1035,-3.0031,-1.04425,2.01252,1.02593,-1.87653,187,s104729_S_b004,4
Np(VI),0.287839,0.750764,-0.563898,-3.96783,0.109128,0.310733,1.21557,-0.734543,67,s104729_S_b004,4
Pa(V),0.900967,0.295937,-1.84993,-3.68054,0.660905,0.981832,1.52642,-0.947515,43,s104729_S_b004,4
Pb(II),2.51581,-2.91095,3.57075,-0.0372186,-0.637096,6.44797,-1.82064,-1.92119,10,s104729_S_b004,4
Pd(II),3.70611,-0.194048,-4.11116,1.67096,1.08698,0.76287,3.13848,0.473062,18,s104729_S_b004,4
Pd(IV),-0.803024,-0.695368,-4.75442,-3.35325,1.44147,3.27392,2.67946,-3.16354,5,s104729_S_b004,4
Pm(III),0.357044,-0.454111,0.0815845,0.047829,0.144684,-0.361772,-0.667705,0.341778,1,s104729_S_b004,4
Pr(III),1.21779,0.387206,0.665037,-0.57829,-0.421353,0.528258,-2.47496,-0.327507,348,s104729_S_b004,4
Pu(III),0.674971,0.141851,-3.27557,0.671737,0.0525687,3.14032,0.391611,0.786831,118,s104729_S_b004,4
Pu(IV),-0.221889,1.17434,-2.28841,-0.561149,0.349642,1.42525,2.37901,1.2283,580,s104729_S_b004,4
Pu(VI),1.28404,0.999785,-1.59137,-3.22539,0.784946,0.226388,1.83321,0.716479,107,s104729_S_b004,4
Sm(III),0.276462,0.157954,1.39809,-0.0428649,0.0723444,-0.0961999,-1.02448,-0.523587,323,s104729_S_b004,4
Sr(II),1.15115,-0.884259,-1.54158,-0.471971,-1.87676,-0.756805,-0.878059,-1.08906,94,s104729_S_b004,4
Sr(III),0.441311,-1.21619,-3.4834,-1.25838,-0.79636,-3.70857,2.69998,-2.31667,38,s104729_S_b004,4
Tb(III),-0.0383953,-0.183796,0.873366,0.253715,0.453728,-0.66059,0.21455,0.029475,172,s104729_S_b004,4
Tc(VII),0.314252,2.26228,-1.2114,-5.7834,4.16751,1.79643,1.10885,-2.04302,21,s104729_S_b004,4
Th(IV),-0.114155,-0.198928,-1.38167,0.109172,0.0131846,1.98384,-1.41142,0.803588,773,s104729_S_b004,4
Tm(III),-0.667651,-0.376444,0.827595,0.0759049,1.16371,-1.35367,0.93037,-0.00738868,201,s104729_S_b004,4
U(IV),0.863952,-0.121088,-1.66563,-1.99193,0.0397905,1.41089,-0.500308,-0.468862,15,s104729_S_b004,4
U(VI),1.79042,1.30752,-0.765334,-4.85458,0.00328061,-0.691372,2.30526,-0.39258,1023,s104729_S_b004,4
Y(III),-2.78949,-1.19283,-1.59759,-1.11305,1.02779,-1.36238,-2.17564,0.196673,28,s104729_S_b004,4
Yb(III),-0.614771,-0.604963,0.938746,0.0655776,1.18891,-1.54494,0.881514,0.270955,210,s104729_S_b004,4
Zr(IV),0.00372839,2.65264,-1.42424,-2.32935,5.68458,0.340613,1.30753,-0.883095,13,s104729_S_b004,4
