extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.212289,-2.65265,-0.247997,-1.57585,5.9363,0.580301,-2.05274,1.4789,-5.76945,-3.73483,2.31387,-0.20989,0.504534,3.5902,1.22009,-4.56034,5,s104729_S_b022,22
C1COCCOCCOCCOCCOCCO1,0.623553,-2.42204,0.56184,-1.01734,6.10288,0.043896,-1.92371,0.818448,-3.78117,-3.51299,2.293,-0.0714892,0.559462,2.52127,1.39289,-3.50035,5,s104729_S_b022,22
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-0.88343,1.33448,1.7103,1.69087,-1.64803,1.54817,-0.296503,2.84154,-0.779504,-1.69789,0.62956,0.167373,1.22824,-1.24011,1.1941,1.01791,7,s104729_S_b022,22
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-0.86939,3.10578,-3.22352,-0.932695,-2.09615,2.46686,-0.0878656,3.89636,-2.45058,-0.483495,1.56296,0.721882,0.873814,-0.0193785,0.378345,0.221835,46,s104729_S_b022,22
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,1.14875,-0.194309,2.37932,-1.22022,0.46217,1.40935,-2.28688,0.541519,-2.6074,-1.62968,0.19168,1.21823,3.18493,-2.4078,-0.666229,1.64078,6,s104729_S_b022,22
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,0.180641,1.47787,0.470607,-1.56052,0.451883,2.01288,-1.48058,0.976694,-1.29277,-0.517125,0.687473,2.07022,-0.603456,-1.832,-0.762967,-1.58106,2,s104729_S_b022,22
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,0.310134,-0.642566,2.5299,-1.26916,-1.16385,3.00818,-1.13748,2.45093,-3.77874,-0.811327,1.26687,0.749807,3.68289,-2.02715,0.450564,4.53015,2,s104729_S_b022,22
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,-0.140249,-0.53857,-1.45364,0.37889,1.07123,-1.04034,1.01407,-0.725354,0.182981,0.527392,-0.32983,-0.522345,-0.119844,0.359761,1.02153,-0.080749,14,s104729_S_b022,22
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1.31302,-4.37811,-1.90209,4.66538,-0.393777,-0.570872,-4.04704,0.0845041,-0.755452,-0.786883,-0.540018,0.0923636,2.54039,0.305344,0.284718,0.687241,6,s104729_S_b022,22
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,-0.415605,-0.221821,-1.63286,0.199391,1.11336,-0.702146,0.902387,-0.629827,1.80347,0.781304,-0.176087,0.246982,0.0419015,0.404607,0.84556,0.637494,52,s104729_S_b022,22
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-0.671757,-0.0274532,-1.54685,0.805456,1.67288,-2.72214,1.47056,-1.24124,1.25424,-0.744133,-0.414574,1.06638,0.504229,0.961799,0.779173,0.440343,2,s104729_S_b022,22
CC(C)CN(CC(C)C)C(=O)C(C)C,1.92633,0.709367,1.69705,-0.879879,1.67347,2.56744,-2.30693,0.929004,0.827054,2.2388,1.99651,0.730863,1.11599,-1.5081,-1.7491,-1.01276,7,s104729_S_b022,22
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,-0.524774,-0.382776,-1.70025,0.144058,1.25298,-0.507377,0.742065,-0.540562,1.41973,0.251935,-0.382318,-0.464741,0.452607,0.848491,0.469563,0.575168,60,s104729_S_b022,22
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-2.8392,2.43574,-3.10095,-0.072813,-2.11102,1.92365,3.17487,3.88081,0.724838,0.131088,0.683498,-1.02847,4.26152,2.93967,1.41689,1.97069,12,s104729_S_b022,22
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-0.162934,2.74274,-2.30161,-0.825041,-1.11928,2.80138,1.00324,3.69917,-1.81809,0.392586,2.05655,0.92383,3.21557,0.630442,-0.736626,0.396317,22,s104729_S_b022,22
