g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.972842,0.339801,-0.467103,-0.476949,0.457324,-0.346443,-0.170643,-1.61262,1733,s104729_S_b024,24
Am(VI),-2.70688,2.03172,-0.303894,1.83459,-1.68715,-0.410821,0.712363,-0.580877,27,s104729_S_b024,24
Ba(II),-1.59212,0.198765,5.27164,-1.51823,-2.93421,-1.47287,-3.53254,-1.90953,25,s104729_S_b024,24
Bi(III),3.36384,1.79771,2.90148,-1.02093,0.113874,-4.65976,4.38519,2.40531,17,s104729_S_b024,24
Ca(II),0.900009,0.213114,3.17402,-2.3477,-0.0244269,-0.377657,0.0238096,-0.55731,22,s104729_S_b024,24
Cd(II),-3.18866,0.178191,4.13271,4.1091,-3.49618,-0.561696,1.76088,-3.66841,4,s104729_S_b024,24
Ce(III),1.20397,-0.26882,0.695586,1.0664,-1.30545,-0.489023,-1.41266,0.236737,293,s104729_S_b024,24
Cf(III),-2.04707,1.27841,-1.31396,-1.49125,0.5068,0.0180089,0.390455,-1.01358,9,s104729_S_b024,24
Cm(III),-1.55301,-0.138538,-0.806561,-1.14201,0.440036,-0.403283,-0.343765,-1.1102,135,s104729_S_b024,24
Dy(III),0.972862,-0.133496,-0.429945,-0.679443,0.427174,0.291593,0.420539,0.143619,377,s104729_S_b024,24
Er(III),1.08029,-0.175512,-0.509384,-0.59825,0.848607,0.48402,0.72341,0.329109,300,s104729_S_b024,24
Eu(III),1.36668,0.689838,0.156033,-0.0306173,0.80409,-0.0159366,-0.670608,0.0813437,1672,s104729_S_b024,24
Gd(III),1.13358,-0.533637,-0.318617,-0.125564,0.286046,0.138625,-0.266921,0.242118,375,s104729_S_b024,24
Hf(IV),0.906276,-0.280761,0.0112734,-1.75151,-2.63525,-0.857306,2.76871,0.82357,5,s104729_S_b024,24
Ho(III),1.06891,-0.15003,-0.641847,-0.619796,0.846112,0.438952,0.549986,0.287336,264,s104729_S_b024,24
In(III),1.22151,-0.775474,6.24593,4.24288,-1.36389,-3.86426,0.370731,-0.552113,5,s104729_S_b024,24
La(III),1.2135,-0.579342,0.989587,1.52185,-1.4381,-0.459654,-1.69919,-0.0116175,344,s104729_S_b024,24
Lu(III),1.49301,-0.0513077,-0.650503,-0.706453,1.06718,0.443718,0.923363,0.401201,247,s104729_S_b024,24
Nd(III),1.2433,-0.67013,0.0464505,0.757521,-0.901546,-0.307295,-0.867418,0.365782,433,s104729_S_b024,24
Np(IV),-0.759626,0.434705,-0.436348,1.30502,-0.993251,0.463564,0.601613,-0.343507,216,s104729_S_b024,24
Np(V),-3.34971,0.475391,0.629945,1.60754,-2.16784,-1.38918,-0.339992,-1.05968,187,s104729_S_b024,24
Np(VI),-1.95965,2.35061,0.381883,2.7632,-2.68307,0.106246,0.812644,0.180459,67,s104729_S_b024,24
Pa(V),-1.13608,0.264448,0.475576,3.26101,-2.05053,-0.5488,1.19779,-0.969132,43,s104729_S_b024,24
Pb(II),1.44038,0.468211,5.08493,-0.269872,-1.87381,-5.35007,1.50504,0.863261,10,s104729_S_b024,24
Pd(II),-3.2358,1.46838,-3.82389,-0.886005,-3.74787,-2.48978,2.6125,-3.01587,18,s104729_S_b024,24
Pd(IV),0.773651,-0.451772,0.331235,0.535402,-3.46368,-6.18854,0.212705,-0.675561,5,s104729_S_b024,24
Pm(III),1.26521,0.629938,-0.37882,-0.202524,0.601504,0.130338,-0.656767,0.263396,1,s104729_S_b024,24
Pr(III),1.07125,-0.534535,0.360936,1.06449,-0.80307,-0.249071,-1.13886,0.247873,348,s104729_S_b024,24
Pu(III),-3.05199,1.25746,-1.50756,-0.112778,-1.12768,-0.344746,0.344525,-0.56898,118,s104729_S_b024,24
Pu(IV),-1.54884,1.40676,-0.765749,1.12847,-1.22734,0.741309,1.46591,0.284004,580,s104729_S_b024,24
Pu(VI),-2.72224,3.35858,0.0388848,2.46768,-2.85661,0.307726,1.60109,0.747965,107,s104729_S_b024,24
Sm(III),1.01892,-0.532784,0.0770011,0.123151,-0.0488986,0.16109,-0.3361,0.188084,323,s104729_S_b024,24
Sr(II),0.221004,0.23091,4.30181,-1.84413,-1.79285,-0.500488,-1.41818,-0.355382,94,s104729_S_b024,24
Sr(III),-2.02107,-1.80347,5.48616,-1.26525,-0.47508,-0.293508,0.828425,1.1366,38,s104729_S_b024,24
Tb(III),0.850329,-0.0536473,-0.285313,-0.224808,0.694402,0.435969,-0.0347521,0.139203,253,s104729_S_b024,24
Tc(VII),3.85389,2.11178,0.622492,0.993386,-5.54544,-2.68283,1.16749,2.23897,21,s104729_S_b024,24
Th(IV),-0.35112,0.848899,-1.19952,0.117457,-0.158559,-0.0399563,-0.196343,-1.20453,773,s104729_S_b024,24
Tm(III),1.2205,0.0331636,-0.521055,-0.656343,1.00834,0.472186,0.759,0.364377,191,s104729_S_b024,24
U(IV),-0.640804,0.112559,0.0495352,2.2991,-1.46613,-0.633449,-0.413924,-1.80545,15,s104729_S_b024,24
U(VI),-1.3109,1.52672,1.27778,5.2602,-3.44822,0.57526,1.13751,-0.199141,1036,s104729_S_b024,24
Y(III),0.56468,0.692959,0.83121,0.282569,1.54521,-1.13886,2.39291,-0.439222,28,s104729_S_b024,24
Yb(III),1.34814,0.162775,-0.535795,-0.523994,1.23402,0.860903,0.734069,0.209141,162,s104729_S_b024,24
Zr(IV),2.08118,-0.689256,-1.7305,-1.15964,-1.96569,-1.75961,2.91067,0.815373,13,s104729_S_b024,24
