extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,family,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-1.91778,-4.48189,-4.72881,1.80049,3.33981,1.9461,-0.354061,1.15755,5,crown_ether_calixarene,s104729_S_b000,0
C1COCCOCCOCCOCCOCCO1,-1.97239,-4.87592,-4.51965,1.46247,3.1861,3.05477,0.223143,1.83824,5,crown_ether_calixarene,s104729_S_b000,0
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-1.50794,0.0693989,-0.336903,-0.57217,3.18896,0.728782,2.11148,-0.469222,7,n_heterocyclic,s104729_S_b000,0
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-3.22259,2.00271,-1.79848,0.592024,1.64506,0.00666681,-1.97796,-1.70384,46,n_heterocyclic,s104729_S_b000,0
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-1.2906,0.349715,-0.63478,0.821161,-1.48196,-1.56033,0.045598,-2.51475,6,polyamide_other,s104729_S_b000,0
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-1.4174,-0.324861,-0.670365,1.13277,-1.08045,-1.461,0.717903,-1.3094,2,pyridine_carboxamide,s104729_S_b000,0
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-0.470926,-1.01353,-1.99296,1.46297,2.18074,-3.02612,0.668419,0.0268387,2,n_heterocyclic,s104729_S_b000,0
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1.07768,-0.146621,0.478743,-0.0033445,0.385405,0.402634,-1.1569,0.399723,14,diglycolamide,s104729_S_b000,0
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.932854,0.017151,-0.904009,2.99596,0.326695,1.67627,-1.21787,-1.45036,6,carbamoylmethylphosphine_oxide,s104729_S_b000,0
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,1.11765,0.0812901,0.967223,0.221765,0.563002,-0.158381,-1.4451,0.170174,52,diglycolamide,s104729_S_b000,0
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,1.99792,0.845375,0.631626,-0.208539,0.235277,0.71053,-0.503908,-0.451173,2,diglycolamide,s104729_S_b000,0
CC(C)CN(CC(C)C)C(=O)C(C)C,-1.10941,-1.67167,0.778981,0.55454,-0.615846,-1.72196,2.14151,-2.50246,7,monoamide,s104729_S_b000,0
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1.26483,0.437156,0.58971,0.0970153,0.411913,-0.0545738,-1.40997,0.27894,60,diglycolamide,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-1.35129,3.26045,0.0620784,-0.0487646,4.18945,-1.53786,-2.62792,-0.25556,12,n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-2.72989,1.94849,-3.02797,0.830718,2.49027,-1.74804,-2.01577,-1.24177,22,n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-3.73185,-1.5881,-3.51256,-1.29298,2.47513,-0.825296,0.710512,0.482814,12,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
