g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.438714,0.210296,0.933467,-0.135257,1733,s104729_S_b027,27
Am(VI),-1.46581,-0.0103036,-0.248986,2.59131,27,s104729_S_b027,27
Ba(II),-2.93876,-3.0741,0.398878,-2.60674,25,s104729_S_b027,27
Bi(III),-2.04414,2.1837,-0.801695,-2.53625,17,s104729_S_b027,27
Ca(II),-1.70909,0.67676,0.81164,-1.22235,22,s104729_S_b027,27
Cd(II),-2.04724,-2.61373,0.733018,-3.32681,4,s104729_S_b027,27
Ce(III),-0.616563,-2.07221,-0.735185,0.389702,293,s104729_S_b027,27
Cf(III),0.00696588,0.6026,0.36912,-1.1763,9,s104729_S_b027,27
Cm(III),-0.420976,0.177227,0.836351,-0.424402,135,s104729_S_b027,27
Dy(III),0.199414,-0.093005,-0.722637,-1.22558,377,s104729_S_b027,27
Er(III),0.398134,0.133787,-0.774,-1.3126,300,s104729_S_b027,27
Eu(III),0.153687,-0.691645,-0.510354,-0.873803,1692,s104729_S_b027,27
Gd(III),0.0849195,-0.689052,-0.616678,-0.79407,365,s104729_S_b027,27
Hf(IV),-0.55944,-0.152378,-1.16611,0.266428,5,s104729_S_b027,27
Ho(III),0.397282,0.0556674,-0.733707,-1.28205,264,s104729_S_b027,27
In(III),-1.44516,-0.378706,3.41775,-1.41409,5,s104729_S_b027,27
La(III),-0.721893,-2.35164,-0.628608,0.497085,344,s104729_S_b027,27
Lu(III),0.64988,0.0463881,-1.14392,-1.48569,247,s104729_S_b027,27
Nd(III),-0.400361,-1.70115,-0.724285,0.203641,433,s104729_S_b027,27
Np(IV),0.594971,1.09864,1.39505,2.45197,216,s104729_S_b027,27
Np(V),-1.62972,-0.657815,1.76797,2.04395,187,s104729_S_b027,27
Np(VI),-0.939504,0.191272,0.0796934,3.46235,67,s104729_S_b027,27
Pa(V),-1.29699,2.27943,2.05434,3.72525,43,s104729_S_b027,27
Pb(II),-2.8451,0.18565,-0.266171,-2.52219,10,s104729_S_b027,27
Pd(II),-3.27492,-3.45437,-3.62408,1.92378,18,s104729_S_b027,27
Pd(IV),-3.62739,-1.5046,1.35786,4.10461,5,s104729_S_b027,27
Pm(III),0.15125,-0.710532,-0.666731,-0.751203,1,s104729_S_b027,27
Pr(III),-0.303036,-1.82485,-0.528678,0.31785,348,s104729_S_b027,27
Pu(III),-0.818809,0.997128,-0.246058,1.01661,118,s104729_S_b027,27
Pu(IV),-0.0973999,2.06408,0.884636,2.2889,580,s104729_S_b027,27
Pu(VI),-1.70697,1.08967,-0.4159,3.16989,107,s104729_S_b027,27
Sm(III),0.0990356,-1.14397,-0.723459,-0.527021,323,s104729_S_b027,27
Sr(II),-2.06255,-0.947014,0.0317838,-1.62214,94,s104729_S_b027,27
Sr(III),-2.39124,0.10878,1.92586,-2.94437,38,s104729_S_b027,27
Tb(III),0.290855,-0.290191,-0.531665,-1.01381,269,s104729_S_b027,27
Tc(VII),-1.21564,1.60015,-2.18878,2.11099,21,s104729_S_b027,27
Th(IV),-0.667348,1.68708,1.11802,0.108617,773,s104729_S_b027,27
Tm(III),0.581279,0.0270863,-0.996448,-1.4026,201,s104729_S_b027,27
U(IV),-1.50272,0.883782,1.92354,1.86397,15,s104729_S_b027,27
U(VI),-1.17006,0.448292,0.946336,5.10237,1036,s104729_S_b027,27
Y(III),-0.437296,0.587948,-0.542666,-1.47755,28,s104729_S_b027,27
Yb(III),0.670437,0.12806,-1.06188,-1.46926,231,s104729_S_b027,27
Zr(IV),-0.934981,1.31785,-2.12089,1.41545,13,s104729_S_b027,27
