g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),0.741447,0.379015,-0.562135,-1.35297,1668,s104729_S_b006,6
Am(VI),-1.38347,1.55935,-3.75251,0.346273,27,s104729_S_b006,6
Ba(II),-2.55949,3.13664,2.88939,-2.4645,25,s104729_S_b006,6
Bi(III),1.34851,-0.387488,3.44698,-0.609416,17,s104729_S_b006,6
Ca(II),0.279354,1.70784,1.82622,1.02822,22,s104729_S_b006,6
Cd(II),0.823957,1.59756,2.65967,-5.71016,4,s104729_S_b006,6
Ce(III),-2.42486,-0.663529,1.44914,-1.24005,293,s104729_S_b006,6
Cf(III),1.88507,0.494639,-1.37717,-0.629726,9,s104729_S_b006,6
Cm(III),1.15152,0.184508,-0.767505,-1.70579,135,s104729_S_b006,6
Dy(III),0.720591,-0.494004,1.56815,0.346602,377,s104729_S_b006,6
Er(III),1.18295,-0.443443,1.55984,0.728387,300,s104729_S_b006,6
Eu(III),-0.119359,-0.041255,2.24388,0.377362,1692,s104729_S_b006,6
Gd(III),-0.197239,-0.508542,1.65954,-0.00861197,375,s104729_S_b006,6
Hf(IV),0.347332,0.0827493,-2.51374,1.55229,5,s104729_S_b006,6
Ho(III),1.03884,-0.483451,1.543,0.593983,264,s104729_S_b006,6
In(III),0.101687,2.79554,2.31945,-0.153198,5,s104729_S_b006,6
La(III),-2.82117,-0.54502,1.5168,-1.54367,322,s104729_S_b006,6
Lu(III),1.66074,-0.294144,1.41301,0.760635,237,s104729_S_b006,6
Nd(III),-1.77688,-0.827983,1.2541,-1.01105,433,s104729_S_b006,6
Np(IV),-0.563174,-0.0962795,-2.04412,1.28468,216,s104729_S_b006,6
Np(V),-1.93586,2.95723,-2.25187,-0.276286,187,s104729_S_b006,6
Np(VI),-2.00933,1.84339,-4.0209,2.19309,67,s104729_S_b006,6
Pa(V),-1.47765,2.35837,-4.24836,1.71392,43,s104729_S_b006,6
Pb(II),-0.0763745,0.895083,4.16974,-2.9613,10,s104729_S_b006,6
Pd(II),1.7219,-0.0125752,-3.29112,-2.31876,18,s104729_S_b006,6
Pd(IV),-1.22045,3.82906,-4.05274,1.29851,5,s104729_S_b006,6
Pm(III),-0.329705,-0.34208,2.00862,-0.0216645,1,s104729_S_b006,6
Pr(III),-2.10491,-0.487102,1.38128,-0.799682,348,s104729_S_b006,6
Pu(III),0.495297,0.718837,-2.65979,-0.772585,118,s104729_S_b006,6
Pu(IV),0.0694827,0.354881,-3.35675,1.24,580,s104729_S_b006,6
Pu(VI),-1.37818,2.33569,-5.30978,1.96879,107,s104729_S_b006,6
Sm(III),-0.765556,-0.594579,1.61242,-0.262162,323,s104729_S_b006,6
Sr(II),-0.723667,2.30294,2.90103,0.259029,94,s104729_S_b006,6
Sr(III),0.637979,3.77377,1.64276,2.06572,38,s104729_S_b006,6
Tb(III),0.362955,-0.386939,1.72988,0.421342,269,s104729_S_b006,6
Tc(VII),-2.69279,-0.27038,-9.89804,4.07245,21,s104729_S_b006,6
Th(IV),0.23774,-0.223532,-1.55965,-0.777444,773,s104729_S_b006,6
Tm(III),1.39874,-0.29661,1.52859,0.797779,201,s104729_S_b006,6
U(IV),-1.14619,1.29635,-1.96625,-0.413329,15,s104729_S_b006,6
U(VI),-2.89545,1.95289,-4.2429,3.00675,992,s104729_S_b006,6
Y(III),-0.727043,-0.283582,2.85028,1.54071,28,s104729_S_b006,6
Yb(III),1.57802,-0.226126,1.7501,1.0477,231,s104729_S_b006,6
Zr(IV),-0.0559305,-0.927042,-3.37707,1.44095,13,s104729_S_b006,6
