g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),1.69994,-1.0479,0.429855,-0.0210997,-0.293791,-0.208106,0.278156,-0.312069,0.542637,0.0985502,1.08263,-0.128931,-0.270546,-0.88475,-0.450164,0.556583,1733,s104729_S_b001,1
Am(VI),1.11945,-1.57911,-1.22636,1.18123,0.250624,-0.729302,0.565564,-0.845941,0.44232,-0.599753,0.621292,0.525791,-1.29873,1.58764,-0.785126,-1.65715,27,s104729_S_b001,1
Ba(II),2.62097,-2.7349,2.01677,1.10969,-2.47001,3.0337,4.55805,-0.440459,0.401286,2.18997,0.0824522,-1.04941,-1.64084,1.98241,-4.39686,-1.7453,25,s104729_S_b001,1
Bi(III),-0.794951,-1.14632,-1.88717,4.77281,-5.22699,-1.597,-1.77992,2.31808,-3.61709,-0.0948318,-0.14416,1.14031,-0.88205,-0.921298,-2.03446,5.88847,17,s104729_S_b001,1
Ca(II),0.432777,-1.75807,0.144492,1.59563,-0.510481,1.68139,1.0763,0.380492,-0.884772,0.228597,-0.595927,0.424753,1.66391,1.22331,-1.16293,0.177271,22,s104729_S_b001,1
Cd(II),5.65963,1.44556,0.388991,5.00337,-4.11829,-0.240491,3.78414,3.34205,2.51935,-1.54892,1.40441,0.21202,5.42034,-4.62823,-8.72111,-5.91172,4,s104729_S_b001,1
Ce(III),0.091231,0.164798,0.415167,0.548156,-0.417151,0.470083,1.30286,1.49809,0.598223,0.521204,-2.16167,-1.32421,-1.12426,0.309947,-1.39747,-1.84125,293,s104729_S_b001,1
Cf(III),0.965143,-1.43975,-0.0836865,-0.733547,0.0536912,-0.918551,-0.205123,0.0154112,0.0423782,-0.624183,1.01985,-0.206866,-0.308563,-0.26807,-0.281246,1.22948,9,s104729_S_b001,1
Cm(III),1.38125,-0.664263,0.559908,-0.232554,0.0976436,-0.266525,0.0481532,-0.231799,0.53216,0.25334,1.16141,-0.451624,-0.289292,-0.251014,-1.17589,0.874481,135,s104729_S_b001,1
Dy(III),-0.573187,0.877836,0.218279,0.14099,-0.438881,-0.105331,-0.344447,0.433728,0.119711,-0.529663,-0.0197037,-0.352039,0.717597,-0.237665,0.261446,0.658995,377,s104729_S_b001,1
Er(III),-0.727452,0.945325,0.213023,-0.0340588,-0.167548,-0.21622,-0.646461,0.377488,0.268069,-0.707553,0.0352658,-0.384047,0.675746,-0.253716,0.643167,1.00572,300,s104729_S_b001,1
Eu(III),-0.701034,-0.362405,0.970947,-0.320951,-0.799345,-0.324489,0.965601,1.0843,-0.458509,-0.617445,-0.132601,-0.687406,-0.0459797,0.531969,0.585632,0.32948,1682,s104729_S_b001,1
Gd(III),-0.731308,0.960295,0.46652,0.22218,-0.60673,0.0363074,0.14266,0.54862,-0.0807397,-0.127827,-0.43099,-0.661567,-0.0328295,-0.562195,0.114451,0.156018,375,s104729_S_b001,1
Hf(IV),0.273281,-2.26048,-2.78191,0.346253,2.39647,-1.88004,0.283765,1.12793,1.44861,-2.11013,1.94274,-0.193102,2.43914,0.44952,1.23401,1.54252,5,s104729_S_b001,1
Ho(III),-0.853166,0.76841,0.358216,-0.110606,-0.209119,-0.212431,-0.529065,0.358189,-0.00045228,-0.599346,0.134445,-0.332087,0.585173,-0.278629,0.709518,0.899608,182,s104729_S_b001,1
In(III),4.30931,-3.05452,-0.23143,4.31491,-2.00506,3.31551,1.6852,1.29862,-0.345248,-0.0739914,1.68311,0.680677,2.94538,-0.407834,-0.159025,-0.389449,5,s104729_S_b001,1
La(III),0.0578054,0.468998,0.611513,0.995747,-0.381995,0.595446,1.6608,1.52006,0.546294,0.954318,-1.97132,-1.44661,-1.48086,0.307079,-1.61554,-2.14718,344,s104729_S_b001,1
Lu(III),-0.932068,0.633091,0.277125,-0.235598,-0.0504046,-0.299924,-1.04006,0.686875,0.573412,-0.792643,0.00447392,-0.676596,0.947623,-0.0836685,0.451917,1.34587,247,s104729_S_b001,1
Nd(III),-0.772958,1.42642,0.318579,0.844551,-0.445016,0.2075,0.960236,0.465337,0.402081,0.215223,-0.999806,-0.692967,-0.869034,-0.497605,-0.859403,-1.69706,433,s104729_S_b001,1
Np(IV),1.72664,-1.74288,-0.984488,0.290003,0.713187,-0.246984,-0.175048,-1.85447,0.134572,0.111212,0.687729,1.71717,-0.602098,-0.274174,1.19845,-0.651444,216,s104729_S_b001,1
Np(V),1.78831,-1.59285,-0.515174,1.87789,-0.607309,0.773428,1.4817,-3.20189,1.67934,0.791885,2.19288,-0.0467087,-1.81783,1.66969,-0.665415,-1.06226,187,s104729_S_b001,1
Np(VI),0.946441,-1.09766,-2.29618,1.8653,0.462013,-0.62824,0.640989,-1.40337,1.50688,-0.800287,1.4538,0.229346,-1.41939,2.21083,0.3529,-1.803,67,s104729_S_b001,1
Pa(V),0.503098,-2.4383,-1.04689,2.99901,-0.101562,0.142181,-1.50405,-3.33099,1.4039,-0.141469,0.731711,0.800505,-0.148566,0.797143,1.52897,-1.19743,43,s104729_S_b001,1
Pb(II),1.23508,-0.396339,-0.786516,4.34666,-6.14981,-0.111501,0.293438,1.79475,-2.43602,1.12447,-0.48087,-0.0913961,-2.733,0.26003,-4.92368,3.83782,10,s104729_S_b001,1
Pd(II),3.6463,-0.804095,-0.22845,1.90369,1.84357,-5.42898,2.44091,2.95628,4.32905,-1.54874,3.93466,-0.428964,4.45499,-0.895988,-4.88027,-4.99499,18,s104729_S_b001,1
Pd(IV),1.45404,-5.70141,-1.06853,2.98188,2.30513,-0.885472,0.539632,-0.55467,2.44434,-0.136273,4.01186,-1.30783,0.780048,3.09201,2.26829,0.785742,5,s104729_S_b001,1
Pm(III),-0.922083,0.297771,0.946798,-0.134766,-0.623387,-0.237928,0.88152,1.08899,-0.602539,-0.366464,-0.772812,-0.563809,-0.223771,-0.00436993,0.0751713,0.226508,1,s104729_S_b001,1
Pr(III),-0.574523,0.726626,0.533706,0.4332,-0.515922,0.352396,1.00044,0.710801,0.366105,0.657419,-1.25416,-0.959514,-1.2149,0.433389,-1.07194,-1.47635,348,s104729_S_b001,1
Pu(III),1.08053,-2.3675,-0.0186037,0.346512,1.20329,-0.76879,0.399047,-0.28249,-1.01049,0.220656,-0.0145203,-0.0473351,-1.17015,-0.37969,-0.880255,-0.251371,118,s104729_S_b001,1
Pu(IV),1.51337,-2.8451,-1.51842,0.78987,1.70794,-0.251257,-0.516412,-0.688503,-0.874927,-0.0775315,-0.116843,0.975571,0.386851,-0.527288,0.985121,-0.418388,570,s104729_S_b001,1
Pu(VI),0.692058,-2.13289,-2.7392,2.39885,1.35023,-0.607391,0.409276,-0.197211,0.537861,-0.972324,0.661935,-0.588844,-0.488977,1.93493,0.00483839,-1.51809,107,s104729_S_b001,1
Sm(III),-0.317485,1.22186,0.540197,0.34347,-0.620754,-0.00936554,0.366934,0.896614,-0.00813824,-0.249238,-0.816051,-0.156311,-0.260177,-0.157273,-0.687454,-0.394927,323,s104729_S_b001,1
Sr(II),1.33413,-2.19416,0.355667,1.71297,-1.87058,2.10475,2.47883,0.225806,-0.621926,0.783438,0.0636147,-0.056799,0.610447,1.72039,-1.65622,-1.01981,94,s104729_S_b001,1
Sr(III),0.414853,-3.63476,-0.522412,2.82288,-2.09665,3.48062,0.32822,-1.93147,-0.0814882,0.886821,2.04828,-0.280165,3.25565,2.15778,-0.189774,1.13701,38,s104729_S_b001,1
Tb(III),-0.672566,0.791942,0.617555,0.277714,-0.605147,-0.304699,0.128154,0.193357,-0.383715,-0.712436,-0.0175684,-0.3063,0.550787,-0.114508,0.509585,0.432112,269,s104729_S_b001,1
Tc(VII),-2.68948,-3.56555,-4.89762,2.68755,1.45796,-3.76573,0.735514,1.37706,2.4721,-3.35586,1.9155,-1.78802,-0.706535,2.58164,1.32121,0.341328,21,s104729_S_b001,1
Th(IV),0.969399,-1.34418,0.195582,-0.160653,0.300273,-0.0821176,0.500512,-0.541477,-0.401491,0.429732,-1.08873,1.29753,-0.550329,-0.563636,-0.0928749,-0.696983,773,s104729_S_b001,1
Tm(III),-0.736248,0.707829,0.242318,-0.162774,-0.226858,-0.341095,-0.82313,0.377157,0.203077,-0.867763,0.238035,-0.436496,0.804195,0.00864768,0.608721,1.07658,201,s104729_S_b001,1
U(IV),1.70488,-2.10911,-0.257218,1.51765,-0.00245893,0.124078,0.27955,-1.10636,0.723919,0.406589,0.163649,0.385806,-0.717818,0.66655,0.187325,-1.57991,15,s104729_S_b001,1
