g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),1.10522,-1.82063,-0.716452,-0.336719,1087,s104729_S_b007,7
Am(VI),-0.238971,-1.01852,-4.78312,-0.143065,27,s104729_S_b007,7
Ba(II),4.53475,2.01393,1.01391,-3.53697,25,s104729_S_b007,7
Bi(III),1.77576,-3.85792,0.125584,0.747341,17,s104729_S_b007,7
Ca(II),0.386203,-0.666014,0.811083,-1.89653,22,s104729_S_b007,7
Cd(II),3.16358,0.409956,1.54913,-3.61586,4,s104729_S_b007,7
Ce(III),1.49171,3.16534,0.864768,-0.415093,293,s104729_S_b007,7
Cf(III),0.620003,-2.42685,0.0561793,-0.327296,9,s104729_S_b007,7
Cm(III),1.33269,-2.23232,-0.681,-0.211594,135,s104729_S_b007,7
Dy(III),0.192643,-0.4942,1.76129,-0.00582686,377,s104729_S_b007,7
Er(III),-0.202086,-1.04571,1.9326,-0.0539317,300,s104729_S_b007,7
Eu(III),-0.0083178,0.477202,1.8358,-0.720249,1692,s104729_S_b007,7
Gd(III),0.529742,0.659498,1.81026,-0.127975,375,s104729_S_b007,7
Hf(IV),0.256027,-1.95907,-2.31745,1.23824,5,s104729_S_b007,7
Ho(III),-0.0616588,-0.801427,1.88599,0.00738734,264,s104729_S_b007,7
In(III),1.30762,-1.03559,-0.808923,-3.15016,5,s104729_S_b007,7
La(III),1.54913,3.32701,0.699439,-0.787979,344,s104729_S_b007,7
Lu(III),-0.405739,-1.56088,1.99324,-0.176236,247,s104729_S_b007,7
Nd(III),1.1579,2.04774,0.770701,-0.335047,433,s104729_S_b007,7
Np(IV),-0.908021,0.210559,-1.88679,0.967795,216,s104729_S_b007,7
Np(V),0.978551,-0.350082,-4.15584,-1.47033,187,s104729_S_b007,7
Np(VI),-1.23172,0.0416859,-5.70873,0.177711,52,s104729_S_b007,7
Pa(V),-0.180953,-0.207705,-5.19913,0.784309,43,s104729_S_b007,7
Pb(II),4.50514,0.69217,-0.230995,-0.715258,10,s104729_S_b007,7
Pd(II),1.32832,0.81815,0.838124,1.66208,18,s104729_S_b007,7
Pd(IV),1.37624,1.84767,-7.09624,0.68546,5,s104729_S_b007,7
Pm(III),0.294114,0.600837,1.74484,-0.537257,1,s104729_S_b007,7
Pr(III),1.07009,2.32878,0.765022,-0.593315,348,s104729_S_b007,7
Pu(III),0.881231,-1.60365,-2.50795,0.792399,118,s104729_S_b007,7
Pu(IV),-0.182055,-0.350502,-2.77807,2.02854,580,s104729_S_b007,7
Pu(VI),-0.370614,-0.51622,-6.56994,1.18854,107,s104729_S_b007,7
Sm(III),0.602424,1.15196,1.54857,-0.307684,313,s104729_S_b007,7
Sr(II),2.20523,1.59103,1.93951,-2.08757,94,s104729_S_b007,7
Sr(III),0.721988,-2.84724,0.804308,-3.82617,38,s104729_S_b007,7
Tb(III),0.154808,-0.0887874,1.79822,-0.121423,269,s104729_S_b007,7
Tc(VII),-2.15333,-1.8219,-10.1064,1.41935,21,s104729_S_b007,7
Th(IV),1.4547,-0.407406,0.0715661,1.54441,773,s104729_S_b007,7
Tm(III),-0.379107,-1.219,2.05108,-0.189718,201,s104729_S_b007,7
U(IV),0.725864,1.63446,-2.50496,0.178408,15,s104729_S_b007,7
U(VI),-1.72457,1.2369,-6.43227,0.226138,1009,s104729_S_b007,7
Y(III),0.986746,-1.77791,1.23258,0.361976,28,s104729_S_b007,7
Yb(III),-0.592384,-1.35221,2.23462,-0.269916,231,s104729_S_b007,7
Zr(IV),-0.859317,-1.09766,-1.70155,2.00526,13,s104729_S_b007,7
