g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.215826,1.28435,1.24411,-1.16765,1733,s104729_S_b002,2
Am(VI),1.16401,1.2738,1.25698,1.78177,27,s104729_S_b002,2
Ba(II),2.22299,5.22531,-4.55604,-2.67895,25,s104729_S_b002,2
Bi(III),-0.100727,-2.85462,-0.311387,-3.25459,17,s104729_S_b002,2
Ca(II),-0.540295,0.449746,-3.02391,-2.16335,22,s104729_S_b002,2
Cd(II),2.30867,2.90224,-4.55232,-4.23431,4,s104729_S_b002,2
Ce(III),0.984532,0.684752,-2.09602,1.5137,293,s104729_S_b002,2
Cf(III),-1.13364,0.594622,1.02325,-0.876849,9,s104729_S_b002,2
Cm(III),-0.529279,1.33869,0.768005,-0.837899,135,s104729_S_b002,2
Dy(III),-1.302,-0.387858,-0.574734,-0.0462118,377,s104729_S_b002,2
Er(III),-1.90327,-0.619542,-0.346557,-0.318029,290,s104729_S_b002,2
Eu(III),-0.184027,-1.18277,-1.11649,-0.698381,1676,s104729_S_b002,2
Gd(III),-0.780843,-0.350148,-1.11393,0.484249,375,s104729_S_b002,2
Hf(IV),-1.08811,0.173384,1.2098,0.195429,5,s104729_S_b002,2
Ho(III),-1.67593,-0.80832,-0.417938,-0.40767,264,s104729_S_b002,2
In(III),5.70746,-0.555281,-2.50564,-4.56773,5,s104729_S_b002,2
La(III),1.2821,1.25867,-2.67168,1.72004,328,s104729_S_b002,2
Lu(III),-2.00116,-0.824927,-0.371536,-0.31923,247,s104729_S_b002,2
Nd(III),0.435557,0.434397,-1.79362,1.89535,433,s104729_S_b002,2
Np(IV),1.20691,-0.744385,2.28041,0.1463,216,s104729_S_b002,2
Np(V),2.79575,1.54962,-0.229887,-1.55079,187,s104729_S_b002,2
Np(VI),2.59672,0.208195,1.51914,1.28106,67,s104729_S_b002,2
Pa(V),3.3151,-0.362004,1.8387,-0.299391,43,s104729_S_b002,2
Pb(II),0.740267,-0.676057,-3.85643,-5.02401,10,s104729_S_b002,2
Pd(II),-3.17271,5.26016,-0.679212,0.366066,18,s104729_S_b002,2
Pd(IV),3.62266,2.40027,-0.32867,-0.451848,5,s104729_S_b002,2
Pm(III),-0.421837,-0.666666,-1.21953,-0.123502,1,s104729_S_b002,2
Pr(III),0.671836,0.487349,-1.91272,1.47843,348,s104729_S_b002,2
Pu(III),-0.315868,0.961419,2.47053,0.192091,118,s104729_S_b002,2
Pu(IV),0.427064,-0.985331,3.35343,0.542123,580,s104729_S_b002,2
Pu(VI),1.79707,0.0601314,2.50379,1.61248,107,s104729_S_b002,2
Sm(III),-0.364694,-0.317314,-1.36269,0.808609,323,s104729_S_b002,2
Sr(II),0.605398,2.50918,-3.87776,-1.46028,94,s104729_S_b002,2
Sr(III),1.2592,2.49189,-2.84922,-2.28669,38,s104729_S_b002,2
Tb(III),-0.967958,-0.850557,-0.580807,-0.495878,269,s104729_S_b002,2
Tc(VII),1.62406,-0.60589,0.0781781,4.42203,21,s104729_S_b002,2
Th(IV),-0.434688,0.359411,1.63415,-0.496215,773,s104729_S_b002,2
Tm(III),-1.80212,-0.875372,-0.244867,-0.644771,125,s104729_S_b002,2
U(IV),1.74946,0.648601,1.48936,-0.307574,15,s104729_S_b002,2
U(VI),3.84043,-0.0240599,2.0542,1.45458,1036,s104729_S_b002,2
Y(III),-0.817306,-0.986175,-0.838169,-1.21082,28,s104729_S_b002,2
Yb(III),-1.67515,-1.15801,-0.325507,-1.04332,231,s104729_S_b002,2
Zr(IV),-1.49839,-0.36965,2.22634,1.17209,13,s104729_S_b002,2
