extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.583705,-3.93888,1.58074,-0.397938,5,s104729_S_b006,6
C1COCCOCCOCCOCCOCCO1,0.413179,-4.11139,2.53486,-0.870463,5,s104729_S_b006,6
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,1.73697,-0.669092,2.25589,-1.67754,7,s104729_S_b006,6
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-0.0215007,-2.03484,0.194608,-0.924298,46,s104729_S_b006,6
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-0.556199,-0.875789,1.16765,1.83081,6,s104729_S_b006,6
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,0.293573,-1.84665,1.5501,1.13537,2,s104729_S_b006,6
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,2.38861,-1.56837,-2.30503,1.51923,2,s104729_S_b006,6
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,-0.48631,1.22803,-0.267394,-0.660055,14,s104729_S_b006,6
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.588546,1.25896,2.11238,-0.302886,6,s104729_S_b006,6
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,-0.850252,0.740495,-0.668004,-0.177296,52,s104729_S_b006,6
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-1.91483,0.274003,0.437721,0.0413863,2,s104729_S_b006,6
CC(C)CN(CC(C)C)C(=O)C(C)C,2.27491,-1.47159,2.91725,1.19329,7,s104729_S_b006,6
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,-0.645292,0.787619,-0.938313,-0.109431,60,s104729_S_b006,6
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,0.720302,-1.3828,-2.53447,-2.9358,12,s104729_S_b006,6
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,0.864183,-3.37337,-1.69986,-0.694201,22,s104729_S_b006,6
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,3.54173,-1.54726,1.57627,0.450689,12,s104729_S_b006,6
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-1.75562,-3.97937,2.34708,-1.17228,24,s104729_S_b006,6
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,1.19991,-3.25162,-0.0125834,-0.203802,4,s104729_S_b006,6
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,3.04863,-1.81204,0.342858,0.646972,12,s104729_S_b006,6
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0.878753,-2.44644,-1.03534,-1.31027,24,s104729_S_b006,6
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,0.675557,-3.65764,-0.858703,0.233479,10,s104729_S_b006,6
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,1.3367,-4.05006,-3.17277,-0.373779,22,s104729_S_b006,6
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,0.722983,-2.09604,-1.59658,-1.50844,28,s104729_S_b006,6
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1.22154,-1.52426,-1.55969,-0.756287,30,s104729_S_b006,6
CCCC(=O)N(CC(C)C)CC(C)C,1.42026,-0.903181,2.31742,0.873447,9,s104729_S_b006,6
CCCCC(CC)C(=O)N(CCCC)CCCC,2.10203,-1.41776,2.22692,1.28298,61,s104729_S_b006,6
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,-0.83634,0.889557,-0.445084,-1.00616,14,s104729_S_b006,6
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.553696,-1.21538,4.21072,-1.43725,63,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,2.57506,-1.0298,3.85161,0.663247,46,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,2.16155,-1.49243,3.79278,0.861516,451,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,1.56604,-1.51679,2.94377,0.504951,25,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,1.64805,-1.16048,3.71676,0.966334,29,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,2.06404,-0.85448,2.26279,0.84624,447,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.415135,-1.57103,2.04356,2.02782,4,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.335802,-1.67128,2.9299,-0.96373,24,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.716964,0.54465,0.650932,0.036909,381,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,1.48778,-0.588838,2.15315,0.188769,27,s104729_S_b006,6
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-2.31859,-1.22257,1.77542,-0.185985,4,s104729_S_b006,6
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.333624,0.929274,2.29503,0.409264,6,s104729_S_b006,6
CCCCCC(=O)N(C(C)CC)C(C)CC,1.63726,-0.561165,2.31089,0.66421,5,s104729_S_b006,6
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.96173,-0.728844,2.68213,0.605836,17,s104729_S_b006,6
CCCCCC(=O)N(CCCC)CCCC,1.58377,-0.985653,2.07082,0.761903,2,s104729_S_b006,6
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,-2.84832,0.152817,0.28038,-0.117261,2,s104729_S_b006,6
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,2.22332,-0.83624,3.2212,0.777219,14,s104729_S_b006,6
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,-1.14993,1.06475,-0.402398,-0.746084,134,s104729_S_b006,6
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,-0.92768,1.13941,-0.511569,-0.00468405,14,s104729_S_b006,6
CCCCCCCC(=O)N(CCCCCC)CCCCCC,1.55469,-0.595683,2.03357,1.06777,446,s104729_S_b006,6
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-3.052,-0.730878,1.08667,-0.730392,77,s104729_S_b006,6
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,1.40585,-2.60893,0.413053,0.941853,6,s104729_S_b006,6
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,1.45127,-1.38081,-0.735736,-0.169973,6,s104729_S_b006,6
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,1.14707,-2.21843,-0.18875,0.441394,6,s104729_S_b006,6
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,-0.70388,0.692845,-0.685545,-0.860399,14,s104729_S_b006,6
CCCCCCCCCC(=O)N(C)C,1.15199,-0.340656,2.19042,0.250844,5,s104729_S_b006,6
CCCCCCCCCC(=O)N(CC)CC,1.45433,-0.562067,1.95476,0.388862,5,s104729_S_b006,6
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,1.7576,-0.755899,1.95228,0.755854,63,s104729_S_b006,6
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.54966,-0.572751,2.44219,0.683756,11,s104729_S_b006,6
CCCCCCCCCCCC(=O)N(CC)CC,1.77399,-0.783406,1.9571,0.638946,47,s104729_S_b006,6
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.422902,-1.55385,0.391644,-0.146845,12,s104729_S_b006,6
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,-1.03251,1.30872,0.264363,-0.998648,105,s104729_S_b006,6
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,-0.521097,0.504394,-0.440741,-0.127134,22,s104729_S_b006,6
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,-0.501401,0.710153,-1.50344,-0.0799841,26,s104729_S_b006,6
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,-0.178978,1.09075,-1.03674,-0.267005,26,s104729_S_b006,6
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,-0.234711,0.837346,-1.59374,0.0832953,22,s104729_S_b006,6
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,-1.03039,1.07733,-1.83493,0.208609,13,s104729_S_b006,6
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,-0.31319,0.825879,-0.0411344,0.539664,14,s104729_S_b006,6
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.676931,0.277241,0.311384,-0.26067,39,s104729_S_b006,6
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,-0.247846,1.13465,-1.15385,-0.0608599,368,s104729_S_b006,6
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.574927,0.475765,0.779506,-2.11943,208,s104729_S_b006,6
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,-0.0911606,-1.59242,0.0290882,3.47758,6,s104729_S_b006,6
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,-0.394432,-1.59569,0.745194,2.05768,4,s104729_S_b006,6
CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,0.554123,-3.19712,1.39745,1.02807,2,s104729_S_b006,6
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,0.232727,-1.21993,1.05834,-0.19659,4,s104729_S_b006,6
