g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.578208,0.159346,-0.247598,-0.927332,1733,s104729_S_b003,3
Am(VI),-0.315169,0.700547,-2.70042,0.00317742,27,s104729_S_b003,3
Ba(II),0.651562,0.840919,-1.35618,-4.36338,25,s104729_S_b003,3
Bi(III),-2.55376,1.51154,3.81135,-1.02861,17,s104729_S_b003,3
Ca(II),-1.01712,1.63637,0.587134,-1.08533,22,s104729_S_b003,3
Cd(II),1.60823,-2.80279,3.55366,-3.62989,4,s104729_S_b003,3
Ce(III),1.96452,-0.725955,-0.932224,-0.446247,293,s104729_S_b003,3
Cf(III),-0.866565,-0.630893,0.943343,-0.644866,9,s104729_S_b003,3
Cm(III),-0.622049,0.134604,0.0948412,-1.03255,135,s104729_S_b003,3
Dy(III),0.362026,-0.758338,1.17686,0.15539,377,s104729_S_b003,3
Er(III),0.269209,-0.874398,1.46881,0.376535,300,s104729_S_b003,3
Eu(III),0.750247,-0.613086,0.781685,-0.0492015,1692,s104729_S_b003,3
Gd(III),0.931759,-0.791016,0.796135,0.0761637,375,s104729_S_b003,3
Hf(IV),-1.51385,0.149604,0.62748,-0.367821,5,s104729_S_b003,3
Ho(III),0.368914,-0.915763,1.41491,0.343296,264,s104729_S_b003,3
In(III),0.310653,1.76639,2.58457,-2.91055,5,s104729_S_b003,3
La(III),2.26532,-0.671869,-1.2686,-0.646595,344,s104729_S_b003,3
Lu(III),0.239071,-1.24139,1.65418,0.428022,231,s104729_S_b003,3
Nd(III),1.79895,-0.980361,-0.69366,-0.34959,433,s104729_S_b003,3
Np(IV),-1.50197,0.832825,-1.00996,0.784652,216,s104729_S_b003,3
Np(V),1.14201,2.08507,-2.12553,-0.429579,187,s104729_S_b003,3
Np(VI),0.561405,1.05946,-2.33335,1.23843,67,s104729_S_b003,3
Pa(V),-0.711794,1.62656,-2.35506,1.01971,43,s104729_S_b003,3
Pb(II),-1.23422,1.27977,3.61863,-4.20956,10,s104729_S_b003,3
Pd(II),1.19053,-6.31437,-0.372796,-3.02988,18,s104729_S_b003,3
Pd(IV),1.21278,-1.69538,-0.418037,-3.08279,5,s104729_S_b003,3
Pm(III),0.792021,-1.02377,0.821895,0.0300142,1,s104729_S_b003,3
Pr(III),1.73477,-0.490314,-0.632575,-0.249936,348,s104729_S_b003,3
Pu(III),-1.44611,-0.146428,-1.27382,-0.536785,91,s104729_S_b003,3
Pu(IV),-2.40613,0.797122,-1.23159,0.498923,580,s104729_S_b003,3
Pu(VI),-0.21192,0.990364,-2.4872,0.855382,107,s104729_S_b003,3
Sm(III),1.25048,-0.702749,0.480455,0.0702711,323,s104729_S_b003,3
Sr(II),-0.521821,1.25428,-0.515515,-2.05177,94,s104729_S_b003,3
Sr(III),-0.907795,3.59916,0.11271,-0.978709,38,s104729_S_b003,3
Tb(III),0.510574,-0.564903,1.10528,0.219192,269,s104729_S_b003,3
Tc(VII),0.965788,-1.84697,-2.04171,0.460747,21,s104729_S_b003,3
Th(IV),-0.731041,0.11646,-0.329691,-0.192503,741,s104729_S_b003,3
Tm(III),0.253616,-1.01938,1.56778,0.381027,201,s104729_S_b003,3
U(IV),-0.53583,1.57353,-1.53936,-0.317786,15,s104729_S_b003,3
U(VI),-0.748519,2.32255,-3.65567,1.35285,968,s104729_S_b003,3
Y(III),-1.09928,-0.318875,1.11598,-1.01141,28,s104729_S_b003,3
Yb(III),0.333939,-0.994182,1.73681,0.526516,231,s104729_S_b003,3
Zr(IV),-1.57375,0.264097,0.0794706,1.45658,13,s104729_S_b003,3
