g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),0.286344,-0.15029,-0.239582,-0.864494,-0.448193,1.50716,0.605561,1.13975,1714,s104729_S_b014,14
Am(VI),-3.26864,0.0833732,-1.33973,-0.133569,-2.67992,-0.234651,-0.277579,0.0103755,27,s104729_S_b014,14
Ba(II),-0.80171,1.46695,3.98477,-2.98127,-3.05341,-3.29809,5.29623,1.92829,25,s104729_S_b014,14
Bi(III),-0.948721,-1.03713,-0.461477,-3.24147,3.44548,2.70084,-4.68332,1.07687,17,s104729_S_b014,14
Ca(II),-0.0929594,-1.94434,2.96318,-0.142919,-0.0123773,0.116681,1.77427,0.306659,22,s104729_S_b014,14
Cd(II),3.92957,1.11312,3.6331,-3.69864,0.605639,-4.61832,-4.05939,0.35902,4,s104729_S_b014,14
Ce(III),-0.0215887,0.992801,0.497963,-2.01113,-1.67677,-3.89551,0.841885,-0.391489,293,s104729_S_b014,14
Cf(III),0.699878,-0.627813,-1.09663,-0.611364,0.400177,-0.0951217,1.05974,0.0803741,9,s104729_S_b014,14
Cm(III),0.189579,-0.0819384,-0.257822,-1.11503,0.145089,0.79265,1.75981,0.145799,135,s104729_S_b014,14
Dy(III),0.940361,-0.868547,0.274487,-0.540167,0.501564,-0.330567,-0.931767,-0.661695,377,s104729_S_b014,14
Er(III),1.26238,-0.930856,-0.00275317,-0.368357,1.01832,-0.297134,-1.28803,-0.447985,300,s104729_S_b014,14
Eu(III),1.18246,-0.155138,0.331463,-0.245176,0.0625652,-1.80892,-0.212563,1.34188,1670,s104729_S_b014,14
Gd(III),0.804322,-0.0901242,0.359932,-0.952516,0.215381,-0.748893,-0.420792,-0.759772,375,s104729_S_b014,14
Hf(IV),2.08773,0.553203,-2.31954,1.47072,-2.37651,3.4805,-0.70019,0.794633,5,s104729_S_b014,14
Ho(III),1.29378,-0.805333,0.0116475,-0.472144,0.967265,-0.288748,-1.18767,-0.544313,264,s104729_S_b014,14
In(III),1.0498,2.49325,4.1543,-2.72076,-0.38951,2.1011,-1.38987,1.26212,5,s104729_S_b014,14
La(III),-0.18217,1.38575,0.816374,-2.43727,-1.72955,-4.23937,0.70944,-0.434722,344,s104729_S_b014,14
Lu(III),1.66649,-0.993171,-0.32881,-0.445643,1.26923,-0.437911,-1.5401,-0.0855791,247,s104729_S_b014,14
Nd(III),0.0152125,0.988147,0.511686,-1.69285,-0.724614,-2.30771,-0.348074,-0.633528,433,s104729_S_b014,14
Np(IV),-1.2051,1.05389,-0.569129,2.03966,-1.00736,2.0616,-0.0656141,-0.123867,216,s104729_S_b014,14
Np(V),-3.64918,1.98787,1.03935,-0.317759,-2.25991,1.80001,1.79423,-0.199257,166,s104729_S_b014,14
Np(VI),-4.52199,0.677955,-0.77192,0.764149,-2.58241,0.0257164,-0.614132,-0.677371,67,s104729_S_b014,14
Pa(V),-2.85014,-0.353144,0.604242,2.47455,-3.09085,4.06801,-0.913026,-0.681182,43,s104729_S_b014,14
Pb(II),1.1031,0.72516,0.484799,-5.82327,2.59836,-0.749898,-2.7458,1.30453,10,s104729_S_b014,14
Pd(II),3.9264,1.1058,-0.23635,1.33675,-3.69322,-5.89287,-2.29183,0.763969,18,s104729_S_b014,14
Pd(IV),-0.123179,2.04124,1.38215,1.27792,-5.18665,2.03136,0.110715,1.17938,5,s104729_S_b014,14
Pm(III),1.15478,-0.249878,0.439235,-0.545434,0.125289,-1.7088,-0.291872,0.483604,1,s104729_S_b014,14
Pr(III),-0.332772,0.999933,0.593596,-1.62388,-0.668626,-2.95276,0.344246,-0.365818,348,s104729_S_b014,14
Pu(III),-0.994963,0.249341,-1.96517,0.141402,-1.11016,0.0713266,2.1304,-0.44942,118,s104729_S_b014,14
Pu(IV),-0.855393,0.115692,-1.87577,1.79827,-1.38955,3.18262,0.0923245,-0.498473,580,s104729_S_b014,14
Pu(VI),-4.15406,-0.313487,-2.0041,0.324837,-2.98177,1.13001,-0.375746,-1.05021,107,s104729_S_b014,14
Sm(III),0.224667,0.0937167,0.405569,-1.11818,0.0817704,-1.46186,-0.319258,-0.240043,323,s104729_S_b014,14
Sr(II),-0.570112,-0.733191,3.13998,-1.27499,-1.29923,-2.81057,2.70347,0.561899,94,s104729_S_b014,14
Sr(III),-2.85828,-1.79871,4.74371,0.503411,-0.144166,0.911839,1.90906,1.10445,38,s104729_S_b014,14
Tb(III),0.829643,-0.651086,0.590321,-0.410204,0.301221,-0.526426,-0.791622,-0.543539,269,s104729_S_b014,14
Tc(VII),-0.898705,0.0839158,-1.64558,2.16253,-5.06062,-0.834225,-3.47013,-2.21476,21,s104729_S_b014,14
Th(IV),1.08836,-0.0854042,-0.382037,1.20694,-1.41623,1.08737,1.48701,-0.862549,721,s104729_S_b014,14
Tm(III),1.37808,-0.884687,-0.0825965,-0.328407,1.17571,-0.357363,-1.45774,0.0704201,201,s104729_S_b014,14
U(IV),-1.49654,1.04372,-0.0762753,1.01502,-2.79107,2.882,0.410568,0.300252,15,s104729_S_b014,14
U(VI),-4.70541,1.0983,-1.02906,1.97562,-3.80836,2.78024,-2.40067,0.50675,1036,s104729_S_b014,14
Y(III),-0.423173,-2.10549,0.0307809,-0.497034,-0.0211135,0.130113,1.22932,-0.367336,28,s104729_S_b014,14
Yb(III),1.81302,-0.957958,0.148484,-0.0564882,0.933117,-0.586028,-1.62666,0.205699,231,s104729_S_b014,14
Zr(IV),2.04388,-0.4134,-1.92003,2.53844,-3.38049,2.28107,-0.538444,-0.671678,13,s104729_S_b014,14
