g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.543342,0.203472,-0.127542,-0.790982,1733,s104729_S_b025,25
Am(VI),1.84986,3.31502,0.242696,-0.0796342,27,s104729_S_b025,25
Ba(II),2.38894,1.29151,-4.71917,-3.19889,25,s104729_S_b025,25
Bi(III),3.06098,-0.99787,-1.39431,1.55547,17,s104729_S_b025,25
Ca(II),-0.753135,0.288481,-2.38563,0.293237,22,s104729_S_b025,25
Cd(II),0.0676004,-3.25745,-6.8161,1.21064,4,s104729_S_b025,25
Ce(III),4.53168,-0.568964,-1.69809,-0.117365,293,s104729_S_b025,25
Cf(III),-1.09473,-0.670667,-0.359364,0.136029,9,s104729_S_b025,25
Cm(III),-0.743115,-0.265288,-0.0838258,-0.969939,135,s104729_S_b025,25
Dy(III),-0.209373,-0.98974,-0.610928,0.631231,367,s104729_S_b025,25
Er(III),-0.362335,-1.41516,-0.39044,0.66643,300,s104729_S_b025,25
Eu(III),0.471247,-1.08549,-0.824886,0.0397075,1692,s104729_S_b025,25
Gd(III),0.699271,-1.03663,-0.870909,0.267727,375,s104729_S_b025,25
Hf(IV),-1.2287,2.07891,3.4663,0.578381,5,s104729_S_b025,25
Ho(III),-0.252607,-1.39792,-0.47908,0.666504,264,s104729_S_b025,25
In(III),-0.911688,2.15335,-2.6544,-1.25163,5,s104729_S_b025,25
La(III),4.69079,-0.370752,-2.15921,-0.387678,344,s104729_S_b025,25
Lu(III),-0.450507,-1.80934,-0.398326,0.934911,247,s104729_S_b025,25
Nd(III),3.02782,-0.550152,-1.3295,0.0840342,433,s104729_S_b025,25
Np(IV),0.380431,2.16726,2.41068,-1.04677,216,s104729_S_b025,25
Np(V),0.350061,3.68927,-0.0126009,-1.95322,168,s104729_S_b025,25
Np(VI),2.12829,4.39524,1.38926,-0.0329947,67,s104729_S_b025,25
Pa(V),0.721807,4.32428,1.19544,-0.0192845,43,s104729_S_b025,25
Pb(II),4.81243,-3.58483,-4.09619,-0.61594,10,s104729_S_b025,25
Pd(II),-2.71503,0.364753,2.61246,-0.527504,18,s104729_S_b025,25
Pd(IV),-1.48562,6.84626,5.69374,-3.64844,5,s104729_S_b025,25
Pm(III),0.744542,-1.23138,-0.832031,0.187534,1,s104729_S_b025,25
Pr(III),3.07525,-0.444017,-1.5132,0.0168211,348,s104729_S_b025,25
Pu(III),0.161938,1.0847,1.21321,0.220574,118,s104729_S_b025,25
Pu(IV),-0.525411,2.34629,2.66892,0.119217,580,s104729_S_b025,25
Pu(VI),1.20117,4.56028,1.51169,1.12041,107,s104729_S_b025,25
Sm(III),1.39775,-0.891523,-0.992872,0.291612,307,s104729_S_b025,25
Sr(II),0.686351,0.360324,-3.62327,-0.649165,94,s104729_S_b025,25
Sr(III),-2.37095,3.21757,-2.71873,-0.781434,38,s104729_S_b025,25
Tb(III),0.048785,-0.917602,-0.667959,0.49045,269,s104729_S_b025,25
Tc(VII),3.55751,6.73835,5.46336,1.08802,21,s104729_S_b025,25
Th(IV),0.512838,0.595779,0.737567,0.13928,773,s104729_S_b025,25
Tm(III),-0.377553,-1.51706,-0.413981,0.900486,201,s104729_S_b025,25
U(IV),1.84248,3.08624,0.385294,-0.761431,15,s104729_S_b025,25
U(VI),3.32549,5.6724,1.39059,-0.198832,1036,s104729_S_b025,25
Y(III),-0.74329,-0.859202,-0.751988,0.459662,28,s104729_S_b025,25
Yb(III),-0.412049,-1.64808,-0.376395,0.896593,231,s104729_S_b025,25
Zr(IV),0.452301,2.83186,3.06394,2.30826,13,s104729_S_b025,25
