g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.586076,0.13374,0.945929,-0.589601,0.37467,0.532582,-0.946347,0.417171,-0.216095,0.78801,1.39769,-0.236698,0.17084,-0.14545,-0.276779,-0.629863,1733,s104729_S_b012,12
Am(VI),1.64992,-0.0283277,2.50683,0.721529,-2.16079,-1.25677,-0.0696803,-0.106687,-0.785948,0.233483,0.625366,-0.240602,2.33784,0.629382,-0.737184,-2.23854,27,s104729_S_b012,12
Ba(II),0.75923,-3.48523,3.24926,3.09547,3.39446,0.243904,-2.37939,3.07366,-3.31034,1.57924,1.99009,-0.92687,-4.74816,-0.125393,3.05051,4.02387,25,s104729_S_b012,12
Bi(III),-0.662273,1.71075,-1.1904,-0.89962,2.21216,-4.81819,-1.73183,0.711091,-4.84792,-0.0156474,-0.685197,1.60843,-0.612905,0.861028,0.564582,3.97688,17,s104729_S_b012,12
Ca(II),-1.30599,-1.19704,2.37087,1.39134,0.230932,0.190529,-1.39961,-0.630867,-2.87231,0.629724,0.0507393,-0.632623,-1.69824,-0.604153,3.17257,2.0506,22,s104729_S_b012,12
Cd(II),-2.82875,-1.11911,2.47033,-2.97376,8.74494,-3.53407,-1.73727,6.34008,-4.01106,0.568301,-0.425173,2.4554,-0.414274,-1.8478,4.47751,8.97972,4,s104729_S_b012,12
Ce(III),-0.119356,-1.51934,0.0973782,-0.0965979,0.674311,-1.50662,1.0786,1.80753,0.237653,0.192629,-0.299951,-0.328808,-1.82613,1.06272,0.959,2.10313,293,s104729_S_b012,12
Cf(III),-0.0840306,1.06881,1.01521,-0.584454,-0.685353,-0.631372,-0.973135,0.614595,0.19961,0.150884,1.27818,-0.138111,0.922357,-0.167629,0.370372,-0.502765,9,s104729_S_b012,12
Cm(III),0.520378,0.603505,1.18814,-0.696461,0.799907,0.17139,-0.766124,0.440104,0.92067,0.202275,1.41775,0.345204,-0.107345,0.573566,-0.133231,0.167177,125,s104729_S_b012,12
Dy(III),-0.856206,0.260288,-0.6563,-0.649922,0.274253,-0.0746786,-0.345861,-0.490679,-0.0729808,-0.208035,-0.377503,-0.895932,-0.498424,-0.446866,-0.332494,0.420904,377,s104729_S_b012,12
Er(III),-1.32197,0.879171,-1.00264,-0.768873,0.262394,0.0890961,-0.240402,-0.550941,0.0029331,-0.536952,-0.318514,-0.577534,-0.142121,-0.321308,-0.00715548,0.464484,300,s104729_S_b012,12
Eu(III),0.00986344,-0.574632,-1.09543,-0.424027,0.110211,-0.369414,-0.689425,1.12807,-0.238607,-0.801136,-0.537936,-0.50426,-1.02335,-0.73346,-0.212416,0.294887,1692,s104729_S_b012,12
Gd(III),-0.546744,-0.385184,-0.616608,-0.545763,0.829578,-0.123023,0.157139,-0.0460862,0.0361591,-0.503268,-0.30071,-0.124122,-0.606482,-0.0576846,-0.829356,0.905315,375,s104729_S_b012,12
Hf(IV),-2.49388,2.1963,-0.600425,2.60589,1.78983,-1.26146,-0.873474,-1.09513,-4.35531,-0.33464,0.71383,-2.8662,3.22575,1.26823,1.5957,-1.4567,5,s104729_S_b012,12
Ho(III),-1.09443,0.663976,-1.10928,-0.642866,0.254946,0.197199,-0.112034,-0.587709,0.272169,-0.437666,-0.167174,-0.621887,-0.33135,-0.347493,-0.211572,0.390184,264,s104729_S_b012,12
In(III),-0.429125,-2.46306,0.201725,1.33901,4.40289,0.362943,-2.45985,2.16752,-6.60885,-0.516932,1.32978,2.65435,1.047,-0.0826333,2.94459,4.36828,5,s104729_S_b012,12
La(III),0.21775,-1.72381,0.326658,0.365833,1.62107,-1.64414,0.96485,1.6416,-0.295971,0.263501,-0.647436,0.0911122,-2.36264,1.50724,0.581096,2.1338,344,s104729_S_b012,12
Lu(III),-1.72354,1.42946,-1.2333,-0.415914,0.378871,0.20482,-0.216738,-0.588899,0.708352,-0.810342,0.00476679,-0.530999,-0.246436,0.113541,0.039353,0.450053,247,s104729_S_b012,12
Nd(III),-0.205225,-1.42944,0.132129,0.063837,0.473198,-0.619531,1.11445,0.683251,0.744697,-0.192662,-0.439739,-0.167893,-1.51841,0.975094,-0.66068,1.48134,433,s104729_S_b012,12
Np(IV),-0.359733,-0.597653,0.658672,-0.161984,-0.878811,-0.863921,-0.241081,-0.490952,-1.21873,0.886124,0.467212,0.828994,1.6811,-0.116823,3.31541,-2.09936,216,s104729_S_b012,12
Np(V),1.93587,-1.0798,3.34391,0.925124,-1.99513,-0.34673,1.93226,1.11206,-1.88257,0.971923,1.70542,2.65613,0.941905,-0.0557994,1.25182,-0.864271,187,s104729_S_b012,12
Np(VI),0.869964,-0.1045,2.79987,0.956524,-3.57028,-1.2909,1.38195,-0.0530488,-2.73582,-0.7571,0.782842,1.64654,2.51822,-0.680845,0.0454444,-2.10571,67,s104729_S_b012,12
