g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.726085,0.413763,0.382569,0.735017,-0.215266,0.588209,-0.458228,0.202783,-0.951787,0.748408,-0.0832112,0.0566074,-2.41259,0.777147,-0.891596,0.414202,1733,s104729_S_b026,26
Am(VI),0.501155,-0.0430161,-1.6747,0.35752,-0.663624,-0.368038,-0.763534,-0.324288,-0.420031,2.41066,1.222,2.86879,0.882168,1.56847,0.0909526,0.310494,27,s104729_S_b026,26
Ba(II),2.1829,3.4231,-4.89881,-0.531529,-2.78063,2.51142,-3.46313,-0.794437,-0.629496,-1.17982,-4.92101,0.185395,-0.778122,2.23114,0.447372,1.67115,25,s104729_S_b026,26
Bi(III),-0.640612,1.84339,6.83956,-1.97877,0.867964,0.844105,-0.280109,3.95877,-0.632079,-2.08099,-4.5582,0.388003,3.52638,3.66064,0.336391,-1.78995,17,s104729_S_b026,26
Ca(II),0.314609,1.30745,-0.676082,-1.84844,-0.902303,1.19565,-1.63698,0.984219,0.0397432,-0.705886,-2.52992,-0.324265,-1.32617,1.58921,1.0755,-0.589191,22,s104729_S_b026,26
Cd(II),1.52119,6.26319,0.531188,-6.08467,1.57716,0.583618,4.79721,-0.334198,4.93759,-0.12519,-5.40415,-0.17891,3.33866,-0.359281,-0.24021,6.16072,4,s104729_S_b026,26
Ce(III),-0.725277,1.05069,-1.14068,-0.633938,-1.225,1.00565,-0.89046,-1.24133,1.51445,0.467376,-1.18375,-1.65812,1.17671,-0.873083,-1.15628,0.999471,293,s104729_S_b026,26
Cf(III),0.35583,-0.746797,0.417573,0.212816,0.214491,1.37505,-0.138425,-0.0779733,-1.878,0.0358922,0.496101,-0.220228,-2.42237,0.208095,-0.531947,0.302266,9,s104729_S_b026,26
Cm(III),0.482549,-0.315597,-0.226863,0.743899,-0.273091,1.44898,-0.610197,-0.750231,-1.47056,0.177036,0.149968,-0.236946,-1.72043,0.629591,-0.0488923,0.132651,135,s104729_S_b026,26
Dy(III),-0.20923,-0.490703,1.25284,0.193202,-0.895905,0.588342,0.277685,0.377986,0.263378,-1.16219,-0.150518,-0.725349,-0.864518,-0.843009,0.400949,-0.159971,377,s104729_S_b026,26
Er(III),-0.232384,-0.926748,2.2106,-0.071362,-1.01449,0.627263,0.535752,0.534885,0.377905,-1.08414,0.176456,-0.629073,-0.957372,-0.58574,0.299249,-0.195499,300,s104729_S_b026,26
Eu(III),0.400235,0.506588,1.53888,-1.03088,-1.31163,-0.00930319,0.362932,-0.391643,-0.371152,0.0299995,-0.691928,-1.05224,0.197245,0.00345936,0.26399,0.187116,1692,s104729_S_b026,26
Gd(III),-0.169848,0.0701971,0.754301,0.403703,-1.07476,0.565449,0.0966229,-0.187305,0.384399,-0.988401,-0.512771,-1.06967,-0.169937,-0.685549,0.0252701,-0.37055,245,s104729_S_b026,26
Hf(IV),2.71308,-1.40252,3.31264,-1.7857,-1.85682,1.87831,-1.69705,1.91149,4.05024,0.0011398,4.09514,2.3833,-0.253676,-0.973651,-0.495634,-1.18719,5,s104729_S_b026,26
Ho(III),-0.264454,-0.694476,1.69452,0.0163545,-0.968188,0.427915,0.685042,0.512638,0.225929,-1.15112,-0.0888904,-0.701461,-0.881447,-0.520828,0.348722,-0.264857,264,s104729_S_b026,26
In(III),3.518,4.32939,2.02695,-0.974347,-1.8719,2.36573,-0.847363,3.72471,1.04817,-2.65645,-2.79205,0.850217,4.5015,4.17186,-0.306974,4.26791,5,s104729_S_b026,26
La(III),-0.662914,1.23847,-1.93367,-0.464752,-1.79602,0.682582,-0.744274,-1.30839,1.95998,0.23933,-1.55027,-1.46891,1.70335,-1.1891,-1.42062,1.4311,344,s104729_S_b026,26
Lu(III),-0.0498603,-1.26928,2.83617,-0.226485,-1.46967,0.625654,1.00286,0.755505,0.00499743,-1.16655,0.35836,-0.690717,-0.817943,-0.507243,0.0926062,0.170544,247,s104729_S_b026,26
Nd(III),-0.398531,1.16109,-0.450158,0.0407459,-1.38511,0.343948,0.470653,-0.471881,0.861492,-0.0707081,-1.11007,-0.537182,1.22259,-1.32387,-0.864586,0.630622,433,s104729_S_b026,26
Np(IV),0.185089,0.864176,0.00221404,1.04239,1.99917,-0.949569,0.437099,1.19576,1.26303,1.64874,0.90318,1.38781,-1.11656,0.0589171,-0.197936,-0.0122624,216,s104729_S_b026,26
Np(V),2.17081,0.816342,-1.85387,3.07861,2.58856,0.579711,-1.34679,-0.386459,0.847363,1.80563,0.32094,3.36001,0.884839,2.09641,0.231888,0.627946,187,s104729_S_b026,26
Np(VI),0.398645,0.0647062,-1.29843,1.84334,0.877037,-0.990931,-0.368797,0.97423,1.30791,2.53166,1.8555,4.15166,1.8623,1.11863,1.72309,-0.190416,67,s104729_S_b026,26
Pa(V),0.357703,-0.0931904,-0.0727366,1.82844,0.439881,-0.810235,-2.1061,1.11333,1.76617,1.97372,0.505103,3.34497,1.37348,1.25879,-0.463732,1.01957,43,s104729_S_b026,26
Pb(II),0.702098,4.2265,3.56332,-1.853,-0.911142,1.60403,-0.754727,2.20076,-1.46459,-3.51098,-7.33726,-0.794763,4.48867,3.4719,-1.03834,0.394917,10,s104729_S_b026,26
Pd(II),-0.334785,-0.0784409,-1.09324,-4.00044,-2.66112,-0.929359,2.45463,-0.700891,1.32889,2.88946,-0.463423,1.84671,-0.0704117,-4.62288,-0.465943,2.81004,18,s104729_S_b026,26
Pd(IV),1.56243,-1.80056,0.331016,0.858735,-4.67676,0.749569,-4.02574,3.27701,-0.712196,0.305298,1.66801,4.31037,1.98868,-0.619512,-0.335367,0.564795,5,s104729_S_b026,26
Pm(III),-0.131011,0.433327,0.947561,-0.875906,-1.2006,-0.102257,0.532384,-0.446755,-0.411066,-0.332331,-0.832982,-1.43785,0.0458146,-0.489936,-0.00941713,0.243933,1,s104729_S_b026,26
Pr(III),-0.456179,0.872597,-0.88898,0.315821,-1.30831,0.430667,-0.24284,-0.618721,1.19778,-0.00093466,-1.22278,-1.45357,1.42814,-0.681345,-0.813704,0.380494,348,s104729_S_b026,26
Pu(III),-0.267052,-0.312265,-1.18603,0.272361,1.48935,0.806901,-1.36712,-0.893705,-1.96976,1.6955,0.760704,0.87313,-0.121525,-0.395685,-0.157543,0.570071,118,s104729_S_b026,26
Pu(IV),-0.157928,-0.144321,-0.0257969,-0.207093,1.70181,-1.36875,-0.727408,0.683887,0.181841,1.2873,1.39426,1.77135,0.222511,-0.802879,0.559654,0.353571,580,s104729_S_b026,26
Pu(VI),0.0615289,-0.954036,-1.37847,0.597252,0.584459,-1.34248,-1.57804,0.401454,0.158326,2.12439,2.30793,4.47662,3.19993,0.285184,2.4636,0.16515,107,s104729_S_b026,26
Sm(III),-0.353105,0.377289,0.0961354,-0.09093,-1.12532,0.484386,0.586769,0.0815192,0.884614,-0.479339,-0.901497,-0.976126,0.46223,-0.568042,-0.119261,0.203632,323,s104729_S_b026,26
Sr(II),0.899138,2.12944,-2.62168,-1.48797,-2.06162,2.33376,-2.42249,0.210774,0.651115,-1.15382,-3.35988,-0.392068,-1.78459,1.53117,0.895821,-0.138052,94,s104729_S_b026,26
Sr(III),1.80158,0.136396,-1.90539,-0.961466,-1.60295,2.10029,-3.06831,0.539176,1.90457,-1.02536,-2.48197,3.21698,-2.07519,3.31695,1.34661,-1.41573,38,s104729_S_b026,26
Tb(III),0.137771,-0.130517,1.3043,0.0961022,-1.09656,0.0276558,0.534155,0.0581039,0.622218,-0.927618,-0.36186,-0.77608,-0.641389,-0.47512,0.167543,-0.23123,269,s104729_S_b026,26
Tc(VII),-0.291409,-2.53042,1.05,-1.4808,-2.67322,1.35247,-3.41152,3.63517,5.02495,2.77193,4.37815,5.2063,2.54412,-1.39047,-0.271061,-1.22958,21,s104729_S_b026,26
Th(IV),-0.995077,0.90049,-0.85486,-0.189544,1.58819,-0.338167,0.298957,-0.205203,0.401407,1.404,0.451352,-0.748406,-0.141264,-0.0118522,-1.13171,0.162649,773,s104729_S_b026,26
Tm(III),0.0324849,-0.995366,2.5369,0.0483359,-1.37988,0.449345,1.08854,0.678525,0.287267,-1.10647,0.10257,-0.621028,-0.770023,-0.267167,0.318988,0.0675635,201,s104729_S_b026,26
U(IV),-0.112518,0.838062,-0.667027,0.739915,-0.535864,-0.196074,-0.751164,0.154417,1.08402,2.29276,0.502518,1.25702,0.442284,0.574087,-1.04922,1.22702,15,s104729_S_b026,26
U(VI),0.766649,0.515125,-0.377154,1.28388,-2.13757,-2.05781,-1.12371,1.8191,2.04045,3.34238,1.68759,5.29742,2.05621,1.00325,1.35112,0.967291,1036,s104729_S_b026,26
Y(III),-0.978081,-0.490281,1.84471,0.758938,-0.957332,1.00825,-0.672594,0.735662,1.03599,0.626932,-1.05235,-4.17952,-1.05811,1.21896,2.35917,1.04383,28,s104729_S_b026,26
Yb(III),0.349295,-1.08326,2.84799,-0.528874,-1.35149,0.065994,1.33255,0.301668,0.60321,-1.12586,0.140977,-0.747623,-0.938013,-0.326995,0.235343,0.478058,231,s104729_S_b026,26
Zr(IV),-0.194496,-1.92859,3.17891,-2.96677,-1.2772,1.80377,-1.27568,1.25382,4.70389,1.20163,4.92482,0.968041,0.888946,-2.35792,-1.40082,-2.14569,13,s104729_S_b026,26
