g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),1.78444,0.838455,0.622899,-0.514036,-0.531385,-0.379412,-0.104029,-0.899785,1114,s104729_S_b000,0
Am(VI),0.0719174,-1.51656,0.401683,-1.4144,-0.888108,-0.134923,-1.94331,-1.79391,27,s104729_S_b000,0
Ba(II),-1.24956,6.21613,2.38128,-3.64067,0.801666,0.0123931,-3.18859,0.0991384,25,s104729_S_b000,0
Bi(III),-0.0458226,3.2862,-2.32131,3.04897,0.125468,2.67536,-0.842976,-2.64319,17,s104729_S_b000,0
Ca(II),-0.384996,4.25332,-1.69637,-0.685297,0.697323,1.69611,-1.27895,-1.9589,22,s104729_S_b000,0
Cd(II),-0.951914,-0.764763,-1.18752,-4.38434,-4.78874,0.44945,-1.16905,2.74627,4,s104729_S_b000,0
Ce(III),-0.37183,0.295633,0.698249,-1.1322,1.68628,-0.630298,-1.38064,1.78072,293,s104729_S_b000,0
Cf(III),1.76916,0.581745,-0.031515,-0.186522,0.35122,-0.790448,1.11916,-0.843641,9,s104729_S_b000,0
Cm(III),1.09268,0.697021,0.631214,-0.962262,0.0634839,-1.36026,1.06884,-1.13634,135,s104729_S_b000,0
Dy(III),0.81074,0.440495,-0.0693402,1.16568,0.217501,0.375641,0.475475,0.631184,377,s104729_S_b000,0
Er(III),0.957181,0.426313,-0.232179,1.51816,0.241334,0.528725,0.749384,0.440039,285,s104729_S_b000,0
Eu(III),-0.363653,0.825674,-0.730583,0.566591,0.468951,0.243539,0.216649,1.36719,1672,s104729_S_b000,0
Gd(III),0.234512,0.457143,0.15419,0.212942,0.938541,0.326509,0.552432,0.955649,375,s104729_S_b000,0
Hf(IV),3.26368,-0.608783,1.27048,2.09673,-3.9348,-0.664935,-0.118105,-1.18009,5,s104729_S_b000,0
Ho(III),0.861648,0.428696,-0.244364,1.3886,0.45097,0.413583,0.786264,0.441937,264,s104729_S_b000,0
In(III),0.023959,1.62457,-0.704336,-0.813817,-1.09811,-0.567518,-4.71035,-0.869952,5,s104729_S_b000,0
