g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.455877,-1.00647,-0.297339,-0.0294961,0.276632,0.810644,-0.0110592,-0.972938,1.36004,-0.52923,0.543424,-0.386226,0.591362,-0.276188,0.748468,-1.34124,1733,s104729_S_b023,23
Am(VI),-0.528953,-3.05533,-1.00247,0.928198,-0.865946,0.893931,-1.91974,1.48197,1.88509,1.00609,0.235566,-1.40567,2.2505,0.472004,-0.167145,0.105358,27,s104729_S_b023,23
Ba(II),-2.27057,-2.12692,1.726,1.73107,4.91,2.71862,-1.7294,2.6429,3.58801,-1.27606,4.57937,-1.77438,0.340085,0.0613712,-0.383415,-4.35963,25,s104729_S_b023,23
Bi(III),-0.473058,-4.7859,0.328306,-0.86359,-3.78959,-0.455278,1.34457,2.85688,2.76522,-4.292,0.55429,-3.46074,-1.10312,-1.47229,1.06352,2.62743,17,s104729_S_b023,23
Ca(II),-1.49966,-0.996048,1.51053,0.684895,1.40738,-1.93101,0.355643,0.385132,3.69124,-2.22846,2.01231,-2.16068,1.70294,0.408102,1.83609,-1.97067,22,s104729_S_b023,23
Cd(II),2.05993,-0.737645,-1.62235,-2.24382,3.43662,2.57386,5.72676,1.71337,3.9788,-1.39076,6.45392,-6.87967,-5.72447,-4.74295,-0.815655,1.0926,4,s104729_S_b023,23
Ce(III),0.048471,-0.243704,0.26983,-0.103156,1.94628,0.700888,1.05616,1.14896,-0.901527,0.0606355,1.09683,-1.67266,-0.814939,-0.0528435,-2.8931,-0.736224,293,s104729_S_b023,23
Cf(III),0.694858,-0.326379,-0.369892,-0.409595,0.394092,1.12965,0.325799,-0.402708,0.162771,-0.979332,-1.38123,0.227813,0.730624,-0.0910165,0.683207,-0.329058,9,s104729_S_b023,23
Cm(III),0.0739669,-0.684087,-0.556638,0.0960772,0.517136,1.15017,-0.133328,-0.180979,0.588929,-0.136919,-0.916898,0.0245753,0.358847,-0.386309,1.06128,-1.27915,135,s104729_S_b023,23
Dy(III),-0.294336,0.0317715,0.164639,-0.592411,0.117049,-1.05907,1.45086,-1.26584,0.240914,-0.481508,-0.0677633,0.978715,-0.140773,-0.243789,-0.0457096,0.205011,282,s104729_S_b023,23
