g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.588516,1.2687,0.440826,0.371324,0.799894,0.00969253,-0.0737373,1.50529,0.484907,0.0587111,0.438143,-0.401617,0.774526,0.779635,0.023294,-0.0825747,1733,s104729_S_b021,21
Am(VI),0.395014,1.24562,-0.542047,0.888151,-0.975894,-3.17054,-0.17736,0.0248223,-0.407235,0.563255,-0.55465,-3.40273,1.61656,1.49403,-0.20272,-1.13184,27,s104729_S_b021,21
Ba(II),-2.81886,2.51547,1.07707,5.15213,3.55367,1.01896,-2.72687,1.83208,-1.14058,-3.11582,2.64216,0.456429,-0.997557,1.76,-0.672523,-0.868877,25,s104729_S_b021,21
Bi(III),-1.65725,3.28345,-2.42888,-1.50568,3.83821,1.49848,-1.93645,1.37488,3.7544,3.84849,-1.25107,-1.05404,0.855291,1.97831,-2.54406,0.638704,17,s104729_S_b021,21
Ca(II),-2.11353,2.51423,-1.0604,1.41276,0.799596,0.725237,0.0422333,0.166791,-0.674483,-0.774339,0.933172,-1.84253,-0.652909,-0.478023,-1.17079,1.5268,22,s104729_S_b021,21
Cd(II),-2.75015,-0.153754,-3.28439,3.04382,-0.0196015,7.10984,-3.4862,0.249034,-0.563712,-3.3109,2.66049,2.31847,4.16686,3.2565,-4.3569,6.59339,4,s104729_S_b021,21
Ce(III),-1.0014,-0.324664,0.560701,1.39073,0.0231421,1.14712,-4.4052,-0.610122,-0.268406,-0.630235,0.562845,1.83404,-0.607978,0.300308,0.34652,-0.600581,293,s104729_S_b021,21
Cf(III),0.960485,2.35566,1.21647,0.0704901,-0.480729,-0.738445,1.18329,1.25215,1.1654,0.252594,0.335361,-0.795121,0.262733,0.833169,0.447185,0.539144,9,s104729_S_b021,21
Cm(III),0.580888,1.33869,1.26297,0.384291,0.0902291,-0.263922,1.4416,1.31108,0.0794587,-0.510466,0.618917,0.348538,0.433179,0.479209,0.398858,0.34532,135,s104729_S_b021,21
Dy(III),0.035324,0.527388,-0.318597,-1.07514,-0.408607,0.333342,-0.16952,0.412982,0.238249,0.381184,0.508548,0.963587,-0.265248,-0.340362,-0.395618,1.43775,377,s104729_S_b021,21
Er(III),0.288006,0.968281,-0.767963,-1.56321,-0.695238,0.383726,0.0553057,0.0660532,0.19012,0.443561,0.442904,0.787911,0.000799283,-0.472496,-0.601296,1.5214,300,s104729_S_b021,21
Eu(III),0.0473786,1.26004,-0.916477,-0.580445,0.240814,0.882148,-1.22639,0.236662,0.0491095,-0.301449,0.0335217,1.56657,-0.391284,-1.38497,0.205255,-0.43528,1190,s104729_S_b021,21
Gd(III),-0.283491,-0.252143,-0.00509161,-0.700718,-0.263679,0.59858,-0.764463,0.358833,0.840648,-0.228218,0.548249,1.35033,-0.213845,-0.285089,-0.0191177,0.600162,375,s104729_S_b021,21
Hf(IV),0.127278,0.454933,-0.150793,-1.91601,-0.355719,-1.47098,0.686281,-0.495927,0.058521,0.162532,0.546976,-1.33257,-2.68522,2.0575,-1.41733,1.33957,5,s104729_S_b021,21
Ho(III),0.327107,0.856,-0.455188,-1.49881,-0.424505,0.250336,0.0554927,0.272938,0.274075,0.311758,0.385309,0.934973,-0.0633812,-0.436633,-0.417629,1.2734,264,s104729_S_b021,21
In(III),-4.20596,1.42196,-3.17991,0.164829,2.13675,2.73383,0.613049,1.89226,-1.88651,-0.218655,0.496431,1.38308,1.27723,3.43416,-3.46339,0.454138,5,s104729_S_b021,21
La(III),-1.20106,-0.852202,0.366173,1.30302,0.167598,0.515924,-4.0914,-0.503307,-0.516135,-1.10058,0.845355,2.12082,-0.574107,0.857553,0.382748,-0.85395,344,s104729_S_b021,21
Lu(III),0.828073,1.18307,-1.25636,-2.27731,-0.530339,0.542301,0.217029,-0.21783,-0.0307874,0.308714,0.649258,0.930172,0.228417,-0.279563,-0.3496,1.14694,157,s104729_S_b021,21
Nd(III),-0.497913,-1.19838,0.0544186,0.208846,0.0183965,0.161184,-2.61298,0.379047,-0.376247,-0.668195,0.505878,1.78045,-0.0844214,0.0269486,0.117332,-0.202768,433,s104729_S_b021,21
Np(IV),-0.305972,-1.44626,0.232745,0.20216,0.606,-1.47858,0.721742,0.237232,-0.0561964,0.67155,-1.04036,-1.53431,-0.364806,1.07065,-0.490733,-0.452136,216,s104729_S_b021,21
Np(V),-1.38774,-0.532468,-0.752735,1.67855,0.405085,-2.32769,1.3254,0.942302,-1.51199,-0.827051,0.529155,-1.94881,2.47845,2.64202,1.63646,-1.6511,187,s104729_S_b021,21
Np(VI),-0.130195,0.42228,-1.2703,0.644157,-0.626148,-3.82581,0.177668,-0.684121,-1.08895,0.694991,-1.12705,-3.7965,1.50133,2.03803,0.0716605,-0.913688,67,s104729_S_b021,21
Pa(V),-2.47095,0.648609,-3.8148,0.642609,0.358565,-1.37704,0.927138,0.261971,-1.20057,1.26437,-0.929462,-3.72352,1.24453,0.488879,1.45648,-0.811667,43,s104729_S_b021,21
Pb(II),-3.33895,3.30987,-0.3289,1.91436,5.89121,3.24041,-2.18999,2.94374,2.90684,2.57166,-0.397219,0.840191,0.401381,2.77565,-1.95731,-0.905203,10,s104729_S_b021,21
Pd(II),-0.89679,3.21524,0.836184,3.27173,-2.46099,3.09391,-3.00069,-2.29785,-1.83895,-3.8993,-0.0169477,-2.20833,1.18854,-0.286178,-0.665726,5.17499,18,s104729_S_b021,21
Pd(IV),-2.82357,4.47453,-0.253468,1.03454,0.532746,-1.14014,-0.164748,-0.503771,-2.72925,-0.568253,-1.7777,-4.9505,-1.25546,0.638842,0.522399,-1.31727,5,s104729_S_b021,21
Pm(III),0.24861,0.7582,-0.192185,-0.378448,0.152879,0.9681,-1.52331,0.195618,0.414065,-0.337851,0.170613,1.78935,-0.431848,-1.19212,0.340795,-0.176996,1,s104729_S_b021,21
Pr(III),-0.683936,-1.04853,-0.0597698,0.48099,0.148174,0.301084,-2.85229,0.00888584,-0.125987,-0.595085,0.610321,1.89173,-0.347364,0.374664,0.180217,-0.522964,348,s104729_S_b021,21
