g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),0.534302,-0.145812,0.303863,0.252034,0.874857,0.944911,-1.09316,0.372013,1733,s104729_S_b017,17
Am(VI),-1.88308,-2.00578,1.34208,-0.319793,-2.32204,2.04922,-1.79792,-0.179891,27,s104729_S_b017,17
Ba(II),-0.997155,-2.65241,-1.05093,1.3483,5.08698,1.68452,-2.77238,-5.78561,25,s104729_S_b017,17
Bi(III),-2.47955,-3.77526,0.811322,3.90852,2.97281,-0.620468,1.69241,4.04161,17,s104729_S_b017,17
Ca(II),-0.315817,-1.75919,0.233806,0.4818,2.52207,1.06406,0.353706,-0.145091,22,s104729_S_b017,17
Cd(II),0.362432,-5.69244,0.0990065,2.73889,0.587371,2.25516,-1.2464,-2.35904,4,s104729_S_b017,17
Ce(III),0.314782,-1.142,-1.1578,-0.0120715,-0.14195,-1.3383,-0.227817,-3.26999,184,s104729_S_b017,17
Cf(III),0.950908,0.726932,1.09185,-0.516129,0.235921,0.887954,-0.257745,0.764705,9,s104729_S_b017,17
Cm(III),1.19086,0.407235,0.0955574,-0.0877179,1.13717,1.37019,-1.01979,-0.0484564,135,s104729_S_b017,17
Dy(III),1.27367,0.625996,-0.242289,0.678774,0.108994,-0.267042,1.30203,0.26751,377,s104729_S_b017,17
Er(III),1.1139,0.70767,-0.087112,0.853173,0.0418964,-0.286089,1.78544,0.634674,280,s104729_S_b017,17
Eu(III),-0.632956,1.10098,-0.357272,0.715084,0.524686,-0.364037,1.44268,-0.912134,1692,s104729_S_b017,17
Gd(III),0.488571,0.472404,-0.584695,0.477664,0.341517,-0.71309,1.10617,-0.682145,375,s104729_S_b017,17
Hf(IV),1.74888,-3.66234,0.0103389,-0.563411,-0.253551,1.35183,3.34403,1.56697,5,s104729_S_b017,17
Ho(III),1.21657,0.833063,-0.166244,0.738907,0.116613,-0.287107,1.47862,0.688013,264,s104729_S_b017,17
In(III),-2.68751,-8.81644,-1.37863,2.04044,2.06211,1.91318,0.42402,1.63358,5,s104729_S_b017,17
La(III),0.0189363,-1.47613,-1.26411,-0.0710252,0.161038,-1.5269,-0.49362,-3.77831,344,s104729_S_b017,17
Lu(III),1.25141,0.468356,-0.0184979,0.888369,0.462663,-0.377361,2.20048,1.17134,247,s104729_S_b017,17
Nd(III),0.386943,-0.808728,-1.1605,0.265906,-0.297316,-1.59471,-0.287032,-1.98359,433,s104729_S_b017,17
Np(IV),-0.887884,-0.700436,1.1265,-0.916558,-1.35981,-0.0368038,-1.34754,1.30354,216,s104729_S_b017,17
Np(V),-3.19739,-1.49862,0.0587685,0.806128,-2.20187,3.16058,-2.8243,-0.18102,187,s104729_S_b017,17
Np(VI),-3.29985,-2.02574,1.89995,0.214498,-4.22175,1.49682,-1.79478,0.932354,67,s104729_S_b017,17
Pa(V),-2.9679,-2.95005,0.0561943,0.293297,-3.02763,1.21977,-1.06013,1.56405,43,s104729_S_b017,17
Pb(II),-3.21531,-3.76929,-0.179721,3.98611,4.75555,-0.486364,-0.172555,1.02064,10,s104729_S_b017,17
Pd(II),4.0426,-0.821523,2.42903,0.275551,-4.43373,0.85174,0.435098,-5.21762,18,s104729_S_b017,17
Pd(IV),-1.34114,-5.48035,-0.832195,0.978086,-3.4405,2.60167,1.8275,-1.52601,5,s104729_S_b017,17
Pm(III),-0.101077,1.05194,-0.481172,0.296213,0.428102,-0.611522,1.38401,-1.35659,1,s104729_S_b017,17
Pr(III),-0.0386836,-0.77295,-1.09243,0.0463874,0.0717004,-1.17035,-0.000504836,-2.49969,348,s104729_S_b017,17
Pu(III),-0.0290249,0.260942,1.05925,-1.18938,-0.820257,1.97591,-1.34531,-0.139121,118,s104729_S_b017,17
Pu(IV),-0.164661,-1.26405,2.06194,-1.10535,-2.07366,1.36319,-0.917445,1.38301,580,s104729_S_b017,17
Pu(VI),-2.57039,-2.55887,2.78623,0.0746948,-4.90905,3.01783,-1.36418,0.922219,107,s104729_S_b017,17
Sm(III),0.443173,0.00567643,-0.582292,0.395918,0.372406,-1.03179,0.469558,-1.00546,323,s104729_S_b017,17
Sr(II),0.156641,-2.12709,-0.607259,0.538444,4.3225,0.879426,-0.831804,-2.7093,94,s104729_S_b017,17
Sr(III),-0.169339,-3.63091,-2.55379,0.864048,4.17966,3.04355,0.453176,0.636465,38,s104729_S_b017,17
Tb(III),0.41397,0.710689,-0.184899,0.757564,0.304404,-0.466794,1.40037,-0.142223,269,s104729_S_b017,17
Tc(VII),-3.18996,-3.97788,1.23666,-1.16849,-6.48627,1.96294,4.68463,1.54364,21,s104729_S_b017,17
Th(IV),-0.537001,-0.0795112,0.227263,-1.64667,-0.265651,0.799923,-1.01135,-0.342303,758,s104729_S_b017,17
Tm(III),0.95912,0.604648,-0.138877,0.869688,0.265747,-0.319384,2.00593,1.06817,201,s104729_S_b017,17
U(IV),-1.53561,-1.56457,0.421893,0.129642,-1.16012,1.18575,-1.72214,-0.238845,15,s104729_S_b017,17
U(VI),-3.37063,-4.33318,2.71996,1.30471,-4.52067,0.52701,-2.04443,1.21462,1036,s104729_S_b017,17
Y(III),-1.47113,-2.82392,2.00142,-0.881133,4.85384,-2.59134,0.554775,-2.25273,28,s104729_S_b017,17
Yb(III),0.81958,0.523628,-0.10199,0.807294,0.503663,-0.112323,2.60313,1.02721,216,s104729_S_b017,17
Zr(IV),0.99977,-3.39731,-0.988301,-1.87827,-1.64708,0.804998,3.52769,0.956672,13,s104729_S_b017,17
