extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.101515,0.45414,-0.393226,-1.4332,24,s104729_S_b003,3
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.667456,-0.0223575,-0.228659,0.248823,472,s104729_S_b003,3
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,-0.703863,-0.537335,-0.425608,-2.11018,27,s104729_S_b003,3
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-1.07778,0.77916,0.0766655,0.344884,4,s104729_S_b003,3
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.819482,0.903698,-0.547452,-0.0268609,6,s104729_S_b003,3
CCCCCC(=O)N(C(C)CC)C(C)CC,-0.869503,-0.872073,-0.612284,-2.17481,5,s104729_S_b003,3
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-1.16067,-1.01897,-1.03829,-1.85773,17,s104729_S_b003,3
CCCCCC(=O)N(CCCC)CCCC,-1.42993,-1.09324,-0.82546,-1.76777,2,s104729_S_b003,3
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.429276,0.815281,0.396519,0.54622,2,s104729_S_b003,3
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,-1.20144,-1.13352,-1.19127,-2.48548,14,s104729_S_b003,3
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.931196,0.610633,0.645828,0.567218,134,s104729_S_b003,3
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.512278,0.670639,0.0167042,1.09967,14,s104729_S_b003,3
CCCCCCCC(=O)N(CCCCCC)CCCCCC,-1.51234,-0.602896,-1.08806,-1.56284,419,s104729_S_b003,3
