g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.225018,-0.186349,-1.05163,0.139,-0.297149,-0.68693,1.12213,-0.00733733,1733,s104729_S_b018,18
Am(VI),1.10842,-2.73948,0.756916,1.57063,0.692405,-0.510005,1.10247,1.49636,27,s104729_S_b018,18
Ba(II),2.64026,4.29367,-2.69092,1.53141,2.04272,-1.88425,0.368427,-2.45717,25,s104729_S_b018,18
Bi(III),0.00965458,3.15385,-2.03894,1.33318,-3.23086,-0.743087,1.49725,4.23748,17,s104729_S_b018,18
Ca(II),1.52362,2.73061,-0.196292,0.836919,-0.101151,0.0665335,0.606456,0.262345,22,s104729_S_b018,18
Cd(II),5.36122,-2.16764,-5.01652,-1.6405,-3.72941,2.61441,-5.31759,-0.393154,4,s104729_S_b018,18
Ce(III),1.13891,0.970274,-0.863825,0.0769207,0.381031,-2.02009,-2.42128,-1.54064,293,s104729_S_b018,18
Cf(III),-0.599338,-0.773912,-0.232094,-0.557115,-0.345029,-0.926848,1.22488,0.692625,9,s104729_S_b018,18
Cm(III),-0.0160878,-0.339462,-1.08275,-0.548747,-0.289595,-0.670679,1.47252,-0.305291,52,s104729_S_b018,18
Dy(III),-0.360971,1.02793,0.378125,-0.443327,-1.11391,0.309619,-0.495134,-0.634017,317,s104729_S_b018,18
Er(III),-0.481459,1.08688,0.45517,-0.666111,-1.29888,0.683447,-0.416713,-0.327708,300,s104729_S_b018,18
Eu(III),-0.253546,2.31047,0.0678958,-0.105338,0.100144,0.0448824,-0.939366,-0.437665,1692,s104729_S_b018,18
Gd(III),-0.249602,1.29187,0.212733,-0.383521,-0.174247,-0.0406646,-0.967249,-1.13392,375,s104729_S_b018,18
Hf(IV),-1.31639,-0.732922,0.109526,1.23139,-1.20985,-1.81522,0.233153,0.984551,5,s104729_S_b018,18
Ho(III),-0.444762,1.06565,0.40599,-0.681869,-1.2397,0.660696,-0.393412,-0.433105,264,s104729_S_b018,18
In(III),4.44424,2.44299,-3.86211,2.26919,-0.684354,0.45206,-1.72414,1.28407,5,s104729_S_b018,18
La(III),1.33919,1.07491,-0.78809,0.331004,0.895788,-2.01122,-2.62268,-2.09698,344,s104729_S_b018,18
Lu(III),-0.413345,1.14549,0.65244,-1.12064,-1.68616,0.528622,-0.152264,-0.20893,247,s104729_S_b018,18
Nd(III),0.583331,0.619304,-0.477273,0.00891334,0.63875,-0.916067,-2.16166,-1.87552,421,s104729_S_b018,18
Np(IV),-0.301992,-2.37677,0.0120807,0.79767,0.680069,1.02579,0.61678,1.15933,216,s104729_S_b018,18
Np(V),1.48551,-2.83452,-0.208541,2.57006,1.75737,-1.14494,2.25342,-0.0538049,187,s104729_S_b018,18
Np(VI),1.30502,-3.74647,1.40304,2.90451,0.531313,-0.0539619,0.571488,1.29873,67,s104729_S_b018,18
Pa(V),0.780997,-2.77628,-0.06277,3.73572,-0.408253,-0.927005,1.07174,2.59784,43,s104729_S_b018,18
Pb(II),1.54939,6.03579,-3.84211,1.05182,-2.6442,-1.37022,-0.669862,1.76631,10,s104729_S_b018,18
Pd(II),1.3787,-4.14976,1.37217,1.30993,-0.996282,0.444157,-4.0032,1.42431,18,s104729_S_b018,18
Pd(IV),1.28807,1.47826,1.33108,6.1633,1.47265,-4.13965,-1.30334,3.54198,5,s104729_S_b018,18
Pm(III),-0.273205,2.00371,0.120188,-0.412999,-0.0380729,-0.190698,-1.46957,-0.607499,1,s104729_S_b018,18
Pr(III),0.900849,1.07904,-0.529662,-0.0859207,0.713798,-1.32168,-2.08609,-1.49697,348,s104729_S_b018,18
Pu(III),-0.561402,-1.96417,-0.16998,-0.300563,1.15659,-2.33953,0.571446,1.0318,118,s104729_S_b018,18
Pu(IV),-0.710287,-2.63895,0.814,0.415085,0.456967,-0.619816,0.46609,2.1731,437,s104729_S_b018,18
Pu(VI),0.969599,-3.87619,2.10686,2.50086,0.327047,-1.81553,0.440412,2.24625,107,s104729_S_b018,18
Sm(III),0.415304,0.991461,-0.115914,-0.488262,-0.174421,-0.2784,-1.47379,-1.2087,323,s104729_S_b018,18
Sr(II),1.87835,2.38897,-0.588321,0.939871,0.507682,-1.17027,0.432025,-0.754196,94,s104729_S_b018,18
Sr(III),1.97775,0.883053,0.973161,0.947626,-0.699562,-0.705883,4.17689,0.526585,38,s104729_S_b018,18
Tb(III),-0.455966,1.7311,0.445367,-0.280917,-0.439561,0.0737128,-0.539067,-0.499121,269,s104729_S_b018,18
Tc(VII),-1.08823,-1.36329,0.835918,4.83957,-1.56653,-5.95609,-2.9309,2.5769,21,s104729_S_b018,18
