extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2.14798,-0.88376,-0.668505,1.85202,-0.232051,-2.14564,-1.91253,-1.59092,0.621892,5.77678,-1.05257,-1.6943,-0.240115,-3.43095,2.56499,-1.09198,5,s104729_S_b015,15
C1COCCOCCOCCOCCOCCO1,2.47135,-0.469527,-0.854997,1.08861,0.222828,-2.28595,-1.13954,-2.54772,0.809519,4.668,-0.343973,-2.32039,-0.504959,-2.37078,1.81829,-0.445417,5,s104729_S_b015,15
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-0.114185,1.46416,-1.04797,-0.258458,0.135806,-2.03266,-2.3499,0.0907598,-1.29372,1.52864,1.51726,-0.677006,-1.11556,0.13019,-0.0103034,1.95693,7,s104729_S_b015,15
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-0.411373,0.427407,-1.71875,-0.16879,-0.942044,0.397767,-3.22868,3.07661,-0.347719,0.670708,-0.212932,-1.37287,0.195145,-2.6787,-0.403567,0.987851,46,s104729_S_b015,15
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-3.48433,-0.683297,-0.800881,-1.12018,-0.111292,-0.762959,0.429256,2.15055,-2.99459,0.929663,0.245903,-4.99941,-1.87571,-2.36638,0.00190552,1.13226,6,s104729_S_b015,15
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-1.0515,-0.184651,-0.959949,-0.208786,-0.662476,-0.707106,1.21573,0.724314,-2.00881,0.723779,-0.207522,-2.26535,0.958056,-1.39396,-1.00773,-1.56842,2,s104729_S_b015,15
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-3.89755,0.930541,-1.49106,-0.527412,2.60291,-1.10712,-0.218465,0.49054,-4.64283,2.65803,2.16563,-4.38625,-1.51367,-1.43026,2.22283,2.65967,2,s104729_S_b015,15
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.122885,6.80685e-05,-0.429278,-0.255934,0.0340302,1.27909,-0.202086,-0.916548,0.63057,-0.48704,0.423901,0.104453,-0.115864,0.631112,0.843006,0.763972,14,s104729_S_b015,15
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.927479,1.59647,-1.27384,-1.27399,-2.93459,0.040553,2.27597,-1.8262,-1.53343,-0.686789,0.960249,-0.683163,-5.43627,-2.5492,0.271153,3.55879,6,s104729_S_b015,15
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,-0.0763823,0.107556,-1.11327,-0.628052,0.853868,0.477995,-0.220632,-0.643597,0.772387,-0.751073,0.257328,0.285319,0.224694,0.317326,1.13341,-0.252721,52,s104729_S_b015,15
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-0.126482,-0.205867,-0.238956,-0.976323,-0.228614,0.976222,-0.333599,0.651022,1.49283,-0.97263,1.82457,-0.377385,-0.370883,0.854502,0.917056,0.603356,2,s104729_S_b015,15
