predictor,ext_macro,pooled,n_ext,n_cells,n_pairs
L1 unweighted mean-of-centred,0.6081,0.5294,90,521,14150
L1 chemotype-balanced (programme B1 rule),0.5885,0.5719,90,521,14150
L1 extractant-balanced,0.5942,0.5503,90,521,14150
