predictor,ext_macro,pooled,n_ext,n_cells,n_pairs
L3 extractant,0.2067,0.2758,20,299,7228
L4 +publication,0.1898,0.2549,20,299,7228
L5 +nearest acid,0.1989,0.2199,20,299,7228
ARM X_ENS_DIRECT+LOWRANK_K2,0.4574,0.4602,20,299,7228
ARM C_DIRECT_ROW,0.4618,0.5125,20,299,7228
ARM B1_MEAN_CURVE,0.4861,0.5454,20,299,7228
