rung,estimator,ext_macro,pooled,n_ext,n_cells,n_pairs
L2_chemotype,naive,0.3704,0.4061,64,491,12707
L2_chemotype,twoway,0.3549,0.3612,64,491,12707
L3_extractant,naive,0.2768,0.3594,24,450,9840
L3_extractant,twoway,0.2502,0.2895,24,450,9840
L4_ext_pub,naive,0.2579,0.3139,23,419,9079
L4_ext_pub,twoway,0.2338,0.2729,23,419,9079
L1_corpus,naive,0.6081,0.5294,90,521,14150
L1_corpus,twoway,0.6502,0.5151,90,521,14150
