cell_id,ri,A,B,dZ,y,extractant,chemotype,L1_corpus,L2_chemotype,L3_extractant,L4_ext_pub,L5_ext_acid,L7_oracle_amp
0f09c750ad725e62,0,La,Ce,1,0.05115252199999998,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.09512361664625368,,,,,0.07820332663297411
0f09c750ad725e62,0,La,Pr,2,0.255272505,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.2604062072352523,,,,,0.15175318920364728
0f09c750ad725e62,0,La,Eu,6,0.4771212550000006,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.6918193151585343,,,,,0.4643972388553862
0f09c750ad725e62,0,La,Er,11,0.6532125140000005,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.9255893446528471,,,,,0.6416504850179359
0f09c750ad725e62,0,Ce,Pr,1,0.204119983,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.16528259058899863,,,,,0.07354986257067318
0f09c750ad725e62,0,Ce,Eu,5,0.4259687330000006,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.5966956985122807,,,,,0.38619391222241206
0f09c750ad725e62,0,Ce,Er,10,0.6020599920000005,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.8304657280065935,,,,,0.5634471583849617
0f09c750ad725e62,0,Pr,Eu,4,0.2218487500000006,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.4314131079232821,,,,,0.31264404965173886
0f09c750ad725e62,0,Pr,Er,9,0.3979400090000005,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.6651831374175949,,,,,0.4898972958142886
0f09c750ad725e62,0,Eu,Er,5,0.1760912589999999,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,-0.2337700294943128,,,,,0.1772532461625497
109e14b8ccc21bad,1,La,Ce,1,0.07716595500000001,C1COCCOCCOCCOCCOCCO1,sc001,-0.09517901607241974,,,,,0.09017594331729084
109e14b8ccc21bad,1,La,Pr,2,0.33243845999999994,C1COCCOCCOCCOCCOCCO1,sc001,-0.2607082596653013,,,,,0.1749436629258235
109e14b8ccc21bad,1,La,Eu,6,0.6334684559999999,C1COCCOCCOCCOCCOCCO1,sc001,-0.6924055260448893,,,,,0.5354900201958419
109e14b8ccc21bad,1,La,Er,11,0.7303784690000001,C1COCCOCCOCCOCCOCCO1,sc001,-0.925877912772116,,,,,0.7399640055121552
109e14b8ccc21bad,1,Ce,Pr,1,0.2552725049999999,C1COCCOCCOCCOCCOCCO1,sc001,-0.16552924359288157,,,,,0.08476771960853266
109e14b8ccc21bad,1,Ce,Eu,5,0.556302501,C1COCCOCCOCCOCCOCCO1,sc001,-0.5972265099724695,,,,,0.445314076878551
109e14b8ccc21bad,1,Ce,Er,10,0.6532125140000002,C1COCCOCCOCCOCCOCCO1,sc001,-0.8306988966996962,,,,,0.6497880621948644
109e14b8ccc21bad,1,Pr,Eu,4,0.301029996,C1COCCOCCOCCOCCOCCO1,sc001,-0.43169726637958794,,,,,0.3605463572700184
109e14b8ccc21bad,1,Pr,Er,9,0.39794000900000026,C1COCCOCCOCCOCCOCCO1,sc001,-0.6651696531068146,,,,,0.5650203425863317
109e14b8ccc21bad,1,Eu,Er,5,0.09691001300000024,C1COCCOCCOCCOCCOCCO1,sc001,-0.23347238672722673,,,,,0.20447398531631333
7ae1cf22d55d9cc1,2,La,Ce,1,-0.19329328916330352,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.09531244855042287,,,,,-0.17257085854530352
7ae1cf22d55d9cc1,2,La,Pr,2,-0.3565473235138126,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.2592612437622735,,,,,-0.3352181974272409
7ae1cf22d55d9cc1,2,La,Nd,3,-0.6053377010891983,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.34258042666833166,,,,,-0.44828644376278537
7ae1cf22d55d9cc1,2,La,Sm,5,-1.1031815224513912,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.5669499865476654,,,,,-0.8090732354775636
7ae1cf22d55d9cc1,2,La,Eu,6,-1.2154853466604993,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.6855074539473289,,,,,-1.0247320244173932
7ae1cf22d55d9cc1,2,La,Gd,7,-1.2599990718610372,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.5619393744709199,,,,,-0.961989824630247
7ae1cf22d55d9cc1,2,La,Tb,8,-1.3696655540404374,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.7567028440162655,,,,,-1.167463558699925
7ae1cf22d55d9cc1,2,La,Dy,9,-1.4036923375611288,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.8184490956481975,,,,,-1.262922084603486
7ae1cf22d55d9cc1,2,La,Ho,10,-1.4419568376564114,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.9375097847380756,,,,,-1.4065587270108566
7ae1cf22d55d9cc1,2,La,Er,11,-1.467585685177242,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.9175702471543876,,,,,-1.4166291043390125
7ae1cf22d55d9cc1,2,La,Tm,12,-1.4473929756173043,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.9134067333078332,,,,,-1.41755510490284
7ae1cf22d55d9cc1,2,La,Yb,13,-1.4485657942666095,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.9921834493981911,,,,,-1.451329774842405
7ae1cf22d55d9cc1,2,La,Lu,14,-1.4598948527451516,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-1.0098515428517942,,,,,-1.4685850816386101
7ae1cf22d55d9cc1,2,Ce,Pr,1,-0.16325403435050903,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,-0.16394879521185063,,,,,-0.1626473388819374
