arm,ext_macro,seed_sd,pooled,n_ext,n_pairs_per_seed
X_ENS_DIRECT+LOWRANK_K2,0.481,0.0075,0.4917,90,14150
C_DIRECT_ROW,0.4953,0.0185,0.5245,90,14150
M_SELECTED,0.5014,0.0055,0.5029,90,14150
B1_MEAN_CURVE,0.6033,0.0147,0.5914,90,14150
B4_HEAVIER_ALWAYS,0.6742,0.0051,0.5314,90,14150
