extractant,arm,L3
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.10487915825079744,0.05985767616750207
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.4411790768291536,0.27434387778627695
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.3846740242826061,0.15516834166976554
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.24602323295695835,0.20351539761466203
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,2.1036924761006004,0.461831930675075
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.19561587480464276,0.08241144312761624
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.3262014778151153,0.09407689450292435
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.3217908577895992,0.12173539664443764
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.9170880559349932,0.3136433791016444
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.4471109020508594,0.35023510590072543
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.09691245133874757,0.03300951558192449
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,1.0126178111835262,0.5118833600000001
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.6478270278257232,0.2549621754262462
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.1413531957368572,0.15793219857145502
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.7063795198660636,0.23505183172331784
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.2253409920559842,0.15480136813031756
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.174477605129764,0.1005853199076046
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.23729719600152865,0.159209468195603
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.31193495937982824,0.3232096293974223
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.1063139325713836,0.08675279750549485
