predictor,ext_macro,pooled,n_pairs
L3_naive,0.2768,0.3594,9840
L3_twoway,0.2502,0.2895,9840
ARM_X_ENS_DIRECT+LOWRANK_K2,0.4095,0.5023,9840
ARM_C_DIRECT_ROW,0.428,0.5464,9840
ARM_M_SELECTED,0.4324,0.5081,9840
ARM_B1_MEAN_CURVE,0.4694,0.5856,9840
