model,cohort,n_rows,model_residual_median,nn_residual_median,model_minus_nn_mean,seeds_model_better,median_wilcoxon_p
REC_ecfp_plus_recovered,A_CONSISTENT,680.8,0.5380145975338431,0.6391283462761324,-0.16194904056547813,5,2.369568126475208e-11
REC_ecfp_plus_recovered,B_MISMATCH,81.0,1.0085796647377392,0.748498106593204,-0.05748858797771987,3,0.6914263294706919
REC_ecfp_plus_recovered,C_DUPLICATE,36.0,1.16532760722204,0.33358650363062214,0.43134020233726045,0,0.0013479328918037936
REC_ecfp_plus_recovered,E_UNCERTAIN,9.6,1.651494759160937,0.6023481095849522,0.8748696839329877,0,0.01611328125
GEN9_REL_MONOLITH,A_CONSISTENT,680.8,0.5369935007735875,0.6391283462761324,-0.16143235146323232,5,1.9230812304291056e-09
GEN9_REL_MONOLITH,B_MISMATCH,81.0,0.9574198573834298,0.748498106593204,-0.09659124773140326,5,0.38693079448219303
GEN9_REL_MONOLITH,C_DUPLICATE,36.0,1.2321672653520008,0.33358650363062214,0.4670196629560384,0,0.0005286230589263141
GEN9_REL_MONOLITH,E_UNCERTAIN,9.6,1.5598072837817092,0.6023481095849522,0.8601747814674695,0,0.00927734375
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,680.8,0.5361198563588725,0.6391283462761324,-0.16659933761771534,5,4.222522323794675e-10
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,81.0,0.9175060368196787,0.748498106593204,-0.10335295962666453,5,0.3177994908957187
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,36.0,1.1696971622781696,0.33358650363062214,0.44727425636890344,0,0.0005642504402203485
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,9.6,1.6013092078334068,0.6023481095849522,0.9183597493924728,0,0.01220703125
