represented_structure,recorded_names_on_mismatch_rows,all_names_for_structure,n_names_for_structure,possible_second_species,publications,n_publications,n_mismatch_rows,n_rows_total,current_mae
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,DMDPhPDA,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide; DMDPhPDA,2,0.0,"https://doi.org/10.1081/SEI-120030392, https://doi.org/10.1021/jacs.5c19738",1,70,140,1.3089997833572116
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,DMDODGA; N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,2,0.0,"https://doi.org/10.1007/s10967-020-07242-1, https://doi.org/10.1021/jacs.5c19738",1,70,425,1.236583802767087
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"(PhSO3Na)2-BTBP; CITAM; PHEN-6OH; PHEN-dialcohol; PPA; SO3-Ph-BTBP; SO3-Ph-BTP; TODGA,DHOA; TWE-26; TWE-31; TWE-32; TWE-37; TWE-38; TWE-39; TWE-40; TWE-41; TWE-42","(PhSO3Na)2-BTBP; CITAM; PHEN-6OH; PHEN-dialcohol; PPA; SO3-Ph-BTBP; SO3-Ph-BTP; TODGA; TODGA,DHOA; TWE-26; TWE-31; TWE-32; TWE-37; TWE-38; TWE-39; TWE-40; TWE-41; TWE-42",21,0.0; 1.0,"https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738; https://doi.org/10.1081/SEI-200066296   , https://doi.org/10.1021/jacs.5c19738",2,69,1488,1.1188829471574002
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,T2EHDGA; TEHDGA,2,0.0,"https://doi.org/10.1016/j.seppur.2014.03.005, https://doi.org/10.1021/jacs.5c19738; https://doi.org/10.1021/acs.inorgchem.0c02861, https://doi.org/10.1021/jacs.5c19738; https://doi.org/10.1021/acs.jpcb.6b11222, https://doi.org/10.1021/jacs.5c19738; https://doi.org/10.1039/D4GC01146E, https://doi.org/10.1021/jacs.5c19738; https://doi.org/10.1080/07366291003685383 , https://doi.org/10.1021/jacs.5c19738",5,38,184,1.1893263509625418
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,Me2-TODGA; NEA14; TWE-14,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide; Me2-TODGA; NEA14; TWE-14,4,0.0; 1.0,"https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738; https://doi.org/10.1080/07366299.2013.833791; https://doi.org/10.1080/10610278.2010.506553, https://doi.org/10.1021/jacs.5c19738",3,18,32,0.686720468883536
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide; DMDOHEMA,2,0.0,"https://doi.org/10.1080/07366290701285512, https://doi.org/10.1021/jacs.5c19738",1,14,52,0.9707705624106386
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,3-[6-[6-(5-6-dipentyl-1-2-4-triazin-3-yl)-2-pyridinyl]-2-pyridinyl]-5-6-dipentyl-1-2-4-triazine,3-[6-[6-(5-6-dipentyl-1-2-4-triazin-3-yl)-2-pyridinyl]-2-pyridinyl]-5-6-dipentyl-1-2-4-triazine; C5BTBP,2,0.0,"https://doi.org/10.1080/07366290600952659, https://doi.org/10.1021/jacs.5c19738",1,13,230,1.979132911788793
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,T8-PHEN-CAM,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide; T8-PHEN-CAM,2,0.0,"https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738",1,12,35,1.7284895558936457
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,CA-BTP,8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene; CA-BTP,2,0.0,"https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738",1,8,22,0.7450610414559602
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,TWE-22,NEA15; TWE-22,2,1.0,"https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738",1,6,12,0.9026973175185967
