family,n_ext_used,n_cells_used,df_used,ss_explained,frac_within_SS,frac_within_SS_dof_adj,note,SS_within_reference
acid concentration (log10 M),12,169,12,6.460797281265339,0.24951321247538652,0.17765692505023684,,25.893607866167294
acid identity (9 one-hots),4,100,9,0.4875002313958391,0.01882704928241418,0.0,,25.893607866167294
extractant concentration (log10 M),8,127,8,6.126113149830159,0.2365878552534414,0.18868366363667494,,25.893607866167294
temperature (C),8,140,8,2.210878015492733,0.08538315814929276,0.03747896653252629,,25.893607866167294
diluent identity (41 one-hots),9,130,21,7.57119227211932,0.29239618948628143,0.16664768649226946,,25.893607866167294
contact time (min),6,87,6,3.7777018637003086,0.1458932213396292,0.10996507762705433,,25.893607866167294
aqueous salt / ionic strength,0,0,0,,,,NO SUCH COLUMN EXISTS in the 64-column condition block,25.893607866167294
metal loading (log10 mM),6,100,6,1.8993977401548063,0.07335392387078543,0.037425780158210575,,25.893607866167294
additive identity (9 one-hots),1,23,1,0.3978953863129291,0.015366548700724746,0.009378524748628938,,25.893607866167294
measured metal set (design nuisance),10,154,46,7.234177559859537,0.27938082623517857,0.003931724438771381,,25.893607866167294
publication_id (provenance nuisance),7,116,20,8.585502232516838,0.33156840394322545,0.21180792490130929,,25.893607866167294
