extractant,extractant_name,chemotype,n_cells,n_cells_amp_raw,n_cells_with_amp,n_cond_varying,n_acid_conc_levels,n_extconc_levels,n_temp_levels,n_publications,amp_mean,amp_sd
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,TODGA,sc009,171,77,53,29,92,15,9,18,-0.704158114808666,0.4542719300167422
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,sc009,74,36,23,14,35,31,2,5,-0.9826844720904504,0.2789781649404835
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,sc009,33,8,6,10,6,24,5,4,-0.5926634042502007,0.3795970571334645
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,sc009,21,12,8,7,12,2,5,2,-0.7230142540076137,0.9351176584667671
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,DHD2DGA,sc009,20,20,20,5,6,1,4,1,-0.09834256068690372,0.0961102067070656
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,sc018,17,13,12,3,5,9,5,1,-0.5820398673605114,0.1930890364679906
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,C5BTBP,sc061,16,16,16,5,5,3,2,2,-0.7220850755278131,0.15148132836038922
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,TDDGA,sc009,14,1,1,2,4,5,1,1,-0.3329203074515154,
CCN(CC)C(=O)COCC(=O)N(CC)CC,TEDGA,sc071,12,12,6,7,1,1,1,1,0.5965012163846737,0.4214655393621685
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,DMDPDGA,sc076,11,11,6,9,3,2,2,3,-0.0835322832779732,0.7497341365983783
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,DOODA (C12),sc009,10,10,6,2,5,1,1,1,1.1545182870070951,0.4696530404470176
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,DMDPhPDA,sc077,10,10,10,3,5,1,1,1,-0.20731440638117832,0.2720416037053897
