column,n_ext_varying,n_cells_in_varying_ext,median_levels_where_varying,n_missing,n_levels_global,family,kind,ss_explained_global_slope,ss_explained_nested,n_cells_used,n_ext_used,frac_within_SS_global,frac_within_SS_nested,SS_within_reference
cond__diluent__tert_butylbenzene,1,171,2.0,0,2,diluent_identity,onehot,0.29544498514288475,0.29544498514288475,53,1,0.01140995826730328,0.01140995826730328,25.893607866167294
cond__acid__lactic_acid,1,171,2.0,0,2,acid_identity,onehot,0.28829430841634024,0.2882943084163403,53,1,0.011133802207340403,0.011133802207340405,25.893607866167294
cond__acid__hno3,8,310,2.0,0,2,acid_identity,onehot,0.10060174614909327,0.1924394874321618,100,4,0.003885196171543942,0.007431930244205332,25.893607866167294
cond__diluent__isopar_l_with_30_vol_exxal_13,3,251,2.0,0,2,diluent_identity,onehot,0.11799882965992055,0.17357963672552074,80,3,0.0045570640549515064,0.00670357092077233,25.893607866167294
cond__acid__hcl,8,310,2.0,0,2,acid_identity,onehot,0.04522746294354746,0.15244530713377302,100,4,0.0017466651683808755,0.005887372200957703,25.893607866167294
cond__diluent__1_octanol_0_5_kerosene_0_5,1,74,2.0,0,2,diluent_identity,onehot,0.05683534400433262,0.05683534400433262,23,1,0.002194956542869174,0.002194956542869174,25.893607866167294
cond__diluent__other,3,206,2.0,0,2,diluent_identity,onehot,0.05036536760452566,0.05036536760452565,53,1,0.0019450888367832772,0.001945088836783277,25.893607866167294
cond__acid__malonic_acid,1,171,2.0,0,2,acid_identity,onehot,0.04187385078983924,0.04187385078983924,53,1,0.0016171501092573431,0.0016171501092573431,25.893607866167294
cond__diluent__kerosene_with_40_vol_1_octanol,1,74,2.0,0,2,diluent_identity,onehot,0.03495708405693238,0.03495708405693238,23,1,0.0013500275526535438,0.0013500275526535438,25.893607866167294
cond__acid__tartaric_acid,1,171,2.0,0,2,acid_identity,onehot,0.011653344062283239,0.01165334406228324,53,1,0.00045004713605436,0.0004500471360543601,25.893607866167294
cond__diluent__ch3cl,1,10,2.0,0,2,diluent_identity,onehot,0.005706847467918051,0.005706847467918051,10,1,0.00022039599492717444,0.00022039599492717444,25.893607866167294
cond__acid__h2so4,2,191,2.0,0,2,acid_identity,onehot,0.003020217833586982,0.003020217833586982,20,1,0.00011663951385983613,0.00011663951385983613,25.893607866167294
cond__acid__citric_acid,1,171,2.0,0,2,acid_identity,onehot,0.0006766420214557287,0.0006766420214557286,53,1,2.6131623872308355e-05,2.613162387230835e-05,25.893607866167294
cond__diluent__cyclohexanone,1,16,2.0,0,2,diluent_identity,onehot,1.3314952803342707e-05,1.3314952803342707e-05,16,1,5.142177510434954e-07,5.142177510434954e-07,25.893607866167294
cond__diluent__kerosene_0_7_1_octanol_0_3,1,16,2.0,0,2,diluent_identity,onehot,1.3314952803342707e-05,1.3314952803342707e-05,16,1,5.142177510434954e-07,5.142177510434954e-07,25.893607866167294
cond__additive__hdehp,0,0,0.0,0,1,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__additive__isodecyl,0,0,0.0,0,1,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__dichloromethane,0,0,0.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__avkerosene,1,171,2.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__benzene,4,213,2.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__c4mim_tf2n,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__additive__tbp,0,0,0.0,0,1,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__additive__octanol,1,6,2.0,0,2,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__additive__isododecanol,0,0,0.0,0,1,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__1_4_diisopropylbenzene,1,171,2.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__additive__dohya,0,0,0.0,0,1,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__acid__hclo4,0,0,0.0,0,1,acid_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__acid__hno3_oxalic_acid,1,171,2.0,0,2,acid_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__additive__dhoa,0,0,0.0,0,1,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__additive__isodecanol,0,0,0.0,0,1,additive_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__isoparl,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__hydrogenated_tetrapropene_with_50_vol_1_octanol,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__dipb,1,171,2.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__n_dodecane_with_5_vol_iso_decanol,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__meta_nitrobenzotrifluoride,0,0,0.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__kerosene_0_95_1_octanol_0_05,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__kerosene_with_30_vol_1_octanol,0,0,0.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__hydrogenated_tetrapropene_with_5_vol_1_octanol,1,171,2.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__hydrogenated_tetrapropylene,0,0,0.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__isopar_l_0_7_exxal_13_0_3,0,0,0.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__n_octane_with_5_1_octanol,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__tbub,1,171,2.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__sulfonated_kerosene,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__phenyl_trifluoromethyl_sulfone,0,0,0.0,0,2,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__n_hexane,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__tph_0_95_1_octanol_0_05,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__tph,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__total_petroleum_hydrocarbons,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
cond__diluent__tphkerosene,0,0,0.0,0,1,diluent_identity,onehot,0.0,0.0,0,0,0.0,0.0,25.893607866167294
