column,n_ext_varying,n_cells_in_varying_ext,median_levels_where_varying,n_missing,n_levels_global,family,kind,ss_explained_global_slope,ss_explained_nested,n_cells_used,n_ext_used,frac_within_SS_global,frac_within_SS_nested,SS_within_reference
cond__extractant_concentration_M,10,362,4.0,0,87,extractant_concentration,numeric,7.908971108772549e-05,6.0225963681335895,127,8,3.054410628928403e-06,0.23259008166269257,25.893607866167294
cond__acid_concentration_M,19,422,5.0,1,143,acid_concentration,numeric,0.06764811850591143,5.746113584768125,169,12,0.0026125412439840325,0.22191243547315873,25.893607866167294
cond__contact_time_min,6,316,2.5,201,6,contact_time,numeric,0.4545700305644854,3.7777018637003064,87,6,0.017555299088252152,0.14589322133962912,25.893607866167294
cond__diluent__toluene,9,340,2.0,0,2,diluent_identity,onehot,1.9495649522327572,2.574755423667175,100,6,0.07529136002635105,0.09943594716406291,25.893607866167294
cond__temperature_C,10,371,3.0,5,16,temperature,numeric,0.0073660880624676715,2.210878015492733,140,8,0.00028447515311654333,0.08538315814929276,25.893607866167294
cond__metal_concentration_mM,11,354,3.0,95,29,metal_loading,numeric,1.0170623370677174,2.075837774141204,100,6,0.039278510060261465,0.08016796210363188,25.893607866167294
cond__diluent__n_dodecane,4,210,2.0,0,2,diluent_identity,onehot,0.8575192663421366,2.0615440855869784,67,3,0.03311702528184862,0.07961594599880387,25.893607866167294
cond__diluent__chloroform,5,213,2.0,0,2,diluent_identity,onehot,0.15975300239772725,1.7760175679647991,79,5,0.006169592249308033,0.06858903468161931,25.893607866167294
cond__diluent__1_octanol,4,194,2.0,0,2,diluent_identity,onehot,0.5327012457480473,0.8733290513985684,63,3,0.020572693017572002,0.03372759238158017,25.893607866167294
cond__diluent__1_2_dichloroethane,4,203,2.0,0,2,diluent_identity,onehot,0.42792434059456697,0.735923721635057,69,4,0.016526254000845314,0.028421057638577215,25.893607866167294
cond__diluent__hydrogenated_tetrapropene,1,171,2.0,0,2,diluent_identity,onehot,0.5855721493627337,0.5855721493627336,53,1,0.022614544577538188,0.022614544577538184,25.893607866167294
cond__diluent__nitrobenzene,4,203,2.0,0,2,diluent_identity,onehot,0.15114361854879782,0.5773631450719086,69,4,0.005837101547609469,0.022297516362186586,25.893607866167294
cond__diluent__chcl3,1,74,2.0,0,2,diluent_identity,onehot,0.4021039424685216,0.4021039424685216,23,1,0.015529081329524281,0.015529081329524281,25.893607866167294
cond__diluent__kerosene,1,74,2.0,0,2,diluent_identity,onehot,0.39789538631292903,0.39789538631292903,23,1,0.015366548700724745,0.015366548700724745,25.893607866167294
cond__additive__1_octanol,1,74,2.0,0,2,additive_identity,onehot,0.39789538631292903,0.39789538631292903,23,1,0.015366548700724745,0.015366548700724745,25.893607866167294
