extractant_name,chemotype,publication_id,diluent,acid,n_metals,n_cells,acid_levels,acid_slope,acid_se,acid_p,acid_r2,amp_mean
DBD1MHDGA,sc018,pub_bdb1564c49,kerosene_with_30_vol_1_octanol,hcl,6,8,5,0.11102475676658805,0.3084440983148752,0.7312146031993542,0.021137669174213003,-0.5632556588914561
TDdDGA,sc009,pub_d68ed8c8cf,n_dodecane,hno3,6,4,4,2.447476352221198,1.2536338346281226,0.1901514946334878,0.655854601644374,-1.121405577727496
DOODA (C12),sc009,pub_d68ed8c8cf,n_dodecane,hno3,6,4,4,-0.008843768830757933,0.13318614472112517,0.9530986715626658,0.0021997346091864323,1.0685027909447016
mTDDGA,sc027,pub_1c1b558856,n_dodecane,hno3,8,5,5,-0.08640527566940275,0.16647107207018555,0.639591886688099,0.08240137642601819,-0.36026500242986337
DHD2DGA,sc009,pub_c8195b4ca7,n_dodecane,h2so4,6,6,6,-0.006732406604842544,0.01591854255321548,0.6940940512818524,0.042803112985721814,-0.07957133943596177
DHD2DGA,sc009,pub_c8195b4ca7,n_dodecane,hcl,6,6,6,-0.20235550518014514,0.04705185141652365,0.012638700793649007,0.822190206912804,-0.08704603074609629
DHD2DGA,sc009,pub_c8195b4ca7,n_dodecane,hno3,6,7,4,-0.10622920933115777,0.03700451581630525,0.03496560913679955,0.6223842216737767,-0.11243281204404827
N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,sc009,pub_19783c039b,1_octanol_0_5_kerosene_0_5,hno3,14,5,5,-0.3779749182078772,0.08527151609184708,0.021337246025251277,0.867537878445573,-1.0770029055360646
TODGA,sc009,pub_1605e436d7,n_dodecane,hno3,14,9,8,-0.5736629129930139,0.27783197109059626,0.07781366614439143,0.37851425471869304,-0.5108274551305397
TODGA,sc009,pub_4cba27f5f3,isopar_l_with_30_vol_exxal_13,hcl,14,3,3,-0.5452849855180039,0.07217133592512781,0.08377306333266789,0.9827836792425327,-0.5244938389380086
TODGA,sc009,pub_b0b3296ec5,n_dodecane,citric_acid,13,3,3,-0.1303559720463246,0.18663524758281352,0.6118611759481828,0.3278832591462949,-0.7187451127826062
TODGA,sc009,pub_b0b3296ec5,n_dodecane,lactic_acid,13,4,4,0.16020406727532202,0.047293839911992805,0.07719303475879793,0.8515726950976773,-0.44602237173741555
TODGA,sc009,pub_b0b3296ec5,n_dodecane,tartaric_acid,13,4,4,-0.026927210871303776,0.2908855261164446,0.9346830550246857,0.004266303300908936,-0.652259544507536
C5BTBP,sc061,pub_6a0ef8528c,kerosene_0_7_1_octanol_0_3,hno3,13,14,5,-0.39303842506507447,0.05978063202155062,2.6329637468366777e-05,0.7827125958680475,-0.7195797197840038
2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide,sc077,pub_8415538291,ch3cl,hno3,14,5,5,-0.6624750405712058,0.343282521621142,0.14919196443138596,0.5538517865700412,-0.18342539746929992
DMDPhPDA,sc077,pub_8415538291,chloroform,hno3,14,5,5,-0.8844567322184606,0.44443095838457525,0.14067188612127338,0.5689934077679759,-0.2312034152930567
