split_seed,fold,feature_set,n_blocks,n_candidates,n_ligands,skipped_ligands,identity_exact_share,identity_max_gap,identity_mean_gap,identity_spearman_median,blend_alpha,blend_anchor
104729,0,geometry+prediction,992,10368,124,6,0.5816532258064516,0.8286191284211115,0.020063906916001614,0.9345002823263695,0.0,dist_medoid_l1
104729,1,geometry+prediction,600,5232,75,7,0.6466666666666666,0.8286191284211115,0.015918810895688255,0.949341649025257,0.0,dist_medoid_l1
104729,2,geometry+prediction,1000,10704,125,9,0.589,0.7507138340004152,0.017976621700517326,0.942857142857143,0.0,dist_medoid_l1
104729,3,geometry+prediction,1016,10568,127,7,0.5787401574803149,0.8286191284211115,0.01986847189840951,0.9369749612033815,0.0,dist_medoid_l1
104729,4,geometry+prediction,968,10552,121,7,0.5929752066115702,0.8286191284211115,0.01921876854836262,0.9454545454545454,0.0,dist_medoid_l1
130363,0,geometry+prediction,728,5552,91,7,0.6510989010989011,0.8298065855970234,0.015427303412848783,0.9432665160926031,0.0,dist_medoid_l1
130363,1,geometry+prediction,992,10640,124,7,0.6028225806451613,0.8298065855970234,0.016413969940021818,0.9642857142857145,0.0,dist_medoid_l1
130363,2,geometry+prediction,936,10088,117,8,0.5993589743589743,0.44292194747349584,0.01654462518708569,0.9616501706182262,0.0,dist_medoid_l1
130363,3,geometry+prediction,952,10232,119,5,0.6144957983193278,0.8298065855970234,0.015552528323593913,0.9642857142857145,0.0,dist_medoid_l1
130363,4,geometry+prediction,968,10912,121,9,0.5929752066115702,0.8298065855970234,0.015591676687476052,0.9642857142857145,0.0,dist_medoid_l1
155921,0,geometry+prediction,712,5480,89,7,0.6278089887640449,0.7997546105918591,0.017759616667296432,0.942857142857143,0.0,dist_medoid_l1
155921,1,geometry+prediction,984,10192,123,7,0.6128048780487805,0.7997546105918591,0.015284728024466948,0.9549937104572924,0.0,dist_medoid_l1
155921,2,geometry+prediction,992,10896,124,8,0.5846774193548387,0.7997546105918591,0.01640992203366631,0.9500325662179766,0.0,dist_medoid_l1
155921,3,geometry+prediction,1008,10496,126,7,0.5912698412698413,0.7997546105918591,0.015897111759644124,0.9433409470726795,0.0,dist_medoid_l1
155921,4,geometry+prediction,880,10360,110,7,0.575,0.43165558262815706,0.01616671643112782,0.9486832980505139,0.0,dist_medoid_l1
196613,0,geometry+prediction,664,5264,83,5,0.6355421686746988,0.8660139907035929,0.020217526353787107,0.9486832980505139,0.0,dist_medoid_l1
196613,1,geometry+prediction,984,10560,123,8,0.6046747967479674,0.8660139907035929,0.015255548887053515,0.9536614741164805,0.0,dist_medoid_l1
196613,2,geometry+prediction,1024,10664,128,7,0.6181640625,0.493135078854817,0.0134654747558439,0.955492835432045,0.0,dist_medoid_l1
196613,3,geometry+prediction,992,11216,124,8,0.5897177419354839,0.8660139907035929,0.01426387567852487,0.9519211507718005,0.0,dist_medoid_l1
196613,4,geometry+prediction,912,9720,114,8,0.5932017543859649,0.8660139907035929,0.017494421349886297,0.9468987230933358,0.0,dist_medoid_l1
262147,0,geometry+prediction,992,10560,124,9,0.6038306451612904,0.8003389383963402,0.01696086345250589,0.9487764031487682,0.0,dist_medoid_l1
262147,1,geometry+prediction,648,4792,81,7,0.6265432098765432,0.8003389383963402,0.012828230643954119,0.9442508710801395,0.0,dist_medoid_l1
262147,2,geometry+prediction,968,10792,121,7,0.5960743801652892,0.5275964375033505,0.015315947525712942,0.9485418554236058,0.0,dist_medoid_l1
262147,3,geometry+prediction,1024,11096,128,5,0.591796875,0.8003389383963402,0.0161053623253233,0.9486832980505139,0.0,dist_medoid_l1
262147,4,geometry+prediction,944,10184,118,8,0.597457627118644,0.8003389383963402,0.016682274533839976,0.9433261993721886,0.0,dist_medoid_l1
