split_seed,fold,feature_set,n_blocks,n_candidates,n_ligands,skipped_ligands,identity_exact_share,identity_max_gap,identity_mean_gap,identity_spearman_median,blend_alpha,blend_anchor
104729,0,geometry+prediction,992,10368,124,6,0.5846774193548387,0.6597771294143009,0.018856217893258642,0.942857142857143,0.0,dist_medoid_l1
104729,1,geometry+prediction,600,5232,75,7,0.64,0.6597771294143009,0.014468128567489824,0.9523809523809524,0.0,dist_medoid_l1
104729,2,geometry+prediction,1000,10704,125,9,0.585,0.6597771294143009,0.01864051764110225,0.946209054103791,0.0,dist_medoid_l1
104729,3,geometry+prediction,1016,10568,127,7,0.5787401574803149,0.6020607700131784,0.01713464129526851,0.942857142857143,0.0,dist_medoid_l1
104729,4,geometry+prediction,968,10552,121,7,0.59400826446281,0.6597771294143009,0.01871731948858887,0.942857142857143,0.0,dist_medoid_l1
130363,0,geometry+prediction,728,5552,91,7,0.6098901098901099,0.953092710943741,0.026563112772238454,0.9336996336996337,0.0,dist_medoid_l1
130363,1,geometry+prediction,992,10640,124,7,0.5625,0.953092710943741,0.027285017230192346,0.942857142857143,0.0,dist_medoid_l1
130363,2,geometry+prediction,936,10088,117,8,0.5673076923076923,0.953092710943741,0.02826515158565962,0.9376899696048632,0.0,dist_medoid_l1
130363,3,geometry+prediction,952,10232,119,5,0.5840336134453782,0.953092710943741,0.027394679812395784,0.942857142857143,0.0,dist_medoid_l1
130363,4,geometry+prediction,968,10912,121,9,0.5692148760330579,0.6506608155131781,0.020594369080802578,0.9454545454545454,0.0,dist_medoid_l1
155921,0,geometry+prediction,712,5480,89,7,0.6053370786516854,0.8390997535793829,0.02228656545219291,0.9097435897435897,0.0,dist_medoid_l1
155921,1,geometry+prediction,984,10192,123,7,0.5945121951219512,0.8390997535793829,0.02156517877178006,0.942857142857143,0.0,dist_medoid_l1
155921,2,geometry+prediction,992,10896,124,8,0.5796370967741935,0.8390997535793829,0.022010668681858723,0.9433583959899751,0.0,dist_medoid_l1
155921,3,geometry+prediction,1008,10496,126,7,0.5684523809523809,0.8390997535793829,0.02237870696395092,0.9285714285714288,0.0,dist_medoid_l1
155921,4,geometry+prediction,880,10360,110,7,0.5590909090909091,0.7043777660606767,0.020102568784811883,0.942857142857143,0.0,dist_medoid_l1
196613,0,geometry+prediction,664,5264,83,5,0.5978915662650602,0.880069937443877,0.027120322019458236,0.9285714285714288,0.0,dist_medoid_l1
196613,1,geometry+prediction,984,10560,123,8,0.5701219512195121,0.880069937443877,0.024635886935443132,0.9379032258064517,0.0,dist_medoid_l1
196613,2,geometry+prediction,1024,10664,128,7,0.5751953125,0.880069937443877,0.022757580176658708,0.942857142857143,0.0,dist_medoid_l1
196613,3,geometry+prediction,992,11216,124,8,0.5584677419354839,0.880069937443877,0.02238589443443194,0.942857142857143,0.0,dist_medoid_l1
196613,4,geometry+prediction,912,9720,114,8,0.5778508771929824,0.7212629405606769,0.020247819527564832,0.9387096774193548,0.0,dist_medoid_l1
262147,0,geometry+prediction,992,10560,124,9,0.5997983870967742,0.7261518545793828,0.01908852673733776,0.9520242914979758,0.0,dist_medoid_l1
262147,1,geometry+prediction,648,4792,81,7,0.6234567901234568,0.7261518545793828,0.013176268655853621,0.9463368977116894,0.0,dist_medoid_l1
262147,2,geometry+prediction,968,10792,121,7,0.5878099173553719,0.5620052560089925,0.01933150446394365,0.9471507752036985,0.0,dist_medoid_l1
262147,3,geometry+prediction,1024,11096,128,5,0.5869140625,0.7261518545793828,0.018570742416570106,0.9481469785065904,0.0,dist_medoid_l1
262147,4,geometry+prediction,944,10184,118,8,0.600635593220339,0.7261518545793828,0.019425443817401754,0.9486832980505139,0.0,dist_medoid_l1
