split_seed,fold,feature_set,n_blocks,n_candidates,n_ligands,skipped_ligands,identity_exact_share,identity_max_gap,identity_mean_gap,identity_spearman_median,blend_alpha,blend_anchor
104729,0,geometry+prediction,992,10368,124,6,0.5685483870967742,0.877650922658221,0.02201996656088577,0.9347853200008345,0.0,dist_medoid_l1
104729,1,geometry+prediction,600,5232,75,7,0.5983333333333334,0.877650922658221,0.0209268150945123,0.9285714285714288,0.0,dist_medoid_l1
104729,2,geometry+prediction,1000,10704,125,9,0.579,0.6503816123103956,0.020682130286977227,0.9372855725960596,0.0,dist_medoid_l1
104729,3,geometry+prediction,1016,10568,127,7,0.5698818897637795,0.877650922658221,0.021416297256571487,0.9369749612033815,0.0,dist_medoid_l1
104729,4,geometry+prediction,968,10552,121,7,0.5857438016528925,0.877650922658221,0.02200201678039857,0.942857142857143,0.0,dist_medoid_l1
130363,0,geometry+prediction,728,5552,91,7,0.6195054945054945,0.7898238275246192,0.018493403991660325,0.9285714285714288,0.0,dist_medoid_l1
130363,1,geometry+prediction,992,10640,124,7,0.563508064516129,0.7898238275246192,0.021648585331109405,0.938227071935748,0.0,dist_medoid_l1
130363,2,geometry+prediction,936,10088,117,8,0.5715811965811965,0.663644766649671,0.021355288495271588,0.9285714285714288,0.0,dist_medoid_l1
130363,3,geometry+prediction,952,10232,119,5,0.5882352941176471,0.7898238275246192,0.020292360011614538,0.942857142857143,0.0,dist_medoid_l1
130363,4,geometry+prediction,968,10912,121,9,0.5609504132231405,0.7898238275246192,0.020868774528047435,0.9372942965495881,0.0,dist_medoid_l1
155921,0,geometry+prediction,712,5480,89,7,0.601123595505618,0.7847369936491804,0.022831528397310154,0.942857142857143,0.0,dist_medoid_l1
155921,1,geometry+prediction,984,10192,123,7,0.6138211382113821,0.7847369936491804,0.01973115101136495,0.9549937104572924,0.0,dist_medoid_l1
155921,2,geometry+prediction,992,10896,124,8,0.592741935483871,0.7847369936491804,0.021079299648535853,0.9523809523809524,0.0,dist_medoid_l1
155921,3,geometry+prediction,1008,10496,126,7,0.5753968253968254,0.7847369936491804,0.021181995718556775,0.942857142857143,0.0,dist_medoid_l1
155921,4,geometry+prediction,880,10360,110,7,0.5818181818181818,0.6910479720599525,0.020088899547836523,0.9486832980505139,0.0,dist_medoid_l1
196613,0,geometry+prediction,664,5264,83,5,0.5993975903614458,0.8037118412603288,0.020450986927033565,0.942857142857143,0.0,dist_medoid_l1
196613,1,geometry+prediction,984,10560,123,8,0.5711382113821138,0.8037118412603288,0.02046865696150453,0.942857142857143,0.0,dist_medoid_l1
196613,2,geometry+prediction,1024,10664,128,7,0.591796875,0.7375201974975009,0.0175690730033929,0.9474074063470813,0.0,dist_medoid_l1
196613,3,geometry+prediction,992,11216,124,8,0.5564516129032258,0.8037118412603288,0.019123808568840994,0.942857142857143,0.0,dist_medoid_l1
196613,4,geometry+prediction,912,9720,114,8,0.5679824561403509,0.8037118412603288,0.02150489909178406,0.9333333333333332,0.0,dist_medoid_l1
262147,0,geometry+prediction,992,10560,124,9,0.5917338709677419,0.8552051164644332,0.020758611312121665,0.9486832980505139,0.0,dist_medoid_l1
262147,1,geometry+prediction,648,4792,81,7,0.6080246913580247,0.8552051164644332,0.017170037160445337,0.942857142857143,0.0,dist_medoid_l1
262147,2,geometry+prediction,968,10792,121,7,0.5919421487603306,0.6874078351143573,0.020407016495385087,0.9486832980505139,0.0,dist_medoid_l1
262147,3,geometry+prediction,1024,11096,128,5,0.5888671875,0.8552051164644332,0.01997996667175761,0.9486832980505139,0.0,dist_medoid_l1
262147,4,geometry+prediction,944,10184,118,8,0.5836864406779662,0.8552051164644332,0.02209457678180182,0.942857142857143,0.0,dist_medoid_l1
